physical asset,location,ownership,commodity,Countries,USA states
Facilities,"USA,Asia,Brazil,Canada,EU,Western Australia,Amazon,Juruti,Avila,A CoruÃ±a,Spain,Point Comfort,Texas,Australia,Brazil,Canada,Europe,Guinea,Saudi Arabia,Iceland,USA,Norway,San CipriÃ¡n,Juruti,Baie-Comeau","Alcoa Corporation,PARTER Capital Group AG,Alumina Limited,Alcoa Corporation,Alcoa Canada Ltd.,Canadian British Aluminum","Bauxite,Aluminum,Electricity,Primary Aluminum","USA,Asia,Brazil,Canada,Spain,Australia,Guinea,Saudi Arabia,Iceland,Norway,Puerto Rico",Texas
Administrative Buildings And Workshops,"Darling Range,Western Australia; Juruti,Para State",AWA Brasil,Bauxite,"Australia,Brazil",
Alumar Smelter,"Brazil,Sao Luis,Washington,Becancour,San Ciprian,Australia,Southern Brazil,Lista,Norway,Warrick,Europe,Wenatchee,Canada,Quebec,Massena,New York,Kwinana,Portland,Iceland,Addy,Indiana,Western Australia","Alcoa Corporation,Subsidiaries of Alcoa Corporation,AWAC,South32,Manicouagan Power Limited,Hydro-Quebec,Portland Aluminium","Aluminum,Primary Aluminum,Alumina,Magnesium","Brazil,USA,Australia,Norway,Canada,Spain","Indiana,New York,Washington"
Alumina,"Australia,Brazil,Canada,Spain,Saudi Arabia","Alcoa Corporation,Alumina Limited","Aluminum,Alumina","Australia,Brazil,Canada,Spain,Saudi Arabia",
Aluminum,"Globally,Avila,A CoruÃ±a,Canada,Portland,Australia,Baie-Comeau,Saudi Arabia,Addy,Washington,San CipriÃ¡n,Intalco,Brazil,USA,Iceland,Norway,Spain,Wenatchee","Alcoa Corporation,PARTER Capital Group AG,Alumina Limited","Aluminum,Primary Aluminum","Canada,Australia,Saudi Arabia,USA,Spain,Brazil,Iceland,Norway",Washington
Aluminum Facilities in Avila and A CoruÃ±a,"Avila,A CoruÃ±a,Spain","PARTER Capital Group AG,Alcoa Corporation","Aluminum,Silver,Gold,Lead,Zinc",Spain,
Aluminum Smelter And Casthouse,"Saudi Arabia,Canada,Australia,Baie-Comeau,Spain,Brazil,Warrick Operations (Indiana)","Alcoa Corporation,Alumina Limited,Ma'aden,South32","Aluminum,Primary Aluminum,Alumina","Saudi Arabia,Canada,Australia,Spain,Brazil,USA",Indiana
Aluminum Smelting Technology,"Canada,Australia","Alcoa Corporation,Alumina Limited",Aluminum,"Canada,Australia",
Bauxite,"Australia,Guinea,Brazil,Saudi Arabia,Pocos De Caldas,Spain,Western Australia,Canada,Darling Range,Juruti","Alcoa Corporation,Alumina Limited,Ma'aden,MBAC,AWAC","Aluminum,Bauxite","Australia,Guinea,Brazil,Saudi Arabia,Spain,Canada",
Pocos De Caldas mine,Brazil,"Alcoa Corporation,Alumina Limited",Bauxite,Brazil,
