physical asset,location,ownership,commodity,Countries,USA states
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,USA,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Asia,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Brazil,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Canada,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Spain,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Australia,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Guinea,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Saudi Arabia,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Iceland,['Texas']
Facilities,"['USA', 'Asia', 'Brazil', 'Canada', 'EU', 'Western Australia', 'Amazon', 'Juruti', 'Avila', 'A CoruÃ\x83Â±a', 'Spain', 'Point Comfort', 'Texas', 'Australia', 'Brazil', 'Canada', 'Europe', 'Guinea', 'Saudi Arabia', 'Iceland', 'USA', 'Norway', 'San CipriÃ\x83Â¡n', 'Juruti', 'Baie-Comeau']",Alcoa Corporation,Bauxite,Norway,['Texas']
