physical asset,location,ownership,commodity,status,Countries
Facilities,"USA, Asia, Brazil, Canada, EU, Western Australia, Amazon, Juruti, Avila, A Coruña, Spain, Point Comfort, Texas, Australia,  Brazil, Canada, Europe, Guinea, Saudi Arabia, Iceland, USA, Norway, San Ciprián, Juruti, Baie-Comeau","Alcoa Corporation, PARTER Capital Group AG, Alcoa and Alumina Limited, ParentCo, Alcoa Canada Ltd., Canadian British Aluminum ","Energy, Aluminum, Bauxite, Aluminum, Energy, Electricity Production, Bauxite Residue, Primary Aluminum, Electricity, Electricity Generation","Operational, End-Of-Life, Operational, Under Construction, End-Of-Life, Curtailed","USA, Asia, Brazil, Canada, Spain, Australia, Guinea, Saudi Arabia, Iceland, Norway, Puerto Rico"
Administrative Buildings And Workshops,"Darling Range, Western Australia; Juruti, Para State","AofA, AWA Brasil",Bauxite,Operational,"Australia, Brazil"
Alumar Smelter,"Brazil, Sao Luis, Washington, Becancour, San Ciprian, Australia, Southern Brazil, Lista, Norway, Warrick, Europe, Wenatchee, Canada, Quebec, Massena, New York,  Kwinana, Portland, Iceland, Addy, Indiana, Western Australia","Alcoa Corporation, Subsidiaries of Alcoa Corporation, AWAC joint venture, Alcoa AlumÃ­nio (60%), South32 (40%), Manicouagan Power Limited Partnership, Hydro-Quebec, Portland Aluminium joint venture ","Aluminum, Primary Aluminum, Alumina Production, Magnesium","Operational, Under Construction, Restarting, Curtailed, Temporarily Curtailed, End-Of-Life","Brazil, USA, Australia, Norway, Canada, Spain 
"
Alumina ,"Australia, Brazil, Canada, Spain, Saudi Arabia","Alcoa Corporation (60%), Alumina Limited (40%) ","Aluminum, Alumina 
",Operational,"Australia, Brazil, Canada, Spain, Saudi Arabia"
Aluminum,"Globally, Avila, A Coruña, Canada, Portland, Australia, Baie-Comeau, Saudi Arabia, Addy, Washington,  San Ciprián, Intalco, Brazil, USA, Iceland, Norway, Spain, Wenatchee","Alcoa Corporation, PARTER Capital Group AG, Alcoa and Alumina Limited, Alcoa Corporation (60%), Alumina Limited (40%)","Aluminum, Primary Aluminum Products","Operational, Under Construction, End-Of-Life, Curtailed, Dismantled","Canada, Australia, Saudi Arabia, USA, Spain, Brazil, Iceland, Norway"
Aluminum Facilities in Avila and A Coruña,"Avila, A Coruña, Spain","PARTER Capital Group AG, Alcoa Corporation","Aluminum, Silver, Gold, Lead, Zinc","End-Of-Life, Divested, Insolvent, Operational, Under Construction",Spain
Aluminum Smelter And Casthouse,"Saudi Arabia, Canada, Australia, Baie-Comeau, Spain, Brazil,  Warrick Operations (Indiana)","Alcoa Corporation, Alumina Limited, Ma'aden,  Alcoa AlumÃÂ­nio, South32 ","Aluminum, Primary Aluminum Products, Alumina","Operational, Dismantled, Operated, Curtailed","Saudi Arabia, Canada, Australia, Spain, Brazil, USA"
Aluminum Smelting Technology,"Canada, Australia","Alcoa Corporation, Alumina Limited",Aluminum,Operational,"Canada, Australia"
Bauxite,"Australia, Guinea, Brazil, Saudi Arabia, Pocos De Caldas, Spain, Western Australia, Canada, Darling Range, Juruti","Alcoa Corporation, Alumina Limited, Ma'aden, MBAC, AWAC","Aluminum, Bauxite",Operational,"Australia, Guinea, Brazil, Saudi Arabia, Spain, Canada"
Bauxite Deposits,"Huntly, Willowdale",Alcoa Corporation,Bauxite,Operational,Australia
