physical asset,ownership,commodity,Countries
Facilities,"Alcoa Corporation, PARTER Capital Group AG, Alcoa and Alumina Limited, ParentCo, Alcoa Canada Ltd., Canadian British Aluminum ","Energy, Aluminum, Bauxite, Aluminum, Energy, Electricity Production, Bauxite Residue, Primary Aluminum, Electricity, Electricity Generation","USA, Asia, Brazil, Canada, Spain, Australia, Guinea, Saudi Arabia, Iceland, Norway, Puerto Rico"
Administrative Buildings And Workshops,"AofA, AWA Brasil",Bauxite,"Australia, Brazil"
Alumar Smelter,"Alcoa Corporation, Subsidiaries of Alcoa Corporation, AWAC joint venture, Alcoa AlumÃ­nio (60%), South32 (40%), Manicouagan Power Limited Partnership, Hydro-Quebec, Portland Aluminium joint venture ","Aluminum, Primary Aluminum, Alumina Production, Magnesium","Brazil, USA, Australia, Norway, Canada, Spain 
"
Alumina ,"Alcoa Corporation (60%), Alumina Limited (40%) ","Aluminum, Alumina 
","Australia, Brazil, Canada, Spain, Saudi Arabia"
Aluminum,"Alcoa Corporation, PARTER Capital Group AG, Alcoa and Alumina Limited, Alcoa Corporation (60%), Alumina Limited (40%)","Aluminum, Primary Aluminum Products","Canada, Australia, Saudi Arabia, USA, Spain, Brazil, Iceland, Norway"
Aluminum Facilities in Avila and A Coruña,"PARTER Capital Group AG, Alcoa Corporation","Aluminum, Silver, Gold, Lead, Zinc",Spain
Aluminum Smelter And Casthouse,"Alcoa Corporation, Alumina Limited, Ma'aden,  Alcoa AlumÃÂ­nio, South32 ","Aluminum, Primary Aluminum Products, Alumina","Saudi Arabia, Canada, Australia, Spain, Brazil, USA"
Aluminum Smelting Technology,"Alcoa Corporation, Alumina Limited",Aluminum,"Canada, Australia"
Bauxite,"Alcoa Corporation, Alumina Limited, Ma'aden, MBAC, AWAC","Aluminum, Bauxite","Australia, Guinea, Brazil, Saudi Arabia, Spain, Canada"
Bauxite Deposits,Alcoa Corporation,Bauxite,Australia
Bauxite Mine And Alumina Refinery,"Alcoa Corporation, Ma'aden, Alumina Limited  ","Bauxite, Alumina","Saudi Arabia, Guinea, Brazil, Suriname"
Bauxite Residue Areas,"Alcoa Corporation, Copano Enterprises LLC, Alcoa  and AWAC","Bauxite, Mining Waste, Aluminum Production",Brazil
Casthouses,Alcoa Corporation,Aluminum,N/A
drillholes,Alcoa Corporation,"Minerals, Aluminum",Canada
Eastalco Site,Alcoa Corporation,Waste Processing,USA
equipment,"Alumina Limited, Alcoa Corporation, ParentCo","Bauxite, Aluminum, Alumina, Flat-rolled aluminum, Primary aluminum","Australia, Brazil, Canada, Guinea, Saudi Arabia, USA"
Gum Springs Waste Treatment Facility,"Alcoa Corporation, Elemental Environmental Solutions LLC (EES)",Waste Processing,USA
Huntly Mine,Alcoa Corporation,Bauxite,Australia
Hydroelectric Generation Facility,Alcoa Corporation,"Electricity,Hydroelectric Power","Brazil, Canada, USA"
Hydroelectric Power Plant,Alcoa Corporation,,
Impoundment Structures,Alcoa Corporation,"Bauxite,Alumina,Aluminum",
infrastructure,Alcoa Corporation,"Bauxite,Primary aluminum","Iceland, Norway, Brazil"
Intalco Smelter,Alcoa Corporation  and Subsidiaries,"Aluminum, Primary Aluminum",USA
Juruti Bauxite Mine,"AWAB, Ma'aden, Alcoa Corporation","Bauxite, Alumina",Brazil
Kwinana Refinery,"Alcoa Corporation, Alumina Limited (10%), Alcoa AlumÃ­nio (14.04%), South32 (36%) ","Alumina, Aluminum, Bauxite, Carbon Dioxide, Calcined Coke, Steam And Electricity,  Aluminum Refining","Spain, Brazil, Australia"
Land and Industrial Assets  at Rockdale Smelter Site,Alcoa Corporation,Waste Processing,USA
Land and Mines,Alcoa Corporation,"Bauxite, Aluminum",
Lista Aluminum Smelter,"Alcoa Corporation, Alcoa and Alumina Limited, Alcoa Corporation and Alumina Limited, AWAC, Ma'aden, Alcoa Corporation (60%), Alumina Limited (40%)","Aluminum, Primary Aluminum Products, Smelting","Norway, Canada, Australia, Saudi Arabia, Spain, Brazil, Iceland, USA"
Machinery And Equipment,Alcoa Corporation,"Alumina, Bauxite, Aluminum  
",
Massena East Smelter,"Reynolds Metals Company, Alcoa Corporation","Aluminum, Primary Aluminum",USA
mines,"Alcoa Corporation, Alumina Limited, AWAC, South32, MRN, CBG, Alcoa AlumÃ­nio","Bauxite, Alumina","Australia, Brazil, Guinea, Canada, Spain, Saudi Arabia"
Mining Areas,"Alcoa Corporation, Alumina Limited",Bauxite,Australia
Mining Operations,Alcoa Corporation (Joint Venture),"Bauxite, Aluminum","Australia, Brazil, Guinea, Saudi Arabia, Canada, USA"
MosjÃ¸en Smelter,Alcoa Corporation,,Norway
Open-Cut Mines,"AofA, AWA Brasil, MRN",Bauxite,"Australia, Brazil"
ore bodies,,Minerals,Canada
Plants,"Alcoa Corporation, Alumina Limited, Alcoa AlumÃ­nio ","Bauxite, Alumina, Aluminum, Energy, Electricity","Brazil, Australia"
Point Comfort Alumina Refinery,"Alcoa Corporation, Ma'aden","Industrial Wastes, Alumina","USA, Saudi Arabia"
Portland Aluminium Joint Venture,Alcoa Corporation (25.1% interest),Aluminum,"Australia, Saudi Arabia"
Portland Aluminum Smelter,"Alcoa Corporation, Alumina Limited","Aluminum, Primary Aluminum Products, Aluminum Smelting","Australia, Canada, Saudi Arabia, Spain, Brazil, Iceland, Norway, USA"
Power Plant,"Alcoa Corporation, Landsvirkjun","Electricity, Aluminum, Energy","USA, Iceland, Brazil"
Process Plant,Alcoa Corporation,Bauxite,Australia
Properties,"Alcoa Corporation (60%), Alumina Limited (40%)","Bauxite, Alumina, Primary Aluminum, Aluminum, Energy","Brazil, Guinea, Saudi Arabia, Australia, USA, Canada"
Reclaiming Site,,,N/A
Refineries,"Alcoa Corporation (25.1% interest), Alcoa Corporation (60%), Alumina Limited (40%), AWAC, MBAC","Aluminum, Bauxite, Alumina","Spain, Australia, Brazil, China, Canada, Saudi Arabia"
Remediating Site,,,N/A
Rockdale Site,Alcoa Corporation,Waste Processing,USA
rolling mill,"Alcoa Corporation (25.1%), Kaiser Aluminum Corporation, Ma'aden ","Aluminum, Aluminum Rolling, Rolled Metal Products, Aluminum Production",USA
San CipriÃ¡n Alumina Refinery,"Alcoa Corporation, Ma'aden, Alumina EspaÃ±ola, S.A.","Aluminum, Alumina","Spain, Saudi Arabia, Puerto Rico"
Smelters,"Alcoa Corporation, AofA","Aluminum, Electricity, Natural Gas","Europe, Canada, USA, Australia, Brazil, Iceland, Norway, Spain"
Smelting joint venture company,Alcoa Corporation (25.1%),Aluminum,Saudi Arabia
smelting potlines,"Alcoa Corporation, Alumina Limited",Aluminum,USA
St. Croix Alumina Facility,Alcoa Corporation (ParentCo),,St. Croix
Structural Impoundments,Alcoa Corporation,,N/A
Sao Luis Refinery Expansion,"AWAB, Alcoa Corporation","Bauxite, Alumina",Brazil
Tailing Facilities,Alcoa Corporation,,N/A
Wagerup Refinery,"Alcoa Corporation, Alumina Limited, AWAB (39.96%), Rio Tinto (10%), Alcoa AlumÃ­nio (14.04%), South32 (36%)","Bauxite, Carbon Dioxide, Alumina, Calcined Coke, Steam And Electricity,Aluminum","Australia, Brazil"
Warrick Operations,"Alcoa Corporation, AofA, Kaiser Aluminum Corporation","Aluminum, Primary Aluminum",USA
Wenatchee Aluminum Smelter,"Alcoa Corporation, Alumina Limited, AWAC, Ma'aden","Aluminum, Primary Aluminum Products","USA, Canada, Australia, Saudi Arabia"
Willowdale Mine,Alcoa Corporation,Bauxite,Australia
aluminum smelting and casting facilities,"Alcoa Corporation, PARTER Capital Group AG","Aluminum,  Smelting And Casting",Spain
refining,"Alcoa Corporation, Alumina Limited","Alumina, Aluminum","Australia, Spain, Brazil, Canada"
Bauxite Consortium,Alcoa Corporation and Alumina Limited,Bauxite,Guinea
"Refinery, Alumina Assets",Alcoa Corporation,Alumina,Spain
Refinery Assets,"Alcoa Corporation, Alumina Limited, AWAB (39.96%), Rio Tinto (10%), Alcoa AlumÃ­nio (14.04%), South32 (36%)","Alumina, Aluminum, Electricity, Power, Carbon Dioxide, Calcined Coke, Steam And Electricity,  Carbon Dioxide Emissions, Alumina Refining","Brazil, Canada, Spain, Australia, USA"
Mine and Refinery  in Suriname,Alcoa Corporation,"Bauxite, Alumina",Suriname
Strathcona Calciner,"Alcoa Corporation (39%), Rio Tinto (61%)",Calcined Coke,Brazil
Barra Grande Hydropower Plant,Alcoa AlumÃ­nio (42.2%),,Brazil
Estreito HPP,Alcoa AlumÃ­nio (25.5%),,Brazil
Serra Do Facão HPP,Alcoa AlumÃ­nio (35%),,Brazil
Manicouagan Hydroelectric Project,"Affiliates Of Alcoa And Hydro-Quebec, Alcoa Corporation(40%)",,Canada
Huntly And Willowdale Bauxite Mines,"Alcoa Corporation, Alumina Limited, AWAC, MBAC","Bauxite, Alumina, Aluminum","Australia, Brazil, Guinea, Spain, Saudi Arabia, Canada"
Jarrahdale Mining Center,WANL  (later Western Australia NL),Bauxite,Australia
Refinery  located at Pinjarra,Alcoa Corporation,"Alumina, Bauxite",Australia
"Alumar Smelter  Sao Luis, Brazil",Alcoa Corporation,"Alumina, Aluminum",Brazil
Myara North  Mine,Alcoa Corporation,Bauxite,Australia
Holyoake  Mine,Alcoa Corporation,Bauxite,Australia
Residue Storage Facilities,Alcoa Corporation,,Australia
Pier,Alcoa Corporation,Bauxite,Australia
Worldwide Smelting And Casthouse System,Alcoa Corporation,"Primary Aluminum, Alumina","Canada, Usa"
Portfolio of energy facilities,Alcoa Corporation,Energy,"Brazil, Canada, USA"
Magnesium Smelter  in Addy,Alcoa Corporation,"Metals, Magnesium",USA
Pocos de Caldas Smelter,Alcoa Corporation,"Alumina,",Brazil
Transmission Assets,Alcoa Power Generating Inc.,Electricity Transmission,USA
Ore Crushing Equipment,AofA,Bauxite,"Australia, Brazil"
crushers,AofA,Bauxite,Australia
Long-Distance Conveyors,AofA,Bauxite,Australia
Fixed Plant For Ore Crushing And Washing,AWA Brasil,Bauxite,Brazil
Water Supply Pumps And Pipeline,AWA Brasil,Bauxite,Brazil
