physical asset,location,ownership,commodity,status
ladysmith plant,"Ladysmith, VA",,Gas,
remington plant,"Remington, VA",,Gas,
possum point plant,"Dumfries, VA",,Gas,
chesterfield plant,"Chester, VA",,Coal,
elizabeth river plant,"Chesapeake, VA",,Gas,
gordonsville energy plant,"Gordonsville, VA",,Coal,
gravel neck plant,"Surry, VA",,Gas,
darbytown plant,"Richmond, VA",,Gas,
mt. storm plant,"Mt. Storm, WV",,Coal,
chesterfield(1) plant,"Chester, VA",,Coal,
virginia city hybrid energy center,"Wise County, VA",,Coal,
clover plant,"Clover, VA",,Coal,
surry plant,"Surry, VA",,Nuclear,
north anna plant,"Mineral, VA",,Nuclear,
bath county plant,"Warm Springs, VA",,Hydro,
gaston plant,"Roanoke Rapids, NC",,Hydro,
roanoke rapids plant,"Roanoke Rapids, NC",,Hydro,
yorktown(1) plant,"Yorktown, VA",,Oil,
gravel neck (ct) plant,"Surry, VA",,Oil,
darbytown (ct) plant,"Richmond, VA",,Oil,
rosemary (cc) plant,"Roanoke Rapids, NC",,Oil,
possum point (ct) plant,"Dumfries, VA",,Oil,
low moor (ct) plant,"Covington, VA",,Oil,
northern neck (ct) plant,"Lively, VA",,Oil,
chesapeake (ct) plant,"Chesapeake, VA",,Oil,
colonial trail west plant,"Surry County, VA",,Solar,
dry bread plant,"Emporia, VA",,Solar,
spring grove plant,"Surry County, VA",,Solar,
whitehouse solar plant,"Louisa County, VA",,Solar,
woodland solar plant,"Isle of Wight County, VA",,Solar,
altavista plant,"Altavista, VA",,Biomass,
polyester plant,"Hopewell, VA",,Biomass,
cvow pilot project,"Virginia Beach, VA",,Wind,
various,,,Wind,
mt. storm (ct) plant,"Mt. Storm, WV",,Wind,
