Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Tonnes),Production (tonnes),Mine Opened,Mine Life (years),Mine Closed,Avg. Seam Thickness (meters),Total Seam Thickness (meters),No. Seams,Strip Ratio
Sierrita,Mine (General),USA,Copper,Freeport-McMoRan Inc,Normal Operation,--,"72,000.00",,--,,--,--,--,--
Kucing Liar,Mine (General),Indonesia,Gold,Freeport Indonesia PT,Prefeasibility,--,--,,--,,--,--,--,--
Yandera,Mine (General),Papua New Guinea,Molybdenum,Freeport-McMoRan Inc,Feasibility,--,--,,--,,--,--,--,--
Morenci Copper (SX-EW) Mine,Mine (General),USA,Molybdenum,Freeport-McMoRan Inc,Normal Operation,--,--,,--,,--,--,--,--
Grasberg,Mine (General),Indonesia,Silver,Freeport-McMoRan Inc,Normal Operation,--,--,,--,,--,--,--,--
El Abra Sulphides,Mine (General),Chile,Copper,Freeport-McMoRan Inc,Prefeasibility,--,0,,--,,--,--,--,--
Cerro Verde Copper (SX-EW) Mine,Mine (General),Peru,Molybdenum,Freeport-McMoRan Inc,Normal Operation,--,--,,--,,--,--,--,--
Cerro Verde Copper Mine,Mine (General),Peru,Molybdenum,Freeport-McMoRan Inc,Normal Operation,--,"4,736.00",,--,,--,--,--,--
Bagdad,Mine (General),USA,Copper,Freeport-McMoRan Inc,Normal Operation,--,"90,000.00",,--,,--,--,--,--
Chino Copper (SX-EW) Mine,Mine (General),USA,Molybdenum,Freeport-McMoRan Inc,Normal Operation,--,--,,--,,--,--,--,--
Ajo (New Cornelia) Copper Mine,Mine (General),USA,Molybdenum,Freeport-McMoRan Inc,Not Applicable,--,0,,--,,--,--,--,--
Chino,Mine (General),USA,Copper,Freeport-McMoRan Inc,Normal Operation,--,"40,000.00",,--,,--,--,--,--
Chino Copper Mine,Mine (General),USA,Molybdenum,Freeport-McMoRan Inc,Normal Operation,--,"1,000.00",,--,,--,--,--,--
