physical asset,location,ownership,commodity,Countries,USA states
Copper Smelter and Refinery,"Borough Of Carteret,New Jersey,Arthur Kill,Huelva,Spain,Gresik,Indonesia,El Paso,Texas,Greenlee County,Arizona,North America,Morenci,Miami","USA Metals Refining Company,PT Freeport Indonesia,Freeport-McMoran,Mitsubishi Materials Corporation","Copper,Gold,Silver,Molybdenum","Spain,Indonesia,USA","Arizona,New Jersey,Texas"
Grasberg Minerals District,"Indonesia,Grasberg","PT Freeport Indonesia,Freeport-McMoran,MIND ID","Minerals,Copper,Gold,Molybdenum,Silver",Indonesia,
Greenfield Smelter,"Indonesia,Gresik,Central Papua,Grasberg Minerals District,Morenci,Arizona,Miami,USA,El Paso,Texas,Carteret County,New Jersey","PT Freeport Indonesia,Freeport-McMoran,Sumitomo Metal Mining Arizona Inc.,SMM Morenci,PT Smelting,USA Metals Refining Company","Copper,Gold,Lead,Silver,Molybdenum","Indonesia,USA","Arizona,New Jersey,Texas"
Mining Operations,"Indonesia,Cerro Verde,Grasberg Minerals District,Peru,Chile,USA","PT Freeport Indonesia,Freeport-McMoran,PT Smelting,PT Inalum,PTI","Copper,Gold,Silver,Molybdenum","Indonesia,Peru,Chile,USA",
70-Mile Main Service Road,Grasberg Mining District,PT Freeport Indonesia,,Indonesia,
Facilities,"Indonesia,North America,Offshore California,Gulf of Mexico,Grasberg Minerals District,South America,Peru,Chile,PT Freeport Indonesia's Remote Operating Site,New Mexico,Arizona,Colorado,El Paso,Texas,Miami,Lowlands Tailings Management Area,Indonesia Mining Operation,El Abra Operation in Chile,USA,Spain,Mimika Regency,Morenci,Gila River System,Sierrita,Grasberg Block Cave and DMLZ Underground Mines,Greenlee County,Cerro Verde","Freeport-McMoran,PT Freeport Indonesia,Freeport-McMoran Oil & Gas,Cerro Verde,Freeport Cobalt,Jervois Global Limited,Atlantic Copper,SMM Morenci","Copper,Gold,Lead,Zinc,Molybdenum,Cobalt","Indonesia,Peru,Chile,USA,Spain","Arizona,California,Colorado,New Mexico,Texas"
Leach Stockpiles,"North America,South America,Cerro Verde,Peru,Morenci,Arizona,El Abra","PT Freeport Indonesia,Atlantic Copper,Freeport-McMoran,Cerro Verde","Copper,Molybdenum,Minerals","USA,Peru,Chile",Arizona
Mines,"South America,Indonesia,North America,Arizona,Peru,Chile,Grasberg,Morenci Mine,Bagdad Mine,Safford Mine,Sierrita Mine,Miami Mine,Chino Mine,Tyrone Mine,Cerro Verde Mine,El Abra",Freeport-McMoran,"Copper,Gold,Molybdenum","Peru,Chile,Indonesia,USA",Arizona
Ore Bodies,"North America,South America,Indonesia,Grasberg Minerals District","PT Freeport Indonesia,Freeport-McMoran","Copper,Gold,Molybdenum","USA,Canada,Mexico,Peru,Indonesia",
Ajo Mine,"North America,Ajo,Arizona",Freeport-McMoran,Copper,USA,Arizona
Atlantic Copper Facility,"Spain,Huelva",Freeport-McMoran,"Copper,Gold,Lead,Zinc",Spain,
Bagdad Mine,"Arizona,North America",Freeport-McMoran,"Copper,Gold,Molybdenum,Silver",USA,Arizona
Big Gossan Mine,"Grasberg Minerals District,Papua","PT Freeport Indonesia,Freeport-McMoran","Copper,Gold,Silver,Copper Concentrate,Molybdenum",Indonesia,
Buildings And Facilities,South Louisiana,Freeport-McMoran,,USA,Louisiana
Buildings And Infrastructure,"Morenci Mine,Indonesia,Peru,Chile,Colorado,North America,El Abra Operation,Highlands,Spain,Grasberg Minerals District,Safford/Lone Star,Morenci,Arizona","Freeport-McMoran,PT Freeport Indonesia,Cerro Verde,PT Smelting","Copper,Gold,Molybdenum","Indonesia,Peru,Chile,Spain,USA","Arizona,Colorado"
