physical asset,location,ownership,commodity,Countries,USA states
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Copper,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Copper,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Copper,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Gold,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Gold,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Gold,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Silver,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Silver,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Silver,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Molybdenum,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Molybdenum,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",USA Metals Refining Company,Molybdenum,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Copper,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Copper,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Copper,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Gold,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Gold,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Gold,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Silver,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Silver,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Silver,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Molybdenum,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Molybdenum,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",PT Freeport Indonesia,Molybdenum,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Copper,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Copper,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Copper,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Gold,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Gold,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Gold,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Silver,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Silver,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Silver,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Molybdenum,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Molybdenum,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Freeport-McMoran,Molybdenum,USA,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Mitsubishi Materials Corporation,Copper,Spain,"['Arizona', 'New Jersey', 'Texas']"
Copper Smelter and Refinery,"['Borough Of Carteret', 'New Jersey', 'Arthur Kill', 'Huelva', 'Spain', 'Gresik', 'Indonesia', 'El Paso', 'Texas', 'Greenlee County', 'Arizona', 'North America', 'Morenci', 'Miami']",Mitsubishi Materials Corporation,Copper,Indonesia,"['Arizona', 'New Jersey', 'Texas']"
