physical asset,location,ownership,commodity,status,Countries
Copper Smelter and Refinery,"Borough Of Carteret, New Jersey, Arthur Kill, Huelva, Spain, Gresik, Indonesia, El Paso, Texas, Greenlee County, Arizona, North America, Morenci, Miami 


Let me know when you're ready for the next cell!  I'm happy to help clean and standardize your data.","USA Metals Refining Company, PT Freeport Indonesia, Freeport-McMoran, Mitsubishi Materials Corporation","Copper, Gold, Silver, Molybdenum","Operational,Under Investigation And Remediation,In End-Of-Life,Under Construction","Spain, Indonesia, USA"
Grasberg Minerals District,"Indonesia, Grasberg","PT Freeport Indonesia, Freeport-McMoran, MIND ID","Minerals,Copper,Gold,Molybdenum,Silver","Planned, Operational, Under Construction",Indonesia
Greenfield Smelter,"Indonesia, Gresik, Central Papua, Grasberg Minerals District, Morenci, Arizona, Miami, USA, El Paso, Texas, Carteret County, New Jersey","PT Freeport Indonesia, Freeport-McMoran, Sumitomo Metal Mining Arizona Inc., SMM Morenci, PT Smelting, USA Metals Refining Company","Copper, Gold, Lead, Silver, Molybdenum","Under Construction, Operational, End Of Life","Indonesia, USA"
Mining Operations,"Indonesia, Cerro Verde, Grasberg Minerals District, Peru, Chile, USA","PT Freeport Indonesia, Freeport-McMoran, PT Smelting, PT Inalum, PTI","Copper, Gold, Silver, Molybdenum",Operational,"Indonesia, Peru, Chile, USA"
70-Mile Main Service Road,Grasberg Mining District,PT Freeport Indonesia,Transportation ,Operational,Indonesia
Facilities,"Indonesia, North America, Offshore California, Gulf of Mexico, Grasberg Minerals District, South America, Peru, Chile, PT Freeport Indonesia's Remote Operating Site, New Mexico, Arizona, Colorado, El Paso, Texas, Miami, Lowlands Tailings Management Area, Indonesia Mining Operation, El Abra Operation in Chile, USA, Spain, Mimika Regency, Morenci, Gila River System, Sierrita, Grasberg Block Cave and DMLZ Underground Mines, Greenlee County, Cerro Verde","FCX, PT Freeport Indonesia, FM O&G, Cerro Verde, Freeport Cobalt, Jervois Global Limited, Atlantic Copper, SMM Morenci","Copper, Gold, Lead, Zinc, Molybdenum, Cobalt","Under Construction,Operational,Operational,Under Construction,EndOfLife,Ongoing Investigation,Active","Indonesia, Peru, Chile, USA, Spain "
Leach Stockpiles,"North America, South America, Cerro Verde, Peru, Morenci, Arizona, El Abra","PT Freeport Indonesia, Atlantic Copper, Freeport-McMoran, Cerro Verde","Copper, Molybdenum, Minerals",Operational,"USA, Peru, Chile"
Mines,"South America, Indonesia, North America, Arizona, Peru, Chile, Grasberg, Morenci Mine, Bagdad Mine, Safford Mine, Sierrita Mine, Miami Mine, Chino Mine, Tyrone Mine, Cerro Verde Mine, El Abra",Freeport-McMoran,"Copper, Gold, Molybdenum","Operational 


Let me know when you're ready for the next cell!","Peru, Chile, Indonesia, USA"
Ore Bodies,"North America, South America, Indonesia, Grasberg Minerals District","PT Freeport Indonesia, Freeport-McMoran","Copper, Gold, Molybdenum",Operational,"USA, Canada, Mexico, Peru, Indonesia"
Ajo Mine,"North America, Ajo, Arizona",Freeport-McMoran,Copper,Operational,USA
Atlantic Copper Facility,"Spain, Huelva",Freeport-McMoran,"Copper, Gold, Lead, Zinc",Operational,Spain
Baghdad Mine,"Arizona, North America",Freeport-McMoran,"Copper, Gold, Molybdenum, Silver",Operational,USA
Big Gossan Mine,"Grasberg Minerals District, Papua","PT Freeport Indonesia, Freeport-McMoran","Copper, Gold, Silver, Copper Concentrate, Molybdenum",Operational,Indonesia
Buildings And Facilities,South Louisiana,Freeport-McMoran,"Asbestos,Talc",,USA
Buildings And Infrastructure,"Morenci Mine, Indonesia, Peru, Chile, Colorado, North America, El Abra Operation, Highlands, Spain, Grasberg Minerals District, Safford/Lone Star, Morenci, Arizona","Freeport-McMoran, PT Freeport Indonesia, Cerro Verde, PT Smelting","Copper, Gold, Molybdenum","Operational, Under Construction","Indonesia, Peru, Chile, Spain, USA"
Cathode,"El Paso, Texas; Morenci; Bagdad; Safford; Sierrita; Miami; Chino; Tyrone; Cerro Verde; El Abra","Freeport-McMoran, PT Freeport Indonesia, Sumitomo, SMM Morenci Inc.",Copper,Refined And Operational,"USA,  Chile, Peru"
Cerro Verde Mine,"Peru, Cerro Verde, Arequipa","Freeport-McMoran, PT Freeport Indonesia","Copper, Gold, Molybdenum, Copper Concentrate, Silver ",Operational,Peru
Chino Mine,"North America, New Mexico, Chino, Grant County",Freeport-McMoran,"Copper, Gold, Silver, Molybdenum ",Operational,USA
tyrone mine,New Mexico,Freeport-McMoran,Copper,Operational,USA
Coal-Fired Power Plant,"Grasberg Minerals District, Sudirman Mountain Range, Papua, Indonesia",PT Freeport Indonesia,"Electricity, Energy Production, Coal","Operational, Under Construction",Indonesia
Concentrating Facilities,"Bagdad (Arizona), Cerro Verde, North America",Freeport-McMoran,Copper ,Operational,"USA, Peru"
Concentrator,"Cerro Verde, Peru; Bagdad Operation, Arizona, USA; Morenci, Arizona, USA","Cerro Verde,Freeport-McMoran,Sumitomo Metal Mining Arizona Inc.,SMM Morenc","Minerals, Copper, Molybdenum, Silver",Operational,"Peru, USA"
Continuous Cast Copper Rod,"El Paso, Texas; Miami; Arizona; North America",Freeport-McMoran,Copper,Operational,USA
Conversion Plants,"USA, Europe, El Paso, Texas, United Kingdom, South America",Freeport-McMoran,"Molybdenum, Copper, Ferromolybdenum",Operational,"USA, United Kingdom"
Copper Refining Circuit,Grasberg Minerals District,PT Freeport Indonesia,"Copper, Gold",Under Construction,Indonesia
Copper Concentrate,"North America, Indonesia, South America, Morenci, Bagdad, Sierrita, Chino, Cerro Verde, Grasberg","PT Freeport Indonesia, Freeport-McMoran, Atlantic Copper","Copper, Gold, Molybdenum",Operational,"USA, Indonesia, Peru"
Crushed Leach Pad,"Morenci, Safford, Cerro Verde, El Abra","Freeport-McMoran, Cerro Verde, CorporaciÃ³n Nacional del Cobre de Chile, Cerro Verde","Copper, Gold, Molybdenum, Silver",Operational,"Mexico, Chile, USA, Peru"
Deep Mill Level Zone,"Indonesia, Grasberg Minerals District, Papua","Freeport-McMoran,PT Freeport Indonesia","Copper, Gold, Molybdenum, Silver",Production Operational,Indonesia
Deep Ore Zone Underground Mine,"Grasberg Minerals District, Sudirman Mountain Range, Papua, Indonesia",PT Freeport Indonesia,"Copper, Gold","Depleted,Under Construction,End Of Life",Indonesia
Diesel Generators,"Grasberg Minerals District, Sudirman Mountain Range, Papua, Indonesia",PT Freeport Indonesia,Electricity,Operational,Indonesia
DMLZ Mine,"Grasberg Minerals District, Papua, Indonesia","Freeport-McMoran, PT Freeport Indonesia","Copper, Gold, Copper Concentrate, Silver, Molybdenum","Under Construction, Operational",Indonesia
Dual-Fuel Power Plant,"Grasberg Minerals District, Sudirman Mountain Range, Papua, Indonesia",PT Freeport Indonesia,Electricity,"Operational, Under Construction",Indonesia
El Abra Mine,"Chile, South America","Freeport-McMoran,PT Freeport Indonesia","Copper, Gold, Molybdenum, Silver",Operational,Chile
El Paso Refinery,"Texas, El Paso, Greenlee County, Arizona, North America","Freeport-McMoran, Sumitomo Metal Mining Arizona, Inc., SMM Morenci, PT Freeport Indonesia, USA Metals Refining Company (USMR)","Copper, Gold, Lead, Zinc","Operational 


Let me know when you're ready for the next cell!  I'm ready to help clean and standardize your data.",USA
