Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Tonnes),Production (tonnes),Mine Opened,Mine Life (years),Mine Closed,Avg. Seam Thickness (meters),Total Seam Thickness (meters),No. Seams,Strip Ratio
Troy,Mine (General),United States,"Silver, Copper",Hecla Mining Co,Permanently Closed,--,--,,--,,--,--,--,--
San Juan (Colorado),Mine (General),United States,Silver,Hecla Mining Co,Feasibility,--,--,,--,,--,--,--,--
San Sebastian,Mine (General),Mexico,"Gold, Silver",Hecla Mining Co,Care and Maintenance,--,0.37,,--,,--,--,--,--
Midas,Mine (General),United States,"Silver, Gold",Hecla Mining Co,Feasibility,--,--,,--,,--,--,--,--
Lucky Friday,Mine (General),United States,"Silver, Lead, Zinc",Hecla Mining Co,Normal Operation,--,--,,--,,--,--,--,--
Kinskuch,Mine (General),United States,"Gold, Silver",Hecla Mining Co,Conceptual project,--,--,,--,,--,--,--,--
Greens Creek,Mine (General),United States,"Lead, Gold, Zinc, Silver",Hecla Mining Co,Normal Operation,--,"20,114.00",,--,,--,--,--,--
Fire Creek,Mine (General),United States,"Silver, Gold",Hecla Mining Co,Care and Maintenance,--,--,,--,,--,--,--,--
Monte Cristo,Mine (General),United States,Silver,Hecla Mining Co,Conceptual project,--,--,,--,,--,--,--,--
Keno Hill,Mine (General),Canada,Silver,Hecla Mining Co,Normal Operation,--,--,,--,,--,--,--,--
Heva-Hosco,Mine (General),United States,Gold,Hecla Mining Co,Feasibility,--,--,,--,,--,--,--,--
Bellekeno,Mine (General),Canada,"Lead, Silver, Zinc",Hecla Mining Co,Care and Maintenance,--,"8,618.00",,--,,--,--,--,--
Montanore,Mine (General),United States,"Silver, Copper",Hecla Mining Co,Feasibility,--,--,,--,,--,--,--,--
Rock Creek (Montana),Mine (General),United States,Silver,Hecla Mining Co,Feasibility,--,--,,--,,--,--,--,--
Casa Berardi,Mine (General),Canada,"Silver, Gold",Hecla Mining Co,Normal Operation,--,--,,--,,--,--,--,--
Hollister,Mine (General),United States,"Gold, Silver",Hecla Mining Co,Care and Maintenance,--,0.00,,--,,--,--,--,--
Block B,Mine (General),Venezuela,Gold,Hecla Mining Co,Normal Operation,--,--,,--,,--,--,--,--
Silver Valley,Mine (General),United States,Silver,Hecla Mining Co,Prefeasibility,--,--,,--,,--,--,--,--
