physical asset,location,ownership,commodity,Countries,USA states
Mining Pit,['Casa Berardi'],Hecla Mining Company,Gold,Canada,
330 Fire Creek  Facility,['Nevada'],Hecla Mining Company,Silver,USA,['Nevada']
330 Fire Creek  Facility,['Nevada'],Hecla Mining Company,Gold,USA,['Nevada']
330 Fire Creek  Facility,['Nevada'],Hecla Mining Company,Lead,USA,['Nevada']
330 Fire Creek  Facility,['Nevada'],Hecla Mining Company,Zinc,USA,['Nevada']
330 Fire Creek  Facility,['Nevada'],Hecla Mining Company,Copper,USA,['Nevada']
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Gold,USA,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Gold,Canada,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Gold,Mexico,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Silver,USA,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Silver,Canada,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Silver,Mexico,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Lead,USA,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Lead,Canada,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Lead,Mexico,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Zinc,USA,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
Equipment,"['Rock Creek', 'Alaska', 'Yukon', 'Casa Berardi', 'Nevada', 'Greens Creek', 'Keno Hill', 'Hollister Mine', 'Montana', 'San Sebastian', 'Remote Locations', 'Idaho']",Hecla Mining Company,Zinc,Canada,"['Alaska', 'Idaho', 'Montana', 'Nevada']"
