physical asset,location,ownership,commodity,Countries,USA states
Mining Pit,Casa Berardi,Hecla Mining Company,Gold,Canada,
330 Fire Creek  Facility,Nevada,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper",USA,Nevada
Equipment,"Rock Creek, Alaska, Yukon, Casa Berardi, Nevada, Greens Creek, Keno Hill, Hollister Mine, Montana, San Sebastian, Remote Locations, Idaho","Hecla Mining Company 
","Gold,Silver,Lead,Zinc","USA, Canada, Mexico","Alaska, Idaho, Montana, Nevada"
Facilities,"Montana, Alaska, Quebec, Nevada, Yukon, Idaho",Hecla Mining Company,"Silver, Gold, Lead, Zinc","USA, Mexico, Canada","Alaska, Idaho, Montana, Nevada"
Ball Mill,"Casa Berardi, Idaho, Yukon Territory",Hecla Mining Company,"Gold, Silver, Lead, Zinc","Canada, USA",Idaho
Casa Berardi Mine,"Casa Berardi, Abitibi Region of Quebec",Hecla Mining Company,"Gold, Silver, Lead, Zinc, Copper, Metals Concentrates",Canada,
Cemented Rock Fill,Yukon,Hecla Mining Company,"Silver, Zinc",Canada,
Concentrate Pads,Nevada,Hecla Mining Company,"Silver, Gold, Lead, Zinc",USA,Nevada
Construction In Progress,Casa Berardi,Hecla Mining Company,"Metals, Minerals",Canada,
cyanide leach train,Casa Berardi  Mine,Hecla Mining Company,Gold,Canada,
Exploration Properties,"Montana, Alaska, Yukon, Quebec, Nevada, British Columbia, Coeur d'Alene, Idaho, Various Locations, Lucky Friday, Idaho, Vancouver, British Columbia, Juneau, Alaska, Wallace, Idaho, Val d'Or, Quebec, Durango, Whitehorse, Yukon, Casa Berardi, Not Specified, Various Locations (as shown in the map), Greens Creek, Nevada Operations, Keno Hill, Libby Exploration Site, Rock Creek",Hecla Mining Company,"Silver, Gold, Lead, Zinc","USA, Canada, Mexico","Alaska, Idaho, Montana, Nevada"
furnace,Casa Berardi,Hecla Mining Company,Gold,Canada,
Greens Creek,"Admiralty Island, Alaska",Hecla Mining Company,"Gold, Silver, Lead, Zinc, Metals Concentrates,Copper",USA,Alaska
Hollister Mine,Nevada,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper",USA,Nevada
Hosco Mine,Abitibi Region Of Northwestern Quebec,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper, Metals",Canada,
infrastructure,"Casa Berardi, San Sebastian, Yukon, Nevada, Midas Mine, Greens Creek, Montana, Lucky Friday, Keno Hill",Hecla Mining Company,"Silver, Gold, Lead, Zinc","Canada, Mexico, USA","Montana, Nevada"
Jaw Crusher,Casa Berardi  Mine,Hecla Mining Company,Gold,Canada,
Keno Hill Mine,"Keno Hill, Yukon Territory",Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper, Metals Concentrates, Ore Metals",Canada,
Knelson Concentrators,Casa Berardi  Mine,Hecla Quebec Inc.,Gold,Canada,
Lucky Friday Mine,Northern Idaho,Hecla Mining Company,"Silver, Gold, Lead, Zinc",USA,Idaho
Midas Mine,Nevada,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper",USA,Nevada
mineral processing plants,"Greens Creek, Lucky Friday, Casa Berardi, Keno Hill, Nevada, Montana",Hecla Mining Company,"Silver, Gold, Lead, Zinc","USA, Canada","Montana, Nevada"
Mineral Reserves,Unspecified,Hecla Mining Company,"Silver, Gold, Lead, Zinc",,
mines,"Nevada, British Columbia, Alaska, Montana, Idaho, Quebec, Yukon Territory",Hecla Mining Company,"Silver, Gold, Lead, Zinc","USA, Canada, Mexico","Alaska, Idaho, Montana, Nevada"
