physical asset,ownership,commodity,Countries
Mining Pit,Hecla Mining Company,Gold,Canada
330 Fire Creek  Facility,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper",United States of America
Equipment,"Hecla Mining Company 
","Gold,Silver,Lead,Zinc","United States of America, Canada, Mexico"
Facilities,Hecla Mining Company,"Silver, Gold, Lead, Zinc","United States of America, Mexico, Canada"
Ball Mill,Hecla Mining Company,"Gold, Silver, Lead, Zinc","Canada, United States of America"
Casa Berardi Mine,Hecla Mining Company,"Gold, Silver, Lead, Zinc, Copper, Metals Concentrates",Canada
Cemented Rock Fill,Hecla Mining Company,"Silver, Zinc",Canada
Concentrate Pads,Hecla Mining Company,"Silver, Gold, Lead, Zinc",United States of America
Construction In Progress,Hecla Mining Company,"Metals, Minerals",Canada
cyanide leach train,Hecla Mining Company,Gold,Canada
Exploration Properties,Hecla Mining Company,"Silver, Gold, Lead, Zinc","United States of America, Canada, Mexico"
furnace,Hecla Mining Company,Gold,Canada
Greens Creek,Hecla Mining Company,"Gold, Silver, Lead, Zinc, Concentrates,Copper",United States of America
Hollister Mine,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper",United States of America
Hosco Mine,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper, Metals",Canada
infrastructure,Hecla Mining Company,"Silver, Gold, Lead, Zinc","Canada, Mexico, United States of America"
Jaw Crusher,Hecla Mining Company,Gold,Canada
Keno Hill Mine,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper, Metals Concentrates, Ore Metals",Canada
Knelson Concentrators,Hecla Quebec Inc.,Gold,Canada
Lucky Friday Mine,Hecla Mining Company,"Silver, Gold, Lead, Zinc",United States of America
Midas Mine,Hecla Mining Company,"Silver, Gold, Lead, Zinc, Copper",United States of America
mineral processing plants,Hecla Mining Company,"Silver, Gold, Lead, Zinc","United States of America, Canada"
Mineral Reserves,Hecla Mining Company,"Silver, Gold, Lead, Zinc",
mines,Hecla Mining Company,"Silver, Gold, Lead, Zinc","United States of America, Canada, Mexico"
mining claims,"Hecla Mining Company 

","Silver, Gold, Lead, Zinc","Canada, United States of America"
mining operations,Hecla Mining Company,"Silver, Gold, Zinc, Lead, Copper","United States of America, Canada"
Montana Ore Mine,Hecla Mining Company,"Silver, Copper, Unknown",United States of America
Monte Cristo Mine,Hecla Mining Company,"Gold,Silver",United States of America
Open Pits  (Principal and West Mine Crown Pillar),Hecla Mining Company,"Gold 


",Canada
Ore Milled,,"Silver, Lead, Zinc",United States of America
ore processing facilities,Hecla Mining Company,"Silver, Gold, Lead, Zinc",United States of America
orebodies,Hecla Mining Company,"Silver, Gold",
Osiris Open Pit,Hecla Mining Company,"Silver, Copper, Gold, Lead, Zinc",Canada
Quartz Mineral Claims,Hecla Mining Company,"Gold, Silver, Lead, Zinc",Canada
Roaster And Autoclave Facility,Hecla Mining Company,"Gold Ore, Refractory Ore",United States of America
Rock Creek,Hecla Mining Company,"Gold,Silver,Copper,",United States of America
sag mill,Hecla Mining Company,"Gold, Silver, Lead, Zinc","Canada, United States of America"
San Juan Silver Mine,Hecla Mining Company,"Silver, Lead, Zinc",United States of America
San Sebastian Mine,Hecla Mining Company,"Silver, Gold, Copper, Lead, Zinc",Mexico
Smelters,Hecla Mining Company,"Concentrates, Metals",United States of America
Tailings Impoundment Areas,Hecla Quebec Inc.,Gold,Canada
Tailings Storage Facilities,Hecla Mining Company,"Gold, Silver, Lead, Zinc","Canada, United States of America"
stormwater management infrastructure,Hecla Mining Company,Metals,
Concentrates Production,Hecla Mining Company,"Silver, Gold, Lead, Zinc",
Waste Rock And Mine Water Management,,Mining,United States of America
ore concentrating mill,Hecla Mining Company,"Silver, Zinc, Gold, Lead","United States of America, Canada"
ship-loading facility,Hecla Mining Company,"Silver, Zinc, Gold, Lead",United States of America
Mine Waste Area and Tailings Storage Facility,Hecla Mining Company,"Silver, Gold, Lead, Zinc",United States of America
drill rigs,,"Silver, Gold, Lead, Zinc",United States of America
Mine and Mill Complex,Hecla Quebec Inc.,Gold,Canada
Support Facilities And Infrastructure,Hecla Quebec Inc.,Gold,Canada
high intensity leaching and electrowinning,Hecla Quebec Inc.,Gold,Canada
Surface Drilling Equipment,Hecla Mining Company,"Gold, Silver, Lead, Zinc",Canada
Mineral Deposits,Hecla Mining Company,Minerals,
concentrate storage building,Hecla Mining Company,"Lead,",United States of America
On-Site Laboratories,Hecla Mining Company,,United States of America
Facilities at various locations within the historical Keno Hill Site,Hecla Mining Company,,Canada
Former Troy Mine,Hecla Mining Company,"Mining, Unknown",United States of America
transportation infrastructure (marine),Third Parties,Minerals,"United States of America, Canada, Canada"
Mining Facility,Hecla Mining Company,Metals,United States of America
Libby Exploration Site,Hecla Mining Company,Silver,United States of America
Corporate Offices,Hecla Mining Company,,"United States of America, Canada, Mexico"
Manway Raise,Hecla Mining Company,Ore,United States of America
Ventilation Raise,Hecla Mining Company,Ore,United States of America
Quartz Mining Leases,Hecla Mining Company,"Silver, Lead, Zinc","Canada, Mexico"
cyanidation processing mill,Hecla Quebec Inc.,Gold,Canada
Secondary Crushing Circuit,Keno Hill,"Silver, Zinc, Lead, Gold",Canada
Crusher Modifications,,"Silver, Lead, Zinc",Canada
Camp Upgrades,Hecla Mining Company,"Silver, Lead, Zinc, Gold","Canada, United States of America"
"Secondary Egress 

",,"Silver, Lead, Zinc",United States of America
La Choya Mine,Hecla Mining Company,Mining,Mexico
Equipment  ,Hecla Mining Company,Unspecified,
Tailings And Waste Disposal Areas,Hecla Mining Company,Mining Wastes,United States of America
Concentrates,Hecla Mining Company,"Silver, Gold, Lead, Zinc","Canada, Mexico"
