Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Tonnes),Production (tonnes),Mine Opened,Mine Life (years),Mine Closed,Avg. Seam Thickness (meters),Total Seam Thickness (meters),No. Seams,Strip Ratio
Penasquito (Sulphide),Mine (General),Mexico,"Gold, Zinc, Lead, Silver",Newmont Corporation,Normal Operation,--,0,,--,,--,--,--,--
Tanami,Mine (General),Australia,"Silver, Gold",Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Conga,Mine (General),Peru,"Copper, Gold, Silver",Newmont Corporation,Feasibility,--,0,,--,,--,--,--,--
Porcupine,Mine (General),Canada,"Gold, Silver",Newmont Corporation,Normal Operation,--,4.16,,--,,--,--,--,--
Merian,Mine (General),Suriname,"Gold, Silver",Newmont Mining Corp,Normal Operation,--,15.64,,--,,--,--,--,--
Lihir,Mine (General),Papua New Guinea,"Silver, Gold",Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Long Canyon,Mine (General),United States,"Gold, Silver",Newmont Mining Corp,Normal Operation,--,0,,--,,--,--,--,--
Cerro Negro,Mine (General),Argentina,"Silver, Gold",Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Ken Snyder,Mine (General),United States,Gold,Newmont Mining Corp,Normal Operation,--,6.53,,--,,--,--,--,--
Akyem,Mine (General),Ghana,"Gold, Silver",Newmont Corporation,Normal Operation,--,12.3,,--,,--,--,--,--
Cadia Hill,Mine (General),Australia,"Silver, Gold, Copper",Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Telfer Dump Leach,Mine (General),Australia,Gold,Newmont Corporation,Care and Maintenance,--,0,,--,,--,--,--,--
San Martin (Honduras),Mine (General),Honduras,"Silver, Gold",Newmont Corporation,Permanently Closed,--,--,,--,,--,--,--,--
NuevaUnión,Mine (General),Chile,"Gold, Copper",Newmont Goldcorp Corp,Feasibility,--,--,,--,,--,--,--,--
El Sauzal,Mine (General),Mexico,"Gold, Silver",Newmont Corporation,Permanently Closed,--,0,,--,,--,--,--,--
Ridgeway,Mine (General),Australia,"Silver, Copper, Gold",Newmont Corporation,Permanently Closed,--,--,,--,,--,--,--,--
Brucejack,Mine (General),Canada,"Silver, Gold",Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Eleonore,Mine (General),Canada,"Gold, Silver",Newmont Corporation,Normal Operation,--,16.49,,--,,--,--,--,--
Musselwhite,Mine (General),Canada,"Silver, Gold",Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Twin Creeks,Mine (General),United States,Gold,Newmont Mining Corp,Normal Operation,--,25.82,,--,,--,--,--,--
Ahafo,Mine (General),Ghana,"Gold, Silver",Newmont Corporation,Normal Operation,--,18.66,,--,,--,--,--,--
Marlin,Mine (General),Guatemala,"Silver, Gold",Newmont Corporation,Permanently Closed,--,--,,--,,--,--,--,--
Leeville,Mine (General),United States,Gold,Newmont Goldcorp Corp,Normal Operation,--,--,,--,,--,--,--,--
Telfer,Mine (General),Australia,"Copper, Silver",Newmont Corporation,Normal Operation,--,"16,000.00",,--,,--,--,--,--
Boddington,Mine (General),Australia,"Copper, Silver, Gold",Newmont Goldcorp Corp,Normal Operation,--,"36,000.00",,--,,--,--,--,--
Namosi,Mine (General),Fiji,Copper,Newmont Corporation,Feasibility,--,--,,--,,--,--,--,--
Yanacocha,Mine (General),Peru,"Gold, Silver",Newmont Corporation,Normal Operation,--,11.55,,--,,--,--,--,--
Dee,Mine (General),United States,Gold,Newmont Corporation,Permanently Closed,--,1.9,,--,,--,--,--,--
Carlin,Mine (General),United States,Gold,Newmont Mining Corp,Normal Operation,--,41.99,,--,,--,--,--,--
Ntotoroso,Mine (General),Ghana,Gold,Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Penasquito (Oxide),Mine (General),Mexico,Silver,Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Havieron,Mine (General),Australia,Copper,Newmont Corporation,Feasibility,--,--,,--,,--,--,--,--
McCoy/Cove,Mine (General),United States,Lead,Newmont Corporation,Permanently Closed,--,0,,--,,--,--,--,--
Cripple Creek & Victor,Mine (General),United States,"Gold, Silver",Newmont Mining Corp,Normal Operation,--,9.21,,--,,--,--,--,--
Long Canyon,Mine (General),United States,Silver,Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Red Chris,Mine (General),Canada,Silver,Newmont Corporation,Normal Operation,--,--,,--,,--,--,--,--
Gold Quarry South Layback,Mine (General),United States,Gold,Newmont Goldcorp Corp,Normal Operation,--,--,,--,,--,--,--,--
