physical asset,location,ownership,commodity,Countries,USA states
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,USA,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Australia,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Canada,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Peru,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Mexico,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Dominican Republic,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Brazil,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Gold,Papua New Guinea,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Silver,USA,"['Colorado', 'Nevada']"
Facilities,"['Porcupine', 'Long Canyon', 'Cripple Creek & Victor Gold Mine', 'Nevada', 'Pueblo Viejo', 'Norte Abierto', 'Peru', 'Australia', 'Porcupine', 'Boddington', 'North America', 'Penasquito', 'USA', 'Mexico', 'Cripple Creek Mine in Colorado', 'Africa', 'Cerro Negro', 'Cripple Creek & Victor Gold Mine', 'Suriname', 'Carlin', 'South America', 'Musselwhite', 'Red Chris', 'Cadia', 'Telfer', 'Pueblo Viejo Mine Site', 'Merian', 'Akyem', 'Lihir']",NGM,Silver,Australia,"['Colorado', 'Nevada']"
