physical asset,location,ownership,commodity,Countries,USA states
Facilities,"Porcupine, Long Canyon, Cripple Creek & Victor Gold Mine, Nevada, Pueblo Viejo, Norte Abierto, Peru, Australia, Porcupine, Boddington, North America, Penasquito, USA, Mexico, Cripple Creek Mine in Colorado, Africa, Cerro Negro, Cripple Creek & Victor Gold Mine, Suriname, Carlin, South America, Musselwhite, Red Chris, Cadia, Telfer, Pueblo Viejo Mine Site, Merian, Akyem, Lihir","NGM, Cripple Creek & Victor Gold Mine, Newmont Corporation, Barrick, NuevaUnioN Joint Venture, Indigenous Peoples","Gold, Silver, Lead, Zinc, Copper","USA, Australia, Canada, Peru, Mexico, Dominican Republic, Brazil, Papua New Guinea ","Colorado, Nevada"
"Additions To Property, Plant And Mine Development","Nevada Gold Mines, Nevada, USA; Red Chris; Brucejack; Cadia; Lihir",Newmont Corporation,"Gold,Silver,Lead,Zinc","USA, Australia, Papua New Guinea",Nevada
Agua Rica Mine,Argentina,"Yamana, Minera Agua Rica Alumbrera Limited, Newmont Corporation, Glencore International AG","Silver,Molybdenum,Gold",Argentina,
Mining Facilities,,Newmont Corporation,Gold,,
Alumbrera Mine,"Argentina, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Minera Agua Rica Alumbrera Limited, Newmont Corporation, Glencore International AG, Barrick","Gold, Copper, Silver, Lead, Zinc, Metals","Argentina, USA, Canada, Peru, Dominican Republic",
Autoclave,"Carlin, Pueblo Viejo, Turquoise Ridge","NGM, Barrick","Gold, Silver","USA, Dominican Republic",
Autoclaves,"Red Chris, Penasquito, Boddington, Cadia, Telfer ",Newmont Corporation,"Gold, Sulfide Ores","Canada, Mexico, Australia",
Brucejack Mine,Canada,Newmont Corporation,Copper,Canada,
Cadia Operations,Australia,Newmont Corporation,Gold,Australia,
Carbon In Leach Circuit,"Cortez, Pueblo Viejo, Phoenix","NGM, Barrick, Newmont Corporation","Gold, Silver, Copper, Zinc, Ore","USA, Dominican Republic",
Cerro Negro Mining Complex,"Argentina, South America",Newmont Corporation,"Gold, Silver, Minerals",Argentina,
concentrate production vessels,,Newmont Corporation,"Gold, Copper, Silver, Lead, Zinc",,
Conga Mine,Peru,Newmont Corporation,"Copper, Gold, Metals",Peru,
Continental Gold inc.,,"Newmont Corporation, Zijin Mining Group, Northern Star Resources Limited",Gold,,
Conveyor Systems,,Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Minerals",,
Corporate And Regional Offices,,Newmont Corporation,"Gold, Silver",,
Cripple Creek & Victor Mine,"Vancouver, Canada, Colorado, USA, Victor, Cripple Creek",Newmont Corporation,Gold,"Canada, USA",Colorado
crushing and grinding circuit,"Cortez, Pueblo Viejo, Penasquito, Boddington, Red Chris, Cadia, Telfer, Cerro Negro","NGM, Barrick, Newmont Corporation","Gold, Silver, Copper, Gold","Dominican Republic, Mexico, Australia, Canada,  Brazil",
crushing plant,"Cerro Negro, Boddington",,"Gold,Silver,Gold,Copper","Brazil, Australia",
Dawn Mill Site,"Dawn Mill Site, Spokane Indian Reservation, Washington","Newmont Corporation, Dawn, EPA","Minerals, Uranium",USA,Washington
Deposits/Districts,"Penasquito, Mexico",,Lead,Mexico,
Development,,Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead",,
