physical asset,location,ownership,commodity,status,Countries
Facilities,"Porcupine, Long Canyon, CC&V, Nevada, Pueblo Viejo, Norte Abierto, Peru, Australia, Porcupine, Boddington, North America, Penasquito, USA, Mexico, Cripple Creek Mine in Colorado, Africa, Cerro Negro, CC&V, Suriname, Carlin, South America, Musselwhite, Red Chris, Cadia, Telfer, Pueblo Viejo Mine Site, Merian, Akyem, Lihir","NGM, CC&V, Newmont Corporation, Barrick, NuevaUnioN Joint Venture, Indigenous Peoples","Gold, Silver, Lead, Zinc, Copper","Operational, Long-Term Care And Maintenance, Under Construction, End-Of-Life","USA, Australia, Canada, Peru, Mexico, Dominican Republic, Brazil, Papua New Guinea "
"Additions To Property, Plant And Mine Development","Nevada Gold Mines, Nevada, USA; Red Chris; Brucejack; Cadia; Lihir",Newmont Corporation,"Gold,Silver,Lead,Zinc","Operational, Under Construction","USA, Australia, Papua New Guinea"
Agua Rica Mine,Argentina,"Yamana, Minera Agua Rica Alumbrera Limited, Newmont Corporation, Glencore International AG","Silver,Molybdenum,Gold","Undeveloped,Under Construction",Argentina
Mining Facilities,,Newmont Corporation,Gold,Operational,
Alumbrera Mine,"Argentina, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Minera Agua Rica Alumbrera Limited, Newmont Corporation, Glencore International AG, Barrick","Gold, Copper, Silver, Lead, Zinc, Metals","Operational, Under Construction","Argentina, USA, Canada, Peru, Dominican Republic"
Autoclave,"Carlin, Pueblo Viejo, Turquoise Ridge","NGM, Barrick","Gold, Silver",Operational,"USA, Dominican Republic"
Autoclaves,"Red Chris, Penasquito, Boddington, Cadia, Telfer ",Newmont Corporation,"Gold, Sulfide Ores",Operational,"Canada, Mexico, Australia"
Brucejack Mine,Canada,Newmont Corporation,Copper,Operational,Canada
Cadia Operations,Australia,Newmont Corporation,Gold,Operational,Australia
Carbon In Leach Circuit,"Cortez, Pueblo Viejo, Phoenix","NGM, Barrick, Newmont Corporation","Gold, Silver, Copper, Zinc, Ore",Operational,"USA, Dominican Republic"
Cerro Negro Mining Complex,"Argentina, South America",Newmont Corporation,"Gold, Silver, Minerals","Temporarily Placed Into Care And Maintenance, Operational",Argentina
concentrate production vessels,,Newmont Corporation,"Gold, Copper, Silver, Lead, Zinc",Operational,
Conga Mine,Peru,Newmont Corporation,"Copper, Gold, Metals","Operational, Held For Sale, Under Construction, End Of Life, Care And Maintenance",Peru
Continental Gold inc.,,"Newmont Corporation, Zijin Mining Group, Northern Star Resources Limited",Gold,Operational,
Conveyor Systems,,Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Minerals",Operational,
Corporate And Regional Offices,,Newmont Corporation,"Gold, Silver",,
Cripple Creek & Victor Mine,"Vancouver, Canada, Colorado, USA, Victor, Cripple Creek",Newmont Corporation,Gold,Operational,"Canada, USA"
crushing and grinding circuit,"Cortez, Pueblo Viejo, Penasquito, Boddington, Red Chris, Cadia, Telfer, Cerro Negro","NGM, Barrick, Newmont Corporation","Gold, Silver, Copper, Gold",Operational,"Dominican Republic, Mexico, Australia, Canada,  Brazil"
crushing plant,"Cerro Negro, Boddington",,"Gold,Silver,Gold,Copper",Operational,"Brazil, Australia"
Dawn Mill Site,"Dawn Mill Site, Spokane Indian Reservation, Washington","Newmont Corporation, Dawn, EPA","Mining, Minerals, Uranium","End Of Life, Under Construction, Operational",USA
Deposits/Districts,"Penasquito, Mexico",,Lead,,Mexico
Development,,Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead","Under Construction, Operational",
Dor̩ Production Facilities,"Penasquito, Cerro Negro, Merian, Akyem, Lihir",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Minerals",Operational,"Mexico, Brazil, Suriname, Ghana, Papua New Guinea"
equipment,"Penasquito, Canada, Phoenix, Cripple Creek Mine, Colorado, Peru, Australia, South America, Porcupine, Turquoise Ridge, Argentina, Papua New Guinea, Cerro Negro, Merian, Akyem, Lihir, Eleonore","Newmont Corporation, Ejido communities, NGM, CAT","Gold, Silver, Copper, Lead, Zinc, Metals","Operational, Under Development","Mexico, Canada, USA, Peru, Australia, Dominican Republic, Papua New Guinea, Brazil, Argentina"
Flotation Plant,"Phoenix, Penasquito, Boddington, Red Chris, Cadia, Telfer, Pueblo Viejo Mine Site",Newmont Corporation,"Ore, Gold, Copper, Silver, Zinc","Operational, Under Construction","Mexico, Australia, Canada, USA, Dominican Republic"
Galore Creek Mine,Canada,"Newmont Corporation, NovaGold Resources Inc.","Copper, Mining","Operational, Under Construction",Canada
heap leach pad,"Long Canyon, Cortez, Phoenix, Carlin, Turquoise Ridge",,Gold,Operational,USA
heap leaching pads,"Red Chris, Penasquito, Boddington, Cadia, Telfer, Cortez, Carlin, Turquoise Ridge",Newmont Corporation,Gold,Operational,"Canada, Mexico, Australia, Australia, USA"
infrastructure,"NGM, Merian, Tanami Mine (Northern Territory, Australia), Cripple Creek Mine (Colorado, USA), Long Canyon, Red Chris Mine","Newmont Corporation, Buenaventura, NGM","Ore, Gold, Copper, Silver, Lead, Zinc, Energy, Commodities","Operational, Under Construction","Australia, USA"
Inventories,,Newmont Corporation,"Gold, Silver, Copper",Operational,
Kalgoorlie Consolidated Gold Mines Power Business,"Kalgoorlie, Australia",,"Gold, Electricity",Operational,Australia
La Zanja mine,,,Gold,Sold,
Leach Pad,"North America, South America, Australia, Africa, Nevada, Peru, Long Canyon",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead","Operational, Under Construction, End-Of-Life","USA, Peru, Australia"
Lihir Mine,"Papua New Guinea, Lihir Island, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo, Aniolam, PNG","Newmont Corporation, Barrick","Gold, Copper, Silver, Lead, Zinc, Metals","Operational, Under Construction","Papua New Guinea, USA, Canada, Brazil, Dominican Republic"
Lone Tree,"NGM, Lone Tree","Newmont Corporation, i-80 Gold Corp",Gold,Operational,USA
Long Canyon Mine,"Long Canyon, Nevada","Newmont Corporation, Barrick",Gold,"Long-Term Care And Maintenance, Operational",USA
Facilities,,Newmont Corporation,,"Operational, Under Construction, End-Of-Life",
Maintenance And Storage Facilities,"Boddington Mine Site Property, Cadia","Newmont Corporation, Cadia Holdings","Gold, Silver, Copper, Zinc, Lead","Operational, Under Construction",Australia
Merian Gold Mine,Suriname,"Newmont Corporation, Republic of Suriname, Newmont Suriname, Staatsolie","Gold, Metals, Minerals",Operational,Suriname
Midnite Mine Site,"Midnite Mine Site, Spokane USAn Reservation, Washington","Newmont Corporation, Dawn, EPA","Mining, Minerals, Uranium",Operational,USA
Mill,"North America, South America, Australia, Africa, Nevada, Canada, Merian, Conga, Phoenix, Cortez, Turquoise Ridge, Pueblo Viejo, Carlin, Red Chris, Penasquito, Boddington, Cadia, Telfer, Red Chris","Newmont Corporation, Barrick","Gold,Silver,Copper,Zinc","Operational, Held For Sale, Under Construction","USA, Canada, Australia, Dominican Republic, Brazil"
Milled Ore,"Red Chris, Boddington, Cadia, Telfer, Penasquito","Newcrest Mining, Newmont Corporation","Copper, Silver, Lead, Zinc, Gold",Operational,"Canada, Australia, Mexico"
Mine Operations,"USA, Canada, Peru, Dominican Republic, Australia, Argentina, Suriname",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Metals","Operational, Under Construction, Under Development, End Of Life","USA, Canada, Peru, Dominican Republic, Australia, Argentina, Suriname"
Mine Pits,"Boddington, Mine Site Property, North America, Usa, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo, Penasco, Mexico, Argentina, Dominican Republic","Newmont Corporation, Barrick","Gold, Silver, Copper, Zinc, Lead, Metals, Minerals","Operational, Under Construction","Australia, Canada, Peru, Mexico, Dominican Republic, USA"
Mine Sites,"Eleonore Mine, USA, Porcupine, Canada, Cerro Negro, Peru, Pueblo Viejo","Newmont Corporation, Barrick","Gold, Silver, Copper, Lead, Zinc, Metals","Operating, Under Construction, End-Of-Life, Operational, Temporarily Placed Into Care And Maintenance","USA, Canada, Peru, Dominican Republic"
Mineral Interests,Peru,Newmont Corporation,"Gold, Silver, Lead, Zinc","Exploration Stage, Development Stage, Production Stage, Operational",Peru
Mineral Properties,"Penasquito, Cerro Negro, Merian, Akyem, Lihir, Conga Project, Peru",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead, Minerals","Operational, Under Construction, Under Development","Mexico, Brazil, Ghana, Papua New Guinea, Peru"
Mineral Resources,,,Gold,,
Mines,"Argentina, USA, Nevada, Australia, Peru, Ecuador, Canada, Mexico, Suriname","Newmont Corporation, Lundin Gold, Barrick","Gold, Silver, Copper, Zinc, Lead, Uranium, Metals","Operational, Under Construction, End-Of-Life, Care And Maintenance","Argentina, USA, Australia, Peru, Ecuador, Canada, Mexico, Suriname"
Mining Facilities (Including Open Pit And Underground Mines),,,"Gold, Copper, Silver, Lead, Zinc",Operational,
Mining Operations (Open Pit),"North America, South America, Australia, Africa, Nevada, Western Australia, Penasquito, Cerro Negro, Merian, Akyem, Lihir,  Argentina, Papua New Guinea, Canada",Newmont Corporation,"Gold, Copper, Silver, Zinc, Lead","Operational, Under Development, End-Of-Life, Under Construction, End-Of-Life, Care And Maintenance","USA, Mexico, Brazil, Australia, Papua New Guinea, Canada, Argentina"
Molybdenum Deposits,"NuevaUnion, Chile; Agua Rica, Argentina; Cadia, Australia","Newmont Corporation, NuevaUnion",Molybdenum,Undeveloped,"Chile, Argentina, Australia"
Musselwhite Mine,"Canada, Musselwhite, Vancouver ",Newmont Corporation ,Gold,Operational,Canada
Namosi Underground,"Fiji, North America, South America, Australia, Africa, Nevada",Newmont Corporation,"Copper, Gold",Operational,"Fiji, Australia"
Norte Abierto,Chile,Newmont Corporation,"Silver, Copper",Operational,Chile
NuevaUnion,"Chile, South America","Newmont Corporation, NuevaUnion","Silver, Copper, Molybdenum","Operational 


Let me know when you're ready for the next cell!",Chile
Open Pits And Underground,"Peru, Mexico, Argentina, Dominican Republic, Australia, Africa, Nevada",Newmont Corporation,"Copper, Gold, Lead, Silver, Minerals, Zinc","Operational, Under Construction","Peru, Mexico, Argentina, Dominican Republic, Australia"
Ore Body,,Newmont Corporation,"Gold, Silver, Lead, Zinc, Copper","Under Construction, Operational",
Ore Leach Pads,"Chile, CC&V Mine Site, Long Canyon",Newmont Corporation,"Gold, Copper, Silver, Zinc, Lead","Operational, Under Construction, End-Of-Life",Chile
ore stockpiles,"Penasquito, Mexico, Red Chris",Newmont Corporation,"Gold, Silver, Copper, Zinc, Lead",Operational,"Mexico, Canada"
Oxide Mill/Flotation Circuit,"Carlin, Phoenix, Cortez, Turquoise Ridge, Pueblo Viejo Mine Site",,"Gold, Silver, Copper, Zinc","Operational, Under Construction",
Penasquito,"Penasquito, North America, Vancouver, Canada, Mexico, Zacatecas",Newmont Corporation,"Silver, Lead, Zinc, Gold, Copper, Minerals","Operational, Care And Maintenance, Temporarily Placed Into Care And Maintenance, Operational (Before June 2023), Suspended (June 2023 - October 2023), Suspended","Mexico, Canada"
Porcupine Mine,"Vancouver, Canada; Porcupine, Ontario; Timmins",,"Gold, Minerals",Operational,Canada
Power Generation,,,,,
Process Plants,"Boddington, Red Chris, Penasquito, Cadia, Telfer, Pueblo Viejo Mine Site",,"Copper, Gold, Silver, Zinc",Operational,"Canada, Mexico, Australia, Dominican Republic"
processing plant,"Zacatecas State, Mexico; Nevada; Suriname; Porcupine",,"Gold, Silver, Lead, Zinc, Copper",Operational,"Mexico, USA, Suriname"
Production And Development Properties,,,,Operational,
Pueblo Viejo Mine,"Dominican Republic, Peru","Newmont Corporation, Barrick","Silver, Gold",Operational,"Dominican Republic, Peru"
Red Chris Mine,"Canada, Red Chris",Newmont Corporation,"Copper, Gold, Minerals",Operational,Canada
Red Lake  Mining Complex,"Red Lake, Ontario, Canada","Northern Star Resources Limited, Evolution Mining Limited, Newmont Corporation",Gold,"Operational, End-Of-Life",Canada
