physical asset,location,ownership,commodity,Countries,USA states
Facilities,"Zacatecas,Mexico,Cajamarca Region,Cuajone,Taxco Mine,San Martin Mine,Toquepala,Italy,China,Japan,La Caridad,Buenavista,Cananea Mining District","Southern Copper Corporation,IMMSA,SPCC Peru Branch,Mitsui,Molymet Group,Molymex S.A.,Marcobre,Industrial Minera Mexico,Mexicana de Cobre,Grupo Mexico,Asarco LLC (subsidiary of Grupo Mexico),Minera Mexico,Golder Associates USA Inc.,Tierra Group International","Copper,Zinc,Lead,Silver,Gold,Molybdenum","Mexico,Peru,Italy,China,Japan",
Mining Concessions,"Michiquillay Rural Community,EncaÃÂ±ada Rural Community,Peru,Mexico,Chile,Argentina,Ecuador","Southern Copper Corporation,The Mexican Government,Ministry Of Energy And Mines (MINEM),Ministry Of Economy,Government Of Peru,Government Of Mexico,Peru Mining Exploration & Development Company (Grupo Mexico)","Copper,Molybdenum,Gold,Minerals","Peru,Mexico,Chile,Argentina,Ecuador",
Concentrator,"Cuajone,Toquepala,La Caridad,Santa Eulalia,Peru,Andes Range,Buenavista,Baja California,Apurimac,Cajamarca","Minera Mexico,SPCC Peru Branch,Southern Copper Corporation","Copper,Gold,Lead,Zinc,Iron,Molybdenum","Peru,Mexico",California
Cuajone Mine,"Peru,Cuajone","Southern Copper Corporation,IMMSA,SPCC Peru Branch","Copper,Molybdenum,Silver",Peru,
El Arco Mill,"Mexico,Peru,El Arco Mill,Santa Barbara,El Pilar,Pilares Mill,Cuajone,Toquepala,Buenavista Mill,La Caridad Mill",Recursos Stingray de Cobre S.A de C.V.,"Copper,Molybdenum,Silver,Gold","Mexico,Peru",
"Facilities (Mining,Smelting,Refining)","Peru,Mexico,Cananea Mining District,Sonora","Grupo Mexico,Americas Mining Corporation (AMC),Southern Copper Corporation,Minera Mexico","Copper,Gold,Lead,Silver,Zinc,Molybdenum","Peru,Mexico",
Toquepala Mine,"Andes Mountains,Peru","Southern Copper Corporation,IMMSA,Tierra Group International","Copper,Molybdenum,Silver",Peru,
A Water Storage Dam And Reservoir,El Arco,"Southern Copper Corporation,Agrarian Cooperatives and Private Owners","Copper,Molybdenum",Mexico,
Zinc Refinery,"Peru,La Caridad,Ilo,Buenavista Zinc Plant,Cananea Mining District,Sonora Basin and Range Province","Industrial Minera Mexico,S.A. de C.V.,Grupo Mexico S.A.B. de C.V.,IMMSA,Southern Copper Corporation,Minera Mexico","Zinc,Copper,Molybdenum,Silver,Gold,Lead,Zinc Concentrate,Refined Zinc,sulphuric Acid,Refined Silver,Refined Gold,Refined Cadmium","Peru,Mexico",
Acid Plant,"San Luis Potosi,La Caridad",,"Zinc,Gold,Lead,Copper,Silver",Mexico,
