physical asset,location,ownership,commodity,Countries,USA states
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Copper,Mexico,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Copper,Peru,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Copper,Italy,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Copper,China,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Copper,Japan,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Zinc,Mexico,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Zinc,Peru,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Zinc,Italy,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Zinc,China,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Zinc,Japan,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Lead,Mexico,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Lead,Peru,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Lead,Italy,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Lead,China,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Lead,Japan,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Silver,Mexico,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Silver,Peru,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Silver,Italy,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Silver,China,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Silver,Japan,
Facilities,"['Zacatecas', 'Mexico', 'Cajamarca Region', 'Cuajone', 'Taxco Mine', 'San Martin Mine', 'Toquepala', 'Italy', 'China', 'Japan', 'La Caridad', 'Buenavista', 'Cananea Mining District']",Southern Copper Corporation,Gold,Mexico,
