physical asset,location,ownership,commodity,status,Countries
Facilities,"Zacatecas, Mexico, Cajamarca Region, Cuajone, Taxco Mine, San Martin Mine, Toquepala, Italy, China, Japan, La Caridad, Buenavista, Cananea Mining District","Southern Copper Corporation, Mexican IMMSA, SPCC Peru Branch, Mitsui, Molymet Group, Molymex S.A., Marcobre, Industrial Minera Mexico, Mexicana de Cobre, Grupo Mexico, Asarco LLC (subsidiary of Grupo Mexico), Minera Mexico, Golder Associates USA Inc., Tierra Group International","Copper, Zinc, Lead, Silver, Gold, Molybdenum 
",Operational,"Mexico, Peru, Italy, China, Japan"
Mining Concessions,"Michiquillay Rural Community, Enca̱ada Rural Community, Peru,  Mexico, Chile, Argentina, Ecuador","Southern Copper Corporation,The Mexican Government,Ministry Of Energy And Mines (MINEM),Ministry Of Economy,Government Of Peru,Government Of Mexico,Peru Mining Exploration & Development Company (Grupo Mexico) 


Let me know if you'd like me to process more data!","Copper, Molybdenum, Gold, Metallic and Non-Metallic Minerals","Exploration, Operational","Peru, Mexico, Chile, Argentina, Ecuador"
Concentrator,"Cuajone, Toquepala, La Caridad, Santa Eulalia, Peru, Andes Range, Buenavista, Baja California, Apurimac, Cajamarca","Minera Mexico, SPCC Peru Branch, Southern Copper Corporation  Buenavista unit, Buenavista","Copper, Gold, Lead, Zinc, Iron, Molybdenum","Operational, Production Stage, Suspended, Under Construction","Peru, Mexico"
Cuajone Mine,"Peru, Cuajone","Southern Copper Corporation, IMMSA, SPCC Peru Branch","Copper, Molybdenum, Silver",Operational,Peru
El Arco Mill,"Mexico, Peru, El Arco Mill, Santa Barbara, El Pilar, Pilares Mill, Cuajone, Toquepala, Buenavista Mill, La Caridad Mill, El Pilar Property",Recursos Stingray de Cobre S.A de C.V.,"Copper, Molybdenum, Silver, Gold",Operational,"Mexico, Peru"
"Facilities (Mining, Smelting, Refining)","Peru, Mexico, Cananea Mining District, Sonora","Grupo Mexico, Americas Mining Corporation (AMC), Southern Copper Corporation, Minera Mexico","Copper, Gold, Lead, Silver, Zinc, Molybdenum",Operational,"Peru, Mexico"
Toquepala Mine,"Andes Mountains, Peru","Southern Copper Corporation, IMMSA, Tierra Group International","Copper, Molybdenum, Silver",Operational,Peru
A Water Storage Dam And Reservoir,El Arco,"Southern Copper Corporation, Agrarian Cooperatives And Private Owners","Copper, Molybdenum 


Let me know if you have another cell value you'd like me to clean!",Under Construction,Mexico
Zinc Refinery,"Peru, La Caridad, Ilo, Buenavista Zinc Plant, Cananea Mining District, Sonora Basin and Range Province","Industrial Minera Mexico, S.A. de C.V., Grupo Mexico S.A.B. de C.V., IMMSA Unit, Southern Copper Corporation, Minera Mexico, Buenavista del Cobre","Zinc, Copper, Molybdenum, Silver, Gold, Lead, Zinc Concentrate, Refined Zinc, Sulfuric Acid, Refined Silver, Refined Gold, Refined Cadmium","Operational, Measured, Indicated, Inferred","Peru, Mexico"
Acid Plant,"San Luis Potosi, La Caridad",,"Zinc, Gold, Lead, Copper, Silver",Operational,Mexico
Administration Building,El Arco,"Southern Copper Corporation, Agrarian Cooperatives And Private Owners","Copper,Molybdenum",Under Construction,Mexico
Anode Furnace,"Smelter, Ilo, Ilo Smelter Plant, La Caridad, La Caridad Complex","Southern Copper Corporation, OMIMSA I, OMIMSA II, IMMSA","Copper, Blister Copper, Copper Concentrate, Anodic Slimes",Operational,"Peru, Mexico"
Anode Washing Facility,La Caridad Complex,"OMIMSA I, OMIMSA II, IMMSA",Copper,Operational,Mexico
Ball Mills,"Buenavista, Toquepala",,Copper,Operational,"Peru, Mexico"
Berms,Toquepala Mine,Southern Copper Corporation,Copper,"Operational 


Let me know when you're ready for the next cell!",Peru
Blister Plant,"Peru, Ilo Smelter Plant",Southern Copper Corporation,"Silver, Copper",Operational,Peru
Boilers,"Mining Sites And Processing Plants, Coahuila, Mexico",Southern Copper Corporation,Energy,Operational,Mexico
Buena Tierra Mine,Santa Eulalia,Southern Copper Corporation,"Lead, Zinc, Copper, Iron, Gold, Silver",Operational,Mexico
Buenavista Mining Complex,"Buenavista, Sonora, Mexico",Southern Copper Corporation,"Copper, Silver, Zinc, Molybdenum",Operational,Mexico
Buenavista Cu Plant,Mexico,,Copper,Operational,Mexico
