Name,Asset Type,Location,Commodity,Operating Company,Status
Pingguo,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Mineracao Rio do Norte (MRN),Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Norsk Hydro ASA,Normal Operation
Xiaoyi,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Turkey Bauxite Mine,Bauxite Mine (Aluminium),Turkey,Aluminium / Primary Aluminium,Various,Normal Operation
Birsok and Mandoum,Bauxite Mine (Aluminium),Cameroon,Aluminium / Primary Aluminium,Canyon Resources Ltd,Normal Operation
Balancing item Sierra Leone Bauxite Mine,Bauxite Mine (Aluminium),Sierra Leone,Aluminium / Primary Aluminium,Various,Normal Operation
Balancing item Brazil Bauxite Mine,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Various,Normal Operation
Utkal Alumina expansion,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Hindalco Industries Ltd,Feasibility
Alumina Lanjigarh,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Vedanta Ltd,Normal Operation
Urquhart,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Metallica Minerals Ltd,Under Construction
Niyamgiri,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,BalCo,Unknown
Various Bauxite Mine,Bauxite Mine (Aluminium),Indonesia,Aluminium / Primary Aluminium,Various,Normal Operation
Mocho Mountain,Bauxite Mine (Aluminium),Jamaica,Aluminium / Primary Aluminium,Jamalco,Unknown
Ewarton & Kirkvine,Bauxite Mine (Aluminium),Jamaica,Aluminium / Primary Aluminium,United Company RUSAL Plc,Normal Operation
Amrun,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Rio Tinto PLC,Normal Operation
Parnassus,Bauxite Mine (Aluminium),Greece,Aluminium / Primary Aluminium,Silver & Baryte Ores Mining,Normal Operation
Nonglin,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Guangxi Huayin Aluminum Co Ltd,Normal Operation
Jiaozuo,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Croatia Bauxite Mine,Bauxite Mine (Aluminium),Croatia,Aluminium / Primary Aluminium,Various,Normal Operation
Bel Air,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Alufer Mining Ltd,Unknown
Koumbia,Bauxite Mine (Aluminium),Guinea,Aluminium / Primary Aluminium,Alliance Mining Commodities Ltd,Normal Operation
PT ALUSENTOSA,Bauxite Mine (Aluminium),Indonesia,Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Huntly,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Alcoa Corp,Normal Operation
Dengfeng,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Mirai,Bauxite Mine (Aluminium),Brazil,Aluminium / Primary Aluminium,Companhia Brasileira de Aluminio,Unknown
Severo-Onezhsky,Bauxite Mine (Aluminium),Russia,Aluminium / Primary Aluminium,Severo-Onezhsky,Normal Operation
Mianchi,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Fiji Bauxite Mine,Bauxite Mine (Aluminium),Fiji,Aluminium / Primary Aluminium,Various,Normal Operation
Worsley Alumina (Bauxite),Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,South32 Ltd,Normal Operation
Nanchuan,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Utkal Orissa,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Utkal Alumina International Ltd,Normal Operation
Ruzhou,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Balancing item Dominican Republic Bauxite Mine,Bauxite Mine (Aluminium),Dominican Republic,Aluminium / Primary Aluminium,Various,Normal Operation
Pottangi,Bauxite Mine (Aluminium),Odisha,Aluminium / Primary Aluminium,National Aluminium Co Ltd,Normal Operation
Dobresti,Bauxite Mine (Aluminium),Romania,Aluminium / Primary Aluminium,Minerals West Association,Unknown
Madhya Pradesh,Bauxite Mine (Aluminium),India,Aluminium / Primary Aluminium,Hindalco Industries Ltd,Unknown
Pingdingshan,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Yangquan,Bauxite Mine (Aluminium),China (Mainland),Aluminium / Primary Aluminium,Aluminum Corporation of China Limited,Normal Operation
Kalimantan,Bauxite Mine (Aluminium),Indonesia,Aluminium / Primary Aluminium,Antam Resourcindo PT,Unknown
Gove,Bauxite Mine (Aluminium),Australia,Aluminium / Primary Aluminium,Rio Tinto PLC,Normal Operation
