physical asset,location,ownership,commodity,Countries,USA states
Acquired Oil and Gas Properties,"['Permian Basin', 'New Mexico', 'West Texas']",ConocoPhillips,Oil,USA,"['New Mexico', 'Texas']"
Acquired Oil and Gas Properties,"['Permian Basin', 'New Mexico', 'West Texas']",ConocoPhillips,Gas,USA,"['New Mexico', 'Texas']"
Australia-West Assets And Operations,"['Australia', 'Asia Pacific Region']",ConocoPhillips,Gas,Australia,
Central Gas Processing And Compression Stations,['Bowen And Surat Basins'],ConocoPhillips,Coal,Australia,
Central Gas Processing And Compression Stations,['Bowen And Surat Basins'],ConocoPhillips,Bitumen,Australia,
Central Gas Processing And Compression Stations,['Bowen And Surat Basins'],Origin Energy Limited,Coal,Australia,
Central Gas Processing And Compression Stations,['Bowen And Surat Basins'],Origin Energy Limited,Bitumen,Australia,
Central Processing Facility,"['Montney', 'Colville River Unit', 'Willow Project', 'Alpine Field']",ConocoPhillips,Gas,USA,
Central Processing Facility,"['Montney', 'Colville River Unit', 'Willow Project', 'Alpine Field']",ConocoPhillips,Gas,Canada,
Central Processing Facility,"['Montney', 'Colville River Unit', 'Willow Project', 'Alpine Field']",ConocoPhillips,Oil,USA,
Central Processing Facility,"['Montney', 'Colville River Unit', 'Willow Project', 'Alpine Field']",ConocoPhillips,Oil,Canada,
Colville River Unit,"['Western North Slope', 'Alaska']",ConocoPhillips,Oil,USA,['Alaska']
Colville River Unit,"['Western North Slope', 'Alaska']",ConocoPhillips,Gas,USA,['Alaska']
Colville River Unit,"['Western North Slope', 'Alaska']",ConocoPhillips,Natural Gas Liquids,USA,['Alaska']
Complete Units Of Depreciable Property,,,,,
Concho oil refinery,,ConocoPhillips,Oil,,
ConocoPhillips U.K. Subsidiaries,['United Kingdom'],ConocoPhillips,,United Kingdom,
Conventional Assets,"['North America', 'Europe', 'Africa', 'Asia']",ConocoPhillips,Oil,,
Corporate Aircraft,,ConocoPhillips,Oil,,
Corporate Aircraft,,ConocoPhillips,Gas,,
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,Canada,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,Australia,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,China,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,Libya,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,Malaysia,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,Norway,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,Qatar,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Coal Bed Methane,USA,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Oil,Canada,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Oil,Australia,"['Alaska', 'Delaware']"
Development Wells,"['Delaware Basin', 'Midland Basin', 'Canada', 'Permian Basin', 'Alaska', 'USA', 'Norway', 'Australia', 'China', 'Qatar', 'Libya', 'Lower 48', 'Europe', 'Middle East and North Africa', 'Asia Pacific/Middle East', 'Africa', 'Other Areas']",ConocoPhillips,Oil,China,"['Alaska', 'Delaware']"
