physical asset,location,ownership,commodity,Countries,USA states
Acquired Oil and Gas Properties,"Permian Basin, New Mexico, West Texas",ConocoPhillips,"Oil, Gas",USA,"New Mexico, Texas"
Australia-West Assets And Operations,"Australia,Asia Pacific Region",ConocoPhillips,Gas,Australia,
Central Gas Processing And Compression Stations,Bowen And Surat Basins,"ConocoPhillips, Origin Energy Limited","Coal, Bitumen",Australia,
Central Processing Facility,"Montney, Colville River Unit, Willow Project, Alpine Field",ConocoPhillips,"Gas, Oil","USA, Canada",
Colville River Unit,"Western North Slope, Alaska",ConocoPhillips,"Oil, Gas, Natural Gas Liquids",USA,Alaska
Complete Units Of Depreciable Property,,,,,
Concho oil refinery,,ConocoPhillips,Oil,,
ConocoPhillips U.K. Subsidiaries,United Kingdom,ConocoPhillips,,United Kingdom,
Conventional Assets ,"North America, Europe, Africa, Asia",ConocoPhillips,"Oil  
",,
Corporate Aircraft,,ConocoPhillips,"Oil, Gas",,
Development Wells,"Delaware Basin, Midland Basin, Canada, Permian Basin, Alaska, USA, Norway, Australia, China, Qatar, Libya, Lower 48, Europe, Middle East and North Africa, Asia Pacific/Middle East, Africa, Other Areas","ConocoPhillips, Origin Energy Limited, China Petrochemical Corporation (Sinopec), Shell, Concho, Equity Affiliates"," Coal Bed Methane, Oil, Bitumen, Liquified Gas, Gas, Natural Gas Liquids ","Canada, Australia, China, Libya, Malaysia, Norway, Qatar, USA","Alaska, Delaware"
Distribution Assets,,ConocoPhillips,,,
drilling equipment,"Germany, USA, Permian Basin, Africa, Europe, Asia Pacific/Middle East, China, Senegal, Alaska, Norway, Qatar, British Columbia, West Texas, Canada  ","ConocoPhillips,Shell,Concho,QatarEnergy","Oil, Gas, Bitumen  ","Canada, China, Germany, Norway, Qatar, Senegal, USA","Alaska, Texas"
E&P Facilities,"Australia, Qatar, Australia-West, Alaska, Europe, Asia Pacific, Africa, Libya, Colombia, Argentina, Permian Basin, Canada, Sabah, Sarawak, Offshore Environments, Paris, China, German Liquified Gas  Terminal at Brunsbuttel, Indonesia, Norway, Malaysia, Alberta, U.K., Singapore, Japan, Prudhoe Bay, Queensland, New Mexico, Delaware Basin, Surmont,  Midland and Delaware Basins, Eagle Ford, Bakken, Asia Pacific segment, USA waters, North Field, Arctic Fields","ConocoPhillips, Shell, PTTEP, Concho, TotalEnergies, Equity Affiliates, Venezuelan Government,  Lessees Or Permittees, QatarEnergy, Origin Energy","Oil, Bitumen, Gas,  Liquified Gas , Natural Gas Liquids","Argentina, Australia, Canada, China, Colombia, Indonesia, Japan, Libya, Mexico, Malaysia, Norway, Qatar, Singapore, Venezuela, USA","Alaska, Delaware, New Mexico"
Eagle Ford Acreage,"Permian Basin, Midland Basin, Lower 48 States",ConocoPhillips,Oil,,
Export Terminal ,Libya,ConocoPhillips,Oil,Libya,
Existing Oil And Gas Facilities,"USA, Europe, Africa, Permian Basin, New Mexico, West Texas, Texas", ConocoPhillips,"Gas, Oil, Bitumen, Liquified Gas, Natural Gas Liquids","USA, Mexico","New Mexico, Texas"
Export Pipeline,"Bowen And Surat Basins To Curtis Island, North Slope, Sabine Pass, Texas","ConocoPhillips, Origin Energy Limited, Trans-Alaska Pipeline System (TAPS), Golden Pass Pipeline","Oil, Gas, Bitumen","Australia, USA",Texas
Facilities (in Libya),"Libya,Norway Sector Of The North Sea, Norwegian Sea, Qatar",ConocoPhillips,"Oil, Natural Gas Liquids, Gas","Libya, Norway, Qatar",
FPSO Vessel,"Alvheim Field, Northern North Sea, Siakap North-Petai Oil Field","ConocoPhillips,PTTEP",Oil,"United Kingdom, Malaysia",
Gathering Systems,Bowen And Surat Basins,"ConocoPhillips, Origin Energy Limited","Coal Bed Methane, Oil, Gas, Bitumen, Liquified Gas  

",Australia,
Geologic Maps,,ConocoPhillips,Oil,,
Greater Sunrise Fields,Greater Sunrise Fields,ConocoPhillips,,Australia,
infrastructure,"Indonesia, Texas, Canada, Africa, Qatar, USA, Norway, Australia, China, Malaysia, Libya, Alaska, Gulf of Mexico, Texas Delaware Basin,  Eagle Ford and Bakken, Permian Basin, European Union, Midland and Delaware Basins, Eagle Ford, Bakken","ConocoPhillips, Shell, Concho","Liquified Gas , Bitumen, Oil, Gas 
","Australia, Canada, China, Indonesia, Libya, Mexico, Malaysia, Norway, Qatar, USA","Alaska, Delaware, Texas"
inga fireweed asset ,"Canada, Montney Zone",ConocoPhillips,Gas,Canada,
