physical asset,location,ownership,commodity,status,Countries
Acquired Oil and Gas Properties,"Permian Basin, New Mexico, West Texas",ConocoPhillips,"Oil, Natural Gas",Operational,USA
Australia-West Assets And Operations,"Australia,Asia Pacific Region",ConocoPhillips,Natural Gas,"Operational,Sold",Australia
Central Gas Processing And Compression Stations,Bowen And Surat Basins,"ConocoPhillips, Origin Energy Limited","Coal, Bitumen",Operational,Australia
Central Processing Facility,"Montney, Colville River Unit, Willow Project, Alpine Field",ConocoPhillips,"Natural Gas, Oil","Operational, Under Construction","USA, Canada"
Colville River Unit,"Western North Slope, Alaska",ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Operational,USA
Complete Units Of Depreciable Property,,,,Operational,
Concho oil refinery,,ConocoPhillips,Crude Oil,,
ConocoPhillips U.K. Subsidiaries,United Kingdom,ConocoPhillips,,Sold,United Kingdom
Conventional Assets ,"North America, Europe, Africa, Asia",ConocoPhillips,"Oil  
","Operational, Under Construction, End-Of-Life",
Corporate Aircraft,,ConocoPhillips,"Oil, Gas",Operational,
Development Wells,"Delaware Basin, Midland Basin, Canada, Permian Basin, Alaska, USA, Norway, Australia, China, Qatar, Libya, Lower 48, Europe, Middle East and North Africa, Asia Pacific/Middle East, Africa, Other Areas","ConocoPhillips, Origin Energy Limited, China Petrochemical Corporation (Sinopec), Shell, Concho, Equity Affiliates","Oil, Gas, CBM, Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas, Natural Gas Liquids ","Operational, Under Construction, Operational, End Of Life, Productive, In Progress, Complete, Dry, Exploratory, Development","Canada, Australia, China, Libya, Malaysia, Norway, Qatar, USA"
Distribution Assets,,ConocoPhillips,,"Operational, Under Construction, End-Of-Life",
drilling equipment,"Germany, USA, Permian Basin, Africa, Europe, Asia Pacific/Middle East, China, Senegal, Alaska, Norway, Qatar, British Columbia, West Texas, Canada  ","ConocoPhillips,Shell,Concho,QatarEnergy","Oil, Natural Gas, Bitumen  ","Operational,Under Construction,End-Of-Life","Canada, China, Germany, Norway, Qatar, Senegal, USA"
E&P Facilities,"Australia, Qatar, Australia-West, Alaska, Europe, Asia Pacific, Africa, Libya, Colombia, Argentina, Permian Basin, Canada, Sabah, Sarawak, Offshore Environments, Paris, China, German Liquified Natural Gas  Terminal at Brunsbuttel, Indonesia, Norway, Malaysia, Alberta, U.K., Singapore, Japan, Prudhoe Bay, Queensland, New Mexico, Delaware Basin, Surmont,  Midland and Delaware Basins, Eagle Ford, Bakken, Asia Pacific segment, USA waters, North Field, Arctic Fields","ConocoPhillips, Shell, PTTEP, Concho, TotalEnergies, Equity Affiliates, Venezuelan Government,  Lessees Or Permittees, QatarEnergy, Origin Energy","Crude Oil, Bitumen, Natural gas,  Liquified Natural Gas , Natural Gas Liquids, Oil, Gas","Operational, Under Construction, End-Of-Life, Unknown","Argentina, Australia, Canada, China, Colombia, Indonesia, Japan, Libya, Mexico, Malaysia, Norway, Qatar, Singapore, Venezuela, USA"
Eagle Ford Acreage,"Permian Basin, Midland Basin, Lower 48 States",ConocoPhillips,Crude Oil,Developed,
Export Terminal ,Libya,ConocoPhillips,Crude Oil,Operational,Libya
Existing Oil And Gas Facilities,"USA, Europe, Africa, Permian Basin, New Mexico, West Texas, Texas", ConocoPhillips,"Oil, Gas, Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas, Natural Gas Liquids","Existing, Operational, Under Construction, New, Near End Of Operations, Operational/End Of Life","USA, Mexico"
Export Pipeline,"Bowen And Surat Basins To Curtis Island, North Slope, Sabine Pass, Texas","ConocoPhillips, Origin Energy Limited, Trans-Alaska Pipeline System (TAPS), Golden Pass Pipeline","Crude Oil, Natural Gas, Bitumen",Operational,"Australia, USA"
Facilities (in Libya),"Libya,Norway Sector Of The North Sea, Norwegian Sea, Qatar",ConocoPhillips,"Crude Oil, Natural Gas Liquids, Natural Gas",Operational,"Libya, Norway, Qatar"
FPSO Vessel,"Alvheim Field, Northern North Sea, Siakap North-Petai Oil Field","ConocoPhillips,PTTEP",Crude Oil,Operational,"United Kingdom, Malaysia"
Gathering Systems,Bowen And Surat Basins,"ConocoPhillips, Origin Energy Limited","Coal Bed Methane, Crude Oil, Natural Gas, Bitumen, Liquified Natural Gas  

",Operational,Australia
Geologic Maps,,ConocoPhillips,Crude Oil,,
Greater Sunrise Fields,Greater Sunrise Fields,ConocoPhillips,,,Australia
infrastructure,"Indonesia, Texas, Canada, Africa, Qatar, USA, Norway, Australia, China, Malaysia, Libya, Alaska, Gulf of Mexico, Texas Delaware Basin,  Eagle Ford and Bakken, Permian Basin, European Union, Midland and Delaware Basins, Eagle Ford, Bakken","ConocoPhillips, Shell, Concho","Liquified Natural Gas , Bitumen, Crude Oil, Natural Gas 
","End-Of-Life, Under Construction, Operational","Australia, Canada, China, Indonesia, Libya, Mexico, Malaysia, Norway, Qatar, USA"
inga fireweed asset ,"Canada, Montney Zone",ConocoPhillips,Natural Gas,Operational,Canada
Kuparuk Field,"Alaska, North Slope, Greater Kuparuk Area",ConocoPhillips,Crude Oil,Operational,USA
Leasehold  ,"Delaware Basin, Midland Basin, Canada, Alaska, Kamunsu East Field",ConocoPhillips,"Oil, Gas","Operational, Under Construction, No Longer In Development Plans","Canada, Malaysia, USA"
Liquified Natural Gas  Developments,,ConocoPhillips,"Liquified Natural Gas , Crude Oil, Bitumen, Natural Gas, Natural Gas Liquids",,
Liquified Natural Gas  Facility,"Curtis Island near Gladstone, Bowen and Surat Basins, Queensland, Australia","ConocoPhillips, Origin Energy, Sinopec","Natural Gas, Oil","Operational, Under Construction",Australia
Liquified Natural Gas  Operations,North America,ConocoPhillips,"Natural Gas, Oil",,
Marine Operations,North America,ConocoPhillips,Crude Oil,,
Montney Acreage,"Canada, Lower 48 States",ConocoPhillips,"Natural Gas, Crude Oil","Undeveloped, Operational, Developed",Canada
Natural Gas Plants,"USA, Canada, Asia, Africa, Europe, Prudhoe Bay, South Sumatra",ConocoPhillips,"Oil, Gas, Crude Oil",Operational,"Canada, USA, Indonesia"
Net Acres (Land),Permian Basin,ConocoPhillips,,,USA
Plants And Equipment,Permian Basin,"ConocoPhillips, Shell, Oil and Gas Joint Ventures","Oil, Natural Gas, Crude Oil 

","Operational,Under Construction,End-Of-Life",USA
Networks,,ConocoPhillips,"Data Storage And Processing, Oil And Gas Production","Disrupted, Operational",
Niobrara Interests ,"Niobrara, Argentina, Lower Segment",ConocoPhillips,Oil,Operational,"Argentina, USA"
Ocean Transport Vessels,Navigable Waters Of The USA,"ConocoPhillips, Owners And Operators","Oil, Gas",Operational,USA
Office Buildings,,ConocoPhillips,"Oil, Gas",Operational,
Offshore Oil And Gas Platforms,"Global, Europe, Africa, Carpinteria, California, Permian Basin, New Mexico, West Texas, Texas","ConocoPhillips, ConocoPhillips 


Let me know when you're ready for the next cell!","Oil, Natural Gas, Crude Oil","End-Of-Life, Operational, Decommissioned","USA, Mexico"
Offshore Properties,"USA Waters, North Field, Carpinteria, California","ConocoPhillips, Lessees Or Permittees, QatarEnergy","Oil, Gas, Natural Gas, Crude Oil","Operational, Decommissioned",USA
Oil Sands,"Canada, Alberta",ConocoPhillips,"Oil, Bitumen, Oil Sands",Operational,Canada
operated wells,"Delaware Basin, Midland Basin, Eagle Ford, Bakken, Malaysia, USA, Norway, Canada, Australia, China, Qatar, Libya, Alaska, Europe, Middle East and North Africa, Asia Pacific/Middle East,  Montney, Africa, Other Areas","ConocoPhillips, Origin Energy Limited, China Petrochemical Corporation (Sinopec), Shell, Concho, Equity Affiliates","Oil, CBM, Crude Oil, Bitumen, Liquified Natural Gas , Natural Gas, Natural Gas Liquids, Gas","Operational, Operational, Operational/End-Of-Life, Productive, InProgress, ActiveCompletion, Dry, Exploratory, Development","Australia, Canada, China, Libya, Malaysia, Norway, Qatar, USA"
Other Eastern Export Terminals,Libya,ConocoPhillips,Crude Oil,Operational,Libya
"Facilities, Equipment","Germany, USA, Permian Basin, Africa, Europe, Asia Pacific, China, Senegal, Alaska, Norway, Qatar, British Columbia, West Texas, Canada","ConocoPhillips, Shell, Concho, QatarEnergy","Oil, Gas, Bitumen, Crude Oil, Natural Gas 
","Operational, Under Construction, End-Of-Life","Canada, China, Germany, Norway, Qatar, Senegal, USA"
Petrozuata Heavy Oil Ventures,Petrozuata,"Petróleos De Venezuela, S.A. (PDVSA)",Heavy Oil,Expropriated,Venezuela
Pipeline And Liquified Natural Gas  Assets,"North Slope, Sabine Pass, Texas","ConocoPhillips, Trans-Alaska Pipeline System (TAPS), Golden Pass Pipeline","Oil, Gas, Crude Oil, Natural Gas","Operational, Under Construction, End-Of-Life",USA
Pipeline Capacity Between Canada And U.S. Gulf Coast,Between Canada And The Gulf Coast,ConocoPhillips,,Operational,"Canada, USA"
Pipelines,"Alaska, North Slope, USA",ConocoPhillips,"Oil, Gas, Petroleum Liquids",Operational,USA
"Property, Plant & Equipment",,"ConocoPhillips, Consolidated Companies","Oil, Gas 
","Operational, Under Construction, End-Of-Life",
Producing Properties,,ConocoPhillips,"Oil, Gas",Operational,
Production Assets,"Arctic Fields, Prudhoe Bay",ConocoPhillips,"Oil, Gas","Operational, Under Construction, End-Of-Life",USA
Proved Developed And Undeveloped Reserves,,"Consolidated Companies, ConocoPhillips","Oil, Gas","Operational, Impaired",
Proved Property,"Asia Pacific, Alaska, USA, Canada, Europe, Middle East, Africa","ConocoPhillips, Equity Affiliates","Oil, Gas","Operational, End-Of-Life","Canada, USA"
Prudhoe Bay Field,"Alaska, North Slope, Prudhoe Bay",ConocoPhillips,"Crude Oil, Natural Gas, Natural Gas Liquids",Operational,USA
Reservoir Simulation Models,,ConocoPhillips,Crude Oil,,
reservoirs,"Alaska, Europe, Asia Pacific, Middle East, Africa, USA, Canada, Permian",ConocoPhillips,Crude Oil,Operational,"Canada, USA"
SAGD Facilities,,ConocoPhillips,"Oil, Gas",Operational,
Seawater Treatment Plant,"Kuparuk, Prudhoe Bay",ConocoPhillips,"Crude Oil,Water",Operational,USA
Shell's Assets in the Delaware Basin  ,"Delaware Basin, Texas",ConocoPhillips,Natural Gas,Operational,USA
Sites,"Federal Superfund Sites, Comparable State And International Sites, Willow Project",ConocoPhillips,"Oil, Natural Gas","Under Investigation, Under Construction",
Storage Assets,,ConocoPhillips,,"Operational, Under Construction, End-Of-Life",
Support Equipment,"Germany, USA, Permian Delaware Basin, Africa, Europe, Lower 48, Asia Pacific Middle East, China, Senegal, Alaska, Norway, NFE and NFS Liquified Natural Gas  projects in Qatar, British Columbia, West Texas, Canada, Qatar","ConocoPhillips,Shell,Concho,QatarEnergy","Oil, Natural Gas, Bitumen, Liquified Natural Gas","Operational, Under Construction, End-Of-Life","Canada, China, Germany, Norway, Qatar, Senegal, USA"
