physical asset,location,ownership,commodity,Countries,status,USA states
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Crude Oil,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Crude Oil,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Natural Gas,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Natural Gas,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Petroleum,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Petroleum,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Chemicals,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Chemicals,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Crude Oil,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Crude Oil,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Natural Gas,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Natural Gas,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Petroleum,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Petroleum,Australia,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Chemicals,USA,,"['California', 'Delaware']"
Upstream Property,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Chemicals,Australia,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Crude Oil,USA,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Crude Oil,Australia,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Natural Gas,USA,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Natural Gas,Australia,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Petroleum,USA,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Petroleum,Australia,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Chemicals,USA,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Corporation,Chemicals,Australia,,"['California', 'Delaware']"
Plant And Equipment,"['USA', 'Australia', 'International', 'California', 'Denver-Julesburg Basin', 'Delaware Basin']",Chevron Phillips Chemical Company LLC,Crude Oil,USA,,"['California', 'Delaware']"
