physical asset,location,ownership,commodity,Countries,status,USA states
"Upstream Property, Plant And Equipment","USA, Australia, International, California, Denver-Julesburg Basin, Delaware Basin","Chevron Corporation, Chevron Phillips Chemical Company LLC","Crude Oil, Natural Gas, Petroleum, Chemicals ","USA, Australia",,"California, Delaware"
Acreage,Africa,,Natural Gas,,,
C3 Splitter Project,"Cedar Bayou, Texas",Chevron Phillips Chemical Company LLC,,USA,,Texas
Chemical Plants,International,Chevron Corporation,Chemicals,,,
Facilities (Chemicals),"Permian Basin, USA, North America, California, Gulf Of Mexico, Colombia, Angola,  Americas, Australia, Kazakhstan, Escravos Gas Projects In Nigeria, Midland Basin, Asia, Israel, Argentina, TCO In Kazakhstan, Urban Areas, Japan, Other Americas, Africa, Delaware Basin, Nigeria, Republic Of Congo, Midland","Chevron Corporation, Third-Party, Affiliates, TCF","Crude Oil, Natural Gas, Petroleum Products, Petrochemicals, Renewable fuels, Carbon capture and offsets, Hydrogen, Geothermal energy, Hydrocarbons,  Oil","USA, Canada, Colombia, Angola, Australia, Kazakhstan, Nigeria, Argentina, Israel, Japan, Republic of Congo, Mexico",,"California, Delaware"
Components Of Oil-Equivalent,"USA, Americas, Africa, Asia, Australia, Europe",Chevron Corporation,"Crude Oil, Natural Gas Liquids, Natural Gas",USA,,
Crude Oil and Natural Gas Producing Assets (Physical Asset),"Kern County, California, Gulf Of Mexico",Chevron Corporation,"Crude Oil, Natural Gas, Petroleum Substances, Chemicals","USA, Mexico",,California
Cyber Intelligence Centers,"Globally, Some Co-Located With Critical Assets",Chevron Corporation,,,,
Deferred Exploratory Wells,,Chevron Corporation,"Oil, Gas, Crude Oil, Natural Gas, Petroleum Products, Chemicals",,,
Development ,"Americas, Africa, Asia, Australia, Oceania, Europe, USA",Chevron Corporation,"Oil, Gas, Crude Oil, Natural Gas",USA,,
downstream facilities,"International, Gulf Of Mexico, Permian Basin, USA, North America, California, Colombia, Angola, Americas, Australia, Kazakhstan, Escravos Gas Projects In Nigeria, Midland Basin, Asia, Israel, Argentina,  Delaware Basin, Nigeria, Republic Of Congo, Midland, Delaware Basins","Chevron Corporation, Bunge North America Inc., Third-Party Owned Waste Disposal Sites, Affiliates, TCF","Oil, Gas, Petroleum Products, Petrochemicals, Crude Oil, Renewable Fuels, Refined Products, Hydrocarbons, Carbon Capture And Offsets, Emissions Reduction, Geothermal Energy, Hydrogen","USA, Colombia, Angola, Nigeria, Republic Of Congo, Israel, Argentina, Kazakhstan, Mexico",,"California, Delaware"
El Segundo Refinery,"California, USA",Chevron Corporation,"Oil, Gas",USA,,California
Equipment,"Venezuela, Argentina, Mexico, Kazakhstan, USA, Canada, Nigeria, Israel, International,  Midland and Delaware Basins, California, Denver-Julesburg Basin in Colorado","Chevron Corporation, Affiliates, Consolidated Companies, Other Companies, Tengizchevroil, TCF, Chevron Phillips Chemical Company LLC","Natural Gas, Crude Oil, Petroleum Products, Natural Gas Liquids, Renewable Fuels, Hydrogen, Carbon Capture And Offsets, Hydrocarbons, Petrochemicals, Chemicals, Liquefied Natural Gas (LNG), Petroleum","Venezuela, Argentina, Mexico, Kazakhstan, USA, Canada, Nigeria, Israel",,"California, Colorado, Delaware"
Exploration Wells,"Americas, Africa, Asia, Australia, Europe, North America,  Other Americas, Bangladesh, Canada, Angola,  DJ Basin, Gulf Of Mexico","Chevron Corporation, Affiliates","Oil, Gas","Canada, Bangladesh, Angola, USA, Mexico",,
Midland Basin Field,"Midland Basin, West Texas, USA","Chevron Corporation, Chevron Entities","Oil, Natural Gas",USA,,
Appalachian Basin Field,"Appalachian Basin, USA","Chevron Corporation, Chevron Entities","Oil, Natural Gas",USA,,
Louisiana Coastal Zone Field,"Louisiana Coastal Zone, USA","Chevron Corporation, Chevron Entities","Oil, Natural Gas",USA,,Louisiana
Myanmar Field,"Midland Basin, Delaware Basin, Appalachian Basin, Louisiana Coastal Zone, Myanmar","Chevron Corporation, Chevron Entities","Oil, Natural Gas",Myanmar,,"Delaware, Louisiana"
Geological And Geophysical Equipment,"Americas, Africa, Asia, Australia, Oceania, Europe",Chevron Corporation,"Oil, Gas",,,
horizontal wells,"Permian Basin, Delaware basin, Midland basin, DJ basin, USA, Other Americas, Asia, Africa, Australia, Europe, Canada, Israel, Bangladesh, Angola","Chevron Corporation, Affiliates","Oil, Natural Gas","USA, Canada, Israel, Bangladesh, Angola",,Delaware
infrastructure,"Europe, Africa, Canada,  Permian Basin,  West Africa, Bangladesh, Escravos Gas Projects In Nigeria, Gulf Of Mexico, USA, California, Argentina, DJ Basin, International","Chevron Corporation, Noble Energy Inc., Consolidated Companies, PDC","Petroleum Products, Crude Oil, Natural Gas, Petrochemicals, Renewable Fuels, Hydrogen, Carbon Capture And Offsets, Bitumen","Nigeria, Canada, USA, Bangladesh, Argentina, Mexico",,California
Marine Fleet,"USA, Foreign Flagged",Chevron Corporation,"Crude Oil, LNG, Refined Products, Feedstock",USA,,
Multi-Well Pads,"Permian Basin, USA",Chevron Corporation,"Oil, Natural Gas, Crude Oil, NGLs ",USA,,
Pasadena Refinery,Texas,Chevron Corporation,"Oil, Gas",USA,,Texas
PDC Assets (Post-Acquisition),,Chevron Corporation,,,,
pipelines,"Kazakhstan, USA",Chevron Corporation,"Synthetic Oil, Crude Oil, Natural Gas, Refined Products","Kazakhstan, USA",,
plant,"USA, Australia, International, California, Denver-Julesburg Basin, Delaware Basin","Chevron Corporation, Chevron Phillips Chemical Company LLC","Crude Oil, Natural Gas, Petroleum Products, Chemicals","USA, Australia",,"California, Delaware"
Process Control Networks,,Chevron Corporation,,,,
Production Facilities,"Americas, Asia, Europe, Permian Basin, California, Gulf of Mexico, Angola, Colombia, Australia, Kazakhstan, Escravos gas projects in Nigeria,  Midland basin, Israel, Argentina, Delaware basin, Nigeria, Republic of Congo, Midland, Japan, Other Americas, Africa ","Consolidated Companies, Chevron Corporation, Third-Party Owned Waste Disposal Sites, Affiliates, TCF","Crude Oil, Natural Gas, Petroleum Products, Petrochemicals, Renewable fuels, Carbon capture and offsets, Oil, Hydrocarbons, Gas","USA, Canada, Mexico, Angola, Colombia, Australia, Kazakhstan, Nigeria, Israel, Argentina, Japan, Republic of Congo ",,"California, Delaware"
Production Host Facility,"Jack St. Malo Fields, Gulf Of Mexico",Chevron Corporation,"Crude Oil, Natural Gas, NGLs",Mexico,,
Properties,"USA, Australia,  International, California, Denver-Julesburg Basin, Delaware Basin, Americas, Asia, Europe, Africa","Chevron Corporation, Chevron Phillips Chemical Company LLC, Consolidated Companies, Affiliates","Crude Oil, Petroleum Products, Natural Gas, Liquefied Natural Gas (LNG), Petroleum, Chemical products","USA, Australia",,"California, Delaware"
Property Acquisitions,"Americas, Africa, Asia, Australia, Oceania, Europe",Chevron Corporation,"Oil, Gas",,,
Proved Properties And Producing Assets,"Americas, Asia, Europe","Consolidated Companies,Chevron Corporation","Oil, Gas, Crude Oil, Natural Gas, Natural Gas Liquids",,,
refineries,"USA, Germany, Pasadena, Texas, El Segundo, California, ","Chevron Corporation, Renewable Energy Group Inc. (REG)","Oil, Natural Gas, Chemicals, Biodiesel, Renewable Diesel, Gasoline, Other refined products, Petroleum Products, Natural Gas liquids, Renewable diesel, Sustainable aviation fuel","USA, Germany",,"California, Texas"
Solar Power Project,"New Mexico, Lost Hills Field","Chevron Corporation, Joint Venture Partner","Renewable Energy, Solar Energy, Electricity",USA,,New Mexico
Transportation,USA,Chevron Corporation,"Crude Oil, Natural Gas",USA,,
upstream facilities,"USA, Permian Basin, Kazakhstan, North America, California, Gulf of Mexico, Colombia, Angola, Americas, Australia, Escravos gas projects in Nigeria, Midland basin, Asia, Israel, Argentina, TCO in Kazakhstan, Urban areas, Japan, Other Americas, Africa,  Delaware basin, Nigeria, Republic of Congo, Midland","Chevron Corporation, Tengizchevroil, Third-Party Waste Disposal Sites, Affiliates, TCF","Crude Oil,Natural Gas,Petroleum Products,Petrochemicals,Renewable Fuels,Carbon Capture And Offsets,Oil,Hydrocarbons,Geothermal Energy,Emissions Reduction","USA, Kazakhstan, Colombia, Angola, Australia, Nigeria, Israel, Argentina, Mexico",,"California, Delaware"
floating production unit,"Jack St. Malo Fields, Anchor Field",Chevron Corporation,"Crude Oil, Natural Gas, NGLs",USA,,
diesel hydrotreating unit,El Segundo Refinery,Chevron Corporation,Renewable Diesel,USA,,
Fluid Catalytic Cracking Unit,El Segundo Refinery,Chevron Corporation,Sustainable Aviation Fuel,USA,,
Crude Oil Tankers,Global,Chevron Corporation,"Crude Oil,Oil And Natural Gas",,,
Product Carriers,Global,Chevron Corporation,Refined Products,,,
LNG Carriers,Global,Chevron Corporation,Liquefied Natural Gas,,,
Operations,Permian Basin,Chevron Corporation,"Crude Oil,Oil And Natural Gas",USA,,
Federal Superfund Sites,Gulf Of Mexico,Chevron Corporation,"Oil, Natural Gas","Mexico, USA",,
mining sites,,Chevron Corporation,Minerals,,,
Upgrader,Venezuela,,Synthetic Oil,Venezuela,,
hydraulic fracture stimulation equipment,"Permian Basin, USA",Chevron Corporation,"Oil, Natural Gas, Crude Oil, NGLs",USA,,
subsea pumps,"Gulf Of Mexico, Jack St. Malo Fields",Chevron Corporation,"Oil, Natural Gas, Crude Oil","USA, Mexico",,
Deepwater Jack and St. Malo Fields,Gulf Of Mexico,Chevron Corporation,"Oil, Natural Gas","USA, Mexico",,
Single Well Tieback,Gulf Of Mexico,Chevron Corporation,"Oil, Natural Gas","USA, Mexico",,
Topsides Water Injection Equipment,Gulf Of Mexico,Chevron Corporation,"Oil,Natural Gas","USA, Mexico",,
Production wells,"Multiple Locations, USA, Other Americas, Asia, Africa, Australia, Israel, Europe, Delaware Basin, Midland Basin, DJ Basin, Bangladesh, Canada, Angola","Chevron Corporation, Affiliates","Oil, Natural Gas, Crude Oil, Natural Gas Liquids","USA, Canada, Israel, Bangladesh, Angola",,Delaware
Injector Wells,"Multiple Locations, USA, Other Americas, Asia, Africa, Australia, Europe, Canada, Israel","Chevron Corporation, Affiliates","Oil, Natural Gas, Crude Oil, Natural Gas Liquids","USA, Canada, Israel",,
Research and Development Centers,Global Locations,Chevron Phillips Chemical Company LLC,,,,
Ethylene Plant ,"Cedar Bayou, Texas",Chevron Phillips Chemical Company LLC,Ethylene,USA,,Texas
CNG Stations,Nationwide,Chevron Corporation,Compressed Natural Gas,,,
Crude Oil Pipeline [Pipeline used for transporting Crude Oil],"Tengiz Field, Kazakhstan to Novorossiysk, Russia (Black Sea)",Caspian Pipeline Consortium (CPC),Crude Oil,"Kazakhstan, Russia",,
Three Single Point Mooring Facilities,"Novorossiysk, Black Sea",Caspian Pipeline Consortium (CPC),Crude Oil,Russia,,
CCS Hub,"Bayou Bend, Offshore USA",Joint Venture With Chevron And Partner,Carbon capture,USA,,
Joint Venture Solar Energy Project,"Permian Basin, New Mexico",Joint Venture With Chevron And Partner,Renewable Energy,USA,,New Mexico
two wellhead platforms,Q&M Fields,Chevron Corporation,Gas,Angola,,
An Onshore Gas Treatment Plant,Q&M Fields,Chevron Corporation,Gas,Angola,,
Connections to the Angola Lng Plant,Q&M Fields,Chevron Corporation,Gas ,Angola,,
Oil Mining Leases (OML) and Petroleum Prospecting Licenses [N/A],Nigeria,Chevron Corporation,Oil,Nigeria,,
six concessions (physical assets for oil and gas extraction),Nigeria,Chevron Corporation,Oil,Nigeria,,
"Six Operated Deepwater Blocks, Six Nonoperated Deepwater Blocks (Deepwater Oil & Gas Production)",Nigeria,Chevron Corporation,Oil,Nigeria,,
The Agbami Field,,Chevron Corporation,Oil,,,
The USan Field in OML  ,Nigeria,"Chevron Corporation, Third-Party",Oil,Nigeria,,
Esravos Gas Plant,Escravos,Chevron Corporation,"Natural Gas, Liquefied Petroleum Gas",Nigeria,,
Escravos Gas To Liquids Facility,Escravos,Chevron Corporation,Oil,Nigeria,,
CPC Pipeline,"Kazakhstan, Russia",Chevron Corporation and Kazakhstan/Russia Joint Venture,Crude Oil,"Kazakhstan, Russia",,
Sarita Processing and Services Complex,Kurdistan Region Of Iraq,Chevron Corporation,Oil,Iraq,,
Qara Dagh Petroleum Services Complex,Kurdistan Region Of Iraq,Chevron Corporation,Oil,Iraq,,
Yadana Field,Myanmar,Chevron Corporation,Natural Gas,Myanmar,,
Badamyar Field,Myanmar,Chevron Corporation,Natural Gas ,Myanmar,,
Partitioned Zone (Hydrocarbon Resources),Partitioned Zone,Chevron Corporation,"Oil, Gas",,,
Wheatstone Project,"Ashburton North, Western Australia",Chevron Corporation,Natural Gas,Australia,,
Carbon Capture And Storage Infrastructure,,Chevron Corporation,Carbon Dioxide,,,
LNG Vessels,USA,Chevron Corporation,Liquefied Natural Gas ,USA,,
Acres in Denver-Julesburg (DJ) Basin and Permian Basin,USA,Chevron Corporation,Crude Oil,USA,,
Green Hydrogen Production And Storage Hub,Utah,Chevron Corporation,Hydrogen,USA,,Utah
Hess Corporation Assets,Global,Chevron Corporation,Not Specified,,,
Proved Developed Reserves ,"North America, South America, Africa","Chevron Corporation, Consolidated Companies, Affiliates","Crude Oil, NGLs, Natural Gas, Commodity Chemicals, Refined Products",,,
"Properties, Plant And Equipment (PP&E)","USA, Australia, International, California, Denver-Julesburg Basin, Delaware Basin","Chevron Corporation, Chevron Phillips Chemical Company LLC","Crude Oil, NGLs, Natural Gas, Commodity Chemicals, Refined Products","USA, Australia",,"California, Delaware"
Proved Mineral Interests In Crude Oil And Natural Gas Properties [Physical Asset],"Kern County, California",Chevron Corporation,"Crude Oil, Natural Gas, Products, Chemicals, NGLs, Commodity Chemicals, Refined Products",USA,,California
Downstream Long-Lived Assets,,,,,,
Pascagoula refining network,"Pascagoula, Mississippi",Chevron Corporation,crude oil,USA,operational,Mississippi
El Segundo refinery,"El Segundo, California",Chevron Corporation,,USA,operational,California
Richmond refinery,"Richmond, California",Chevron Corporation,,USA,operational,California
Pasadena refinery,"Pasadena, Texas",Chevron Corporation,,USA,operational,Texas
Salt Lake City refinery,"Salt Lake City, Utah",Chevron Corporation,,USA,operational,Utah
