physical asset,location,ownership,commodity,status,Countries,USA states
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",MPLX LP,Crude Oil,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",MPLX LP,Feedstocks,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",MPLX LP,Refined Products,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",MPLX LP,Renewable Diesel,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",Marathon Petroleum Corporation,Crude Oil,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",Marathon Petroleum Corporation,Feedstocks,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",Marathon Petroleum Corporation,Refined Products,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
Gallup Refinery,"['USA Coastal and Great Lakes States', 'International Jurisdictions In Which We Operate', 'East Texas']",Marathon Petroleum Corporation,Renewable Diesel,"['Operational', 'End-Of-Life', 'Decommissioned', 'Under Construction', 'Decommissioning', 'Impaired']",USA,['Texas']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,Canadian Crude,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,International Crude,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,Feedstocks,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,Refined Products,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,Renewable Fuels,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",Marathon Petroleum Corporation,Chemicals,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,Canadian Crude,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,International Crude,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,Crude Oil,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,Feedstocks,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,Refined Products,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,Renewable Fuels,['Operational'],USA,['Washington']
above ground storage tanks,"['Anacortes', 'Washington', 'Puget Sound']",MPLX LP,Chemicals,['Operational'],USA,['Washington']
Anacortes Refinery,"['Gallup Refinery', 'Martinez Refinery']",MPLX LP,Renewable Diesel,"['Decommissioned', 'Under Construction', 'Decommissioning']",USA,
Anacortes Refinery,"['Gallup Refinery', 'Martinez Refinery']",Marathon Petroleum Corporation,Renewable Diesel,"['Decommissioned', 'Under Construction', 'Decommissioning']",USA,
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Crude Oil,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Petroleum Products,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Crude Oil,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Refined Products,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Natural Gas,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Natural Gas Liquids,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Light Products,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Heavy Crude Oils,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Renewable Diesel,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Renewable Fuels,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Chemicals,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",MPLX LP,Higher Value Products,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Crude Oil,['Operational'],USA,"['California', 'North Dakota']"
Bakken Pipeline Joint Venture,"['Lake Oahe', 'North Dakota', 'USA', 'US Coastal Areas', 'The Great Lakes', 'Inland Waterways of the USA', 'Martinez', 'California']",Marathon Petroleum Corporation,Petroleum Products,['Operational'],USA,"['California', 'North Dakota']"
