physical asset,location,ownership,commodity,Countries,USA states
Acreage,"Algeria,Al Hosn Natural Gas,Dolphin Oman,Permian Rockies And Other Domestic,Gulf Of Mexico,USA,Powder River Basin,Permian Basin",Occidental Petroleum Corporation,"Crude Oil,Natural Gas","Algeria,Oman,USA",
Automated And Surveillance Systems,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Co-Generation Facilities,"Permian Basin,Texas,Louisiana",Occidental Petroleum Corporation,"Crude Oil,Natural Gas,Electricity,Power",USA,"Louisiana,Texas"
communications network,,"Third Party,Occidental Petroleum Corporation","Crude Oil,Natural Gas",,
Compression Equipment,"North Africa,Algeria,DJ Basin,Permian Basin,Gulf-Coast,USA,Oman,Colorado,Permian,West Virginia,Gulf of Mexico,Rockies","Occidental Petroleum Corporation,OxyChem","Crude Oil,Natural Gas,Chemicals,Ethylene,Coal","Algeria,USA,Oman","Colorado,Virginia,West Virginia"
compressors,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Conventional Projects,Permian EOR,Occidental Petroleum Corporation,,USA,
Crude Pipeline,"Gulf Coast,Permian Basin,Qatar,UAE,Oman","Occidental Petroleum Corporation,Delaware Owned","Crude Oil,Natural Gas,Water,Natural Gas Liquids","Qatar,UAE,Oman",
Crude Terminal,Midland To Gulf Coast,Occidental Petroleum Corporation,"Crude Oil,Water",USA,
"Dolphin Pipeline 


Let me know if you'd like to process another cell!","Qatar,UAE,Oman,Permian Basin","Occidental Petroleum Corporation,Delaware Owned","Natural Gas,Water,Natural Gas Liquids,Crude Oil","Qatar,UAE,Oman",
Domestic Onshore Undeveloped Leases,Onshore USA  Domestic Assets,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,
Easements,,Occidental Petroleum Corporation,"Natural Gas,Crude Oil",,
Emissions Control Systems,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
"Engineering And Technical Staff Offices In The Woodlands,Texas","The Woodlands,Texas",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,Texas
"Exploratory And Development Wells (Being Drilled) 


Let me know when you're ready for the next cell!","USA,International",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,
Facilities,"USA,Middle East,Colombia,Permian Basin,Greenway Plaza,Houston,Texas","Occidental Petroleum Corporation,Al Hosn Natural Gas","Crude Oil,Natural Gas,Condensate","USA,Colombia,Middle East",Texas
"Facilities (Marine Shore-Bases In Galveston,Texas,And Port Fourchon,Louisiana,Two Helicopter Bases In Louisiana)","Galveston,Texas; Port Fourchon,Louisiana",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,"Louisiana,Texas"
Federal Lands [In New Mexico And Wyoming],"New Mexico,Wyoming",BLM,"Crude Oil,Natural Gas",USA,"New Mexico,Wyoming"
Field Equipment,"International,North Africa,INatural Gas Liquidseside Facility,DJ Basin,Algeria,Permian Basin,Gulf Coast,Colorado,Oman,West Virginia,Gulf of Mexico,Rockies","Occidental Petroleum Corporation,OxyChem","Crude Oil,Natural Gas,Condensate,Natural Gas Liquids,Chemical Raw Materials,Power,Chemicals,Ethylene","Algeria,Oman,USA","Colorado,Virginia,West Virginia"
Natural Gas Fields,"USA (Texas,New Mexico,Colorado,Gulf Of Mexico),Oman,UAE,Algeria",Occidental Petroleum Corporation,"Natural Gas,Crude Oil","USA,Oman,UAE,Algeria","Colorado,New Mexico,Texas"
Natural Gas Plants,"Domestic Sites,International Sites,Texas,New Mexico,Colorado,Permian Basin,California,Delaware Owned,Michigan,New York,Ohio,Tennessee,Washington","Occidental Petroleum Corporation,Third Parties,WES","Crude Oil,Natural Gas,Natural Gas Liquids",USA,"California,Colorado,Delaware,Michigan,New Mexico,New York,Ohio,Tennessee,Texas,Washington"
Natural Gas Processing And Compression Plant,Qatar,Delaware Owned,Natural Gas,Qatar,
gathering systems,"Domestic Sites,International Sites,Wes Operating,Texas,New Mexico,Colorado,Midland To Gulf Coast","WES,Occidental Petroleum Corporation","Crude Oil,Natural Gas",USA,"Colorado,New Mexico,Texas"
Gulf Of Mexico Assets,Gulf of Mexico,"Occidental Petroleum Corporation,Occidental Subsidiaries","Crude Oil,Natural Gas","USA,Mexico",
Horn Mountain West Subsea Development,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Infill Development Projects,Permian Basin,Occidental Petroleum Corporation,,USA,
Information And Industrial Control Technology System (N/A),,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Information Systems,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
infrastructure,"Latin America,Gulf Of Mexico,International Assets,USA Gulf Coast,Rockies,Permian Basin,Utah,Algeria,Powder River Basin,Louisiana,Wyoming,Oman","Occidental Petroleum Corporation,U.S. Government","Crude Oil,Natural Gas","USA,Algeria,Oman","Louisiana,Utah,Wyoming"
Lucius And Holstein Facilities,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Manufacturing Plants,"Alabama,Georgia,Illinois,Kansas,Louisiana,Michigan,New Jersey,Ohio,Tennessee,Texas,Canada,Chile","OxyChem,Occidental Petroleum Corporation","Chemicals,Chlorine,Caustic Soda,Chlorinated Organics,Potassium Chemicals,Chlorinated Isocyanurates,Sodium Silicates,Calcium Chloride,Vinyl Chloride Monomer,Polyvinyl Chloride,Ethylene,Crude Oil,Natural Gas","USA,Canada,Chile","Alabama,Georgia,Illinois,Kansas,Louisiana,Michigan,New Jersey,Ohio,Tennessee,Texas"
Midstream And Marketing  [physical assets],,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Natural Gas Reserves,"USA,Permian Basin,DJ Basin,Algeria,Oman,Middle East,North Africa,Latin America","Occidental Petroleum Corporation,WES","Natural Gas,Crude Oil","USA,Algeria,Oman,Middle East",
network of pipelines,"UAE,Oman,Midland,Gulf Coast,Texas,New Mexico,Colorado","Delaware Owned,Occidental Petroleum Corporation,WES","Natural Gas,Crude Oil,Carbon,Natural Gas Liquids","UAE,Oman,USA","Colorado,New Mexico,Texas"
Natural Gas Reserves,"USA,International,Permian Basin,DJ Basin,Algeria",Occidental Petroleum Corporation,"Natural Gas,Crude Oil","USA,Algeria",
Offshore and Onshore Drilling Rigs,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Crude Oil production facilities,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas Liquids,Natural Gas",,
Crude Oil Reserves,"USA,Permian Basin,DJ Basin,Algeria,Gulf Of Mexico,Oman,Middle East,North Africa,Latin America,Powder River Basin,Permian EOR,Greenway Plaza,Suite,Houston,Texas",Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Algeria,Oman,Middle East",Texas
Operations,"Gulf Of Mexico,South Texas,DJ Basin","Occidental Petroleum Corporation,OxyChem","Crude Oil,Natural Gas",USA,Texas
Permian Basin,"USA,Permian Basin",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,
Platforms,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Power Generation Facility,"Texas,Louisiana","Third Parties,Occidental Petroleum Corporation","Natural Gas,Electricity",USA,"Louisiana,Texas"
Pressure-Maintenance Projects,"USA,International",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,
"Property,Plant And Equipment","USA,UAE,Oman,Algeria,Colombia,Qatar,Middle East and North Africa,Latin America,Permian Basin,DJ Basin,Countries outside North America",Occidental Petroleum Corporation,"Crude Oil,Natural Gas,Chemical Products","USA,UAE,Oman,Algeria,Colombia,Qatar,Middle East",
Properties,"USA,Permian Basin,International,Algeria",Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Algeria",
Real Estate,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Receiving Facilities,UAE,Delaware Owned,Natural Gas,UAE,
Refinery,"Oklahoma,Louisiana","Third Parties,Occidental Petroleum Corporation","Natural Gas,Petroleum,Crude Oil",USA,"Louisiana,Oklahoma"
Secondary And Tertiary Projects,International Assets,Occidental Petroleum Corporation,,,
Sequestration Hubs,"Louisiana,Texas","Oxy Low Carbon Ventures,1pointfive",Carbon,USA,"Louisiana,Texas"
Sour Natural Gas Processing Facilities,"Al Hosn Natural Gas,UAE","Occidental Petroleum Corporation,Al Hosn Natural Gas","Natural Gas,Natural Gas Liquids,Condensate,Sulfur",UAE,
Well Pads,"Permian Basin,Colorado Eastern Plains",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,Colorado
Wells,"Gulf Of Mexico,DJ Basin,Algeria,Oman,UAE,USA,Middle East And North Africa",Occidental Petroleum Corporation,"Crude Oil,Natural Gas,Hydrocarbons,Condensate","Algeria,Oman,UAE,USA,Middle East",
Deep Disposal Wells,Texas,Occidental Petroleum Corporation,Water,USA,Texas
Central Water Treatment And Recycling Facilities,Texas,Occidental Petroleum Corporation,Water,USA,Texas
Co Producing Wells And Facilities,,Occidental Petroleum Corporation,"Cobalt,Crude Oil",,
Seismic Data Systems,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
drilling equipment,"International,North Africa,INatural Gas Liquidseside Facility,DJ Basin,Algeria,Permian Basin,Gulf Coast,USA,Oman,West Virginia,Gulf of Mexico,Rockies","Occidental Petroleum Corporation,OxyChem","Crude Oil,Natural Gas,Chemicals,Power,Condensate","Algeria,USA,Oman","Virginia,West Virginia"
Land,"Gulf Of Mexico,Permian Basin,DJ Basin,UAE,Oman,Algeria",Occidental Petroleum Corporation,"Crude Oil,Natural Gas","UAE,Oman,Algeria",
Environmental Remediation Sites,"NPL sites,third-party sites,Occidental-operated sites,Diamond Alkali Superfund Site,Passaic River,Newark Bay,New Jersey chrome site,Tennessee copper mining and smelting operation,California Crude Oil field,Louisiana refinery,Colorado Crude Oil and Natural Gas operations,Kansas chemical plants,Louisiana chemical plants,Texas chemical plants,Western New York landfill,Oklahoma former refinery,California former chemical plants,Delaware Ownedaware former chemical plants,Michigan former chemical plants,New York former chemical plants,Ohio former chemical plants,Tennessee former chemical plants,Washington former chemical plants,Pennsylvania closed coal mine","Occidental Petroleum Corporation,Maxus,EPA",,USA,"California,Colorado,Delaware,Kansas,Louisiana,Michigan,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Washington"
"Mineral Acres [and Fee Surface Acres] Located In Wyoming,Colorado And Utah","Wyoming,Colorado,Utah",Occidental Petroleum Corporation,"Crude Oil,Natural Gas,Natural Gas Liquids",USA,"Colorado,Utah,Wyoming"
landfill,Western New York,Occidental Petroleum Corporation,,USA,New York
Coal Mine,Pennsylvania,Occidental Petroleum Corporation,,USA,Pennsylvania
Zero-Emission Natural Gas Generation Demonstration Facility,Texas,Occidental Petroleum Corporation,Electricity,USA,Texas
Drilling Locations,DJ Basin,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Facilities,"UAE,Oman,Midland,Gulf Coast,Texas,New Mexico,Colorado,Algeria",Occidental Petroleum Corporation,"Crude Oil,Natural Gas","UAE,Oman,USA,Algeria","Colorado,New Mexico,Texas"
Leased Crude Storage Capacity,Midland to Gulf Coast,Occidental Petroleum Corporation,Crude Oil,USA,
DAC Facility,,Oxy Low Carbon Ventures,Carbon,,
Aircraft,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Third-Party Sites,A Chrome Site in New Jersey,Occidental Petroleum Corporation,Chromium,USA,New Jersey
Currently Operated Sites,Crude Oil And Natural Gas Operations In Colorado,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,Colorado
Closed Or Non-Operated Sites,Former Refinery in Oklahoma,Occidental Petroleum Corporation,Crude Oil,USA,Oklahoma
"Occidental's First Large-Scale Dac Facility In Ector County,Texas  [Physical Asset]","Ector County,Texas",Occidental Petroleum Corporation,,USA,Texas
Processing Facility,"UAE,Al Hosn  Natural Gas","Occidental Petroleum Corporation,Al Hosn Natural Gas","Natural Gas,Sulfur",UAE,
Class VI CO2 Sequestration Wells,"Louisiana,Texas",1pointfive,Carbon,USA,"Louisiana,Texas"
Electric Generating Units,USA,,Electricity,USA,
Property And Equipment Owned By Third Parties,Coastal Operations,"Third Parties,Occidental Petroleum Corporation","Crude Oil,Natural Gas,Chemical Products",,
Exploration Assets,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas Liquids,Natural Gas",,
Deep-Water Exploration Locations,"Gulf Of Mexico,International Deep-Water Locations",Occidental Subsidiaries,Crude Oil,"USA,Mexico",
High Return Upstream Assets (physical assets),"Permian,Rockies,Gulf Of Mexico,Oman,UAE",Occidental Petroleum Corporation,"Crude Oil,Natural Gas,Chemical Products","USA,Oman,UAE",
Deep-water floating platforms,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Helicopter Bases,Louisiana,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,Louisiana
Central Logistics Base,"Broussard,Louisiana",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,Louisiana
Integrated Training Center,"Broussard,Louisiana",Occidental Petroleum Corporation,"Crude Oil,Natural Gas",USA,Louisiana
platform rig,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
service rigs,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Drillships,Gulf Of Mexico,Occidental Petroleum Corporation,"Crude Oil,Natural Gas","USA,Mexico",
Powder River Basin,Powder River Basin,Occidental Petroleum Corporation,Natural Gas,USA,
Crude Oil & Natural Gas Producing Properties,"South Africa,USA,Canada,Middle East,North Africa,North America",Occidental Petroleum Corporation,"Crude Oil,Natural Gas","South Africa,USA,Canada,Middle East",
railcars,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Marine Transportation Vessels,,Occidental Petroleum Corporation,"Crude Oil,Natural Gas",,
Former Diamond Alkali Plant,,Maxus And Its Affiliates,,,
Landfill (in Western New York),Western New York,,,USA,New York
Former Chemical Plants,"California,Michigan,Ohio,Tennessee,Washington",,,USA,"California,Michigan,Ohio,Tennessee,Washington"
Chrome Site (Physical Asset) In New Jersey,New Jersey,,,USA,New Jersey
Former Copper Mine,Tennessee,,,USA,Tennessee
"former chemical plant,landfill",California,,,USA,California
Chemical Plants,"Kansas And Louisiana,California,Delaware Owned,Michigan,New York,Ohio,Tennessee,Washington","OxyChem,Occidental Petroleum Corporation",,USA,"California,Delaware,Kansas,Louisiana,Michigan,New York,Ohio,Tennessee,Washington"
