physical asset,location,ownership,commodity,Countries,USA states
Acreage,"['Algeria', 'Al Hosn Natural Gas', 'Dolphin Oman', 'Permian Rockies And Other Domestic', 'Gulf Of Mexico', 'USA', 'Powder River Basin', 'Permian Basin']",Occidental Petroleum Corporation,Crude Oil,Algeria,
Acreage,"['Algeria', 'Al Hosn Natural Gas', 'Dolphin Oman', 'Permian Rockies And Other Domestic', 'Gulf Of Mexico', 'USA', 'Powder River Basin', 'Permian Basin']",Occidental Petroleum Corporation,Crude Oil,Oman,
Acreage,"['Algeria', 'Al Hosn Natural Gas', 'Dolphin Oman', 'Permian Rockies And Other Domestic', 'Gulf Of Mexico', 'USA', 'Powder River Basin', 'Permian Basin']",Occidental Petroleum Corporation,Crude Oil,USA,
Acreage,"['Algeria', 'Al Hosn Natural Gas', 'Dolphin Oman', 'Permian Rockies And Other Domestic', 'Gulf Of Mexico', 'USA', 'Powder River Basin', 'Permian Basin']",Occidental Petroleum Corporation,Natural Gas,Algeria,
Acreage,"['Algeria', 'Al Hosn Natural Gas', 'Dolphin Oman', 'Permian Rockies And Other Domestic', 'Gulf Of Mexico', 'USA', 'Powder River Basin', 'Permian Basin']",Occidental Petroleum Corporation,Natural Gas,Oman,
Acreage,"['Algeria', 'Al Hosn Natural Gas', 'Dolphin Oman', 'Permian Rockies And Other Domestic', 'Gulf Of Mexico', 'USA', 'Powder River Basin', 'Permian Basin']",Occidental Petroleum Corporation,Natural Gas,USA,
Automated And Surveillance Systems,,Occidental Petroleum Corporation,Crude Oil,,
Automated And Surveillance Systems,,Occidental Petroleum Corporation,Natural Gas,,
Co-Generation Facilities,"['Permian Basin', 'Texas', 'Louisiana']",Occidental Petroleum Corporation,Crude Oil,USA,"['Louisiana', 'Texas']"
Co-Generation Facilities,"['Permian Basin', 'Texas', 'Louisiana']",Occidental Petroleum Corporation,Natural Gas,USA,"['Louisiana', 'Texas']"
Co-Generation Facilities,"['Permian Basin', 'Texas', 'Louisiana']",Occidental Petroleum Corporation,Electricity,USA,"['Louisiana', 'Texas']"
Co-Generation Facilities,"['Permian Basin', 'Texas', 'Louisiana']",Occidental Petroleum Corporation,Power,USA,"['Louisiana', 'Texas']"
communications network,,Third Party,Crude Oil,,
communications network,,Third Party,Natural Gas,,
communications network,,Occidental Petroleum Corporation,Crude Oil,,
communications network,,Occidental Petroleum Corporation,Natural Gas,,
Compression Equipment,"['North Africa', 'Algeria', 'DJ Basin', 'Permian Basin', 'Gulf-Coast', 'USA', 'Oman', 'Colorado', 'Permian', 'West Virginia', 'Gulf of Mexico', 'Rockies']",Occidental Petroleum Corporation,Crude Oil,Algeria,"['Colorado', 'Virginia', 'West Virginia']"
