physical asset,location,ownership,commodity,Countries
Acreage,"Algeria, Al Hosn Gas, Dolphin Oman, Permian Rockies And Other Domestic, Gulf Of Mexico, USA, Powder River Basin, Permian Basin",Occidental Petroleum Corporation,"Oil, Natural Gas","Algeria, Oman, USA"
Automated And Surveillance Systems,,Occidental Petroleum Corporation,"Oil, Natural Gas",
Co-Generation Facilities,"Permian Basin, Texas, Louisiana",Occidental Petroleum Corporation,"Oil, Gas, Electricity, Power",USA
communications network,,"Third Party, Occidental Petroleum Corporation","Oil, Natural Gas",
Compression Equipment,"North Africa, Algeria,  DJ Basin, Permian Basin, Gulf-Coast, USA, Oman, Colorado, Permian, West Virginia, Gulf of Mexico, Rockies","Occidental Petroleum Corporation, OxyChem","Oil, Natural Gas, Chemicals, Ethylene, Coal","Algeria, USA, Oman"
compressors,,Occidental Petroleum Corporation,"Oil, Gas",
Conventional Projects,Permian EOR,Occidental Petroleum Corporation,,USA 
Crude Pipeline,"Gulf Coast, Permian Basin, Qatar, UAE, Oman","Occidental Petroleum Corporation, Delaware Ownedaware Owned","Crude Oil, Natural Gas, Produced Water, Natural Gas Liquid","Qatar, UAE, Oman"
Crude Terminal,Midland To Gulf Coast,Occidental Petroleum Corporation,"Crude Oil,Oil,Produced Water",USA
"Dolphin Pipeline 


Let me know if you'd like to process another cell!","Qatar, UAE, Oman, Permian Basin","Occidental Petroleum Corporation, Delaware Ownedaware Owned","Natural Gas, Produced Water, Natural Gas Liquid, Crude Oil Transportation","Qatar, UAE, Oman"
Domestic Onshore Undeveloped Leases,Onshore USA  Domestic Assets,Occidental Petroleum Corporation,"Oil, Crude Oil, Natural Gas",USA
Easements,,Occidental Petroleum Corporation,"Oil And Gas, Oil And Gas Exploration And Development",
Emissions Control Systems,,Occidental Petroleum Corporation,"Oil, Natural Gas",
"Engineering And Technical Staff Offices In The Woodlands, Texas","The Woodlands, Texas",Occidental Petroleum Corporation,"Oil, Gas",USA
"Exploratory And Development Wells (Being Drilled) 


Let me know when you're ready for the next cell!","USA, International",Occidental Petroleum Corporation,"Oil, Natural Gas",USA
Facilities,"USA, Middle East, Colombia, Permian Basin, Greenway Plaza, Houston, Texas","Occidental Petroleum Corporation, Al Hosn Gas","Oil, Natural Gas, Condensate","USA, Colombia, Middle East"
"Facilities (Marine Shore-Bases In Galveston, Texas, And Port Fourchon, Louisiana, Two Helicopter Bases In Louisiana)","Galveston, Texas; Port Fourchon, Louisiana",Occidental Petroleum Corporation,"Oil, Gas",USA
Federal Lands [In New Mexico And Wyoming],"New Mexico, Wyoming",BLM,"Oil, Gas",USA
Field Equipment,"International, North Africa, INatural Gas Liquideside Facility, DJ Basin, Algeria, Permian Basin, Gulf Coast, Colorado, Oman, West Virginia, Gulf of Mexico, Rockies","Occidental Petroleum Corporation, OxyChem","Oil, Gas, Condensate, Natural Gas Liquids (Natural Gas Liquid), Chemical Raw Materials, Power, Chemicals, Ethylene","Algeria, Oman, USA"
Gas Fields,"USA (Texas, New Mexico, Colorado, Gulf Of Mexico), Oman, United Arab Emirates, Algeria",Occidental Petroleum Corporation,"Natural Gas, Oil","USA, Oman, United Arab Emirates, Algeria"
Gas Plants,"Domestic Sites, International Sites, Texas, New Mexico, Colorado, Permian Basin, California, Delaware Owned, Michigan, New York, Ohio, Tennessee, Washington","Occidental Petroleum Corporation,Third Parties,WES","Oil, Gas, Wet Gas, Natural Gas,  Natural Gas Liquid ",USA
Gas Processing And Compression Plant,Qatar,Delaware Ownedaware Owned,Natural Gas,Qatar
gathering systems,"Domestic Sites, International Sites, Wes Operating, Texas, New Mexico, Colorado, Midland To Gulf Coast","WES, Occidental Petroleum Corporation","Oil, Gas, Natural Gas",USA
Gulf Of Mexico Assets,Gulf of Mexico,"Occidental Petroleum Corporation, Occidental Subsidiaries","Crude Oil, Natural Gas","USA, Mexico"
Horn Mountain West Subsea Development,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico"
Infill Development Projects,Permian Basin,Occidental Petroleum Corporation,,USA
Information And Industrial Control Technology System (N/A),,Occidental Petroleum Corporation,"Oil, Natural Gas",
Information Systems,,Occidental Petroleum Corporation,"Oil, Natural Gas",
infrastructure,"Latin America, Gulf Of Mexico, International Assets, USA Gulf Coast, Rockies, Permian Basin, Utah, Algeria, Powder River Basin, Louisiana, Wyoming, Oman","Occidental Petroleum Corporation, U.S. Government","Oil, Natural Gas","USA, Algeria, Oman"
Lucius And Holstein Facilities,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico"
Manufacturing Plants,"Alabama, Georgia, Illinois, Kansas, Louisiana, Michigan, New Jersey, Ohio, Tennessee, Texas, Canada, Chile","OxyChem, Occidental Petroleum Corporation","Chemicals, Chlorine, Caustic Soda, Chlorinated Organics, Potassium Chemicals, EDC, Chlorinated Isocyanurates, Sodium Silicates, Calcium Chloride, Vinyl Chloride Monomer, Polyvinyl Chloride, Ethylene, Oil, Natural Gas","USA, Canada, Chile"
Midstream And Marketing  [physical assets],,Occidental Petroleum Corporation,"Oil, Natural Gas",
Natural Gas Reserves,"USA, Permian Basin, DJ Basin, Algeria, Oman, Middle East, North Africa, Latin America","Occidental Petroleum Corporation, WES","Natural Gas, Oil","USA, Algeria, Oman, Middle East"
network of pipelines,"UAE, Oman, Midland, Gulf Coast, Texas, New Mexico, Colorado","Delaware Owned, Occidental Petroleum Corporation, WES","Natural Gas, Oil, Carbon, Natural Gas Liquid, Carbon Dioxide, Oil And Gas","UAE, Oman, USA"
Natural Gas Reserves,"USA, International, Permian Basin, DJ Basin, Algeria",Occidental Petroleum Corporation,"Natural Gas, Oil","USA, Algeria"
Offshore and Onshore Drilling Rigs,Gulf Of Mexico,Occidental Petroleum Corporation,"Oil, Gas","USA, Mexico"
Offshore Lease (Sales),"Outer Continental Shelf, Gulf Of Mexico",BOEM,"Oil, Gas",USA
Oil and Gas,"Permian Basin, DJ Basin, Oman, Middle East, North Africa, Latin America, USA, International, Gulf of Mexico, Algeria, South Africa, Canada, Colombia,  Countries Affected By Political Instability, Corruption, Armed Conflict, Terrorism, Insurgency, Civil Unrest, Security Problems, Labor Unrest, OPEC Production Restrictions, Equipment Import Restrictions And Sanctions, Colorado","Occidental Petroleum Corporation, OxyChem","Oil, Natural Gas","Oman, USA, Algeria, South Africa, Canada, Colombia, Middle East"
oil production facilities,,Occidental Petroleum Corporation,"Oil, Natural Gas Liquid, Natural Gas",
Oil Reserves ,"USA, Permian Basin, DJ Basin, Algeria, Gulf Of Mexico, Oman, Middle East, North Africa, Latin America, Powder River Basin, Permian EOR, Greenway Plaza, Suite, Houston, Texas",Occidental Petroleum Corporation,"Oil, Natural Gas","USA, Algeria, Oman, Middle East"
