physical asset,location,ownership,commodity,Countries,status,USA states
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom","ExxonMobil,Government","Crude Oil,Natural Gas","USA,Canada,United Kingdom",,
"Additions To Property,Plant And Equipment","USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin","ExxonMobil,Pioneer Natural Resources Company","Crude Oil,Natural Gas,Refinery Products","USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola",,
Bitumen,Europe,"Equity Companies,Consolidated Subsidiaries,ExxonMobil","Bitumen,Synthetic Crude Oil",Europe,,
Facilities,,ExxonMobil,"Crude Oil,Natural Gas",,,
Chemical Products,,ExxonMobil,,,,
Coastal Refining And Petrochemical Plants,"Vulnerable Areas,Global",ExxonMobil,"Petrochemicals,Hydrocarbon-based Energy Products",,,
Commercial Transportation Fleets,,,"Liquid fuels,Biofuels",,,
Crude Oil,USA,"Equity Companies,Consolidated Subsidiaries,ExxonMobil",Crude Oil,USA,,
drilling equipment,"USA,Canada,Europe,Various Crude Oil and Natural Gas Fields,Guyana,Brazil,Cold Lake,Middle East,Argentina,Asia,Permian Basin,United Kingdom","Consolidated Subsidiaries,Equity Companies,State-owned Companies,ExxonMobil","Crude Oil,Natural Gas,Bitumen,Petroleum Products,Petrochemicals,Specialty Products,Hydrogen,Biofuels","USA,Canada,Guyana,Brazil,United Kingdom,Argentina,Middle East,Asia",,
Energy Products,,ExxonMobil,,,,
ExxonMobil's Equipment,"Canada,Guyana,Brazil,USA,United Kingdom,Argentina,Europe,Asia,Middle East,Cold Lake,Permian Basin","Consolidated Subsidiaries,State-owned Companies,Equity Companies,ExxonMobil","Crude Oil,Natural Gas,Petrochemicals","Canada,Guyana,Brazil,USA,United Kingdom,Argentina,Middle East,Asia",,
Facilities,"Europe,Asia,Canada,Kazakhstan,Romania,United Kingdom,Angola,Brazil,Guyana,Russia,United States","Equity Companies,ExxonMobil,Consolidated Subsidiaries","Crude Oil,Natural Gas,Petroleum Products,Petrochemicals,Biofuels,Hydrogen","Europe,Asia,Canada,Kazakhstan,Romania,United Kingdom,Angola,Brazil,Guyana,Russia,USA",,
Fields,Kazakhstan,"ExxonMobil,TengizchevrCrude Oil LLP (TCO)","Crude Oil,Natural Gas",Kazakhstan,,
FPSO Vessel,"Stabroek Block,Papua New Guinea",ExxonMobil,"Crude Oil,Natural Gas",Papua New Guinea,,
Idled Upstream Santa Ynez Unit Assets And Associated Facilities In California,California,ExxonMobil,"Crude Oil,Natural Gas",USA,,California
Industrial Activity Equipment,,,"Electricity,Natural Gas",,,
infrastructure,"Australia,Asia,Europe,United States,Gulf Of Mexico,Malaysia,Singapore","Equity Companies,ExxonMobil,Consolidated Subsidiaries","Bitumen,Crude Oil,Natural Gas,Petrochemicals,Polymers,Petroleum Products,Olefins,Polyolefins,Intermediates,Clean Fuels","Australia,USA,Malaysia,Singapore",,
Light-Duty Vehicles,,,Liquid fuels,,,
Long-Lived Assets,"Canada,Singapore,Australia,Kazakhstan,Papua New Guinea,Guyana,United Arab Emirates,Nigeria,Brazil,Angola,Russia,USA",ExxonMobil,,"Canada,Singapore,Australia,Kazakhstan,Papua New Guinea,Guyana,United Arab Emirates,Nigeria,Brazil,Angola,Russia,USA",,
Norway Assets,Norway,ExxonMobil,LNG,Norway,,
Crude Oil And Natural Gas Properties,,"ExxonMobil,Consolidated Subsidiaries,Equity Companies","Natural Gas,Crude Oil,Petroleum Products,Petrochemicals,Specialty Products,Hydrogen,Biofuels",,,
Permian Basin,Permian Basin,ExxonMobil,"Crude Oil,Natural Gas,Petroleum,Petrochemical Products",USA,,
Plant,"USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Golden Pass,Midland Basin","ExxonMobil,Pioneer Natural Resources Company","Crude Oil,Natural Gas,Refined Petroleum Products","USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola",,
Mozambique Project,Mozambique,ExxonMobil,"Crude Oil,Natural Gas",Mozambique,,
Property,"USA,Canada,Europe,Africa,Asia,Australia,Singapore,United Kingdom,France,Italy,Belgium,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin of West Texas","ExxonMobil,Consolidated Subsidiaries,Equity Companies,Pioneer Natural Resources Company","Crude Oil,Natural Gas,LNG","USA,Canada,United Kingdom,France,Italy,Belgium,Kazakhstan,Singapore,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola",,Texas
railcars,Railways Networks,ExxonMobil,"Crude Oil,Natural Gas",,,
Refining Technology,,ExxonMobil,Clean Fuels,,,
Research Laboratories,"Global,USA",ExxonMobil,"Petrochemicals,Hydrogen,Lower-Emission Fuels",USA,,
reservoirs,,ExxonMobil,Crude Oil,,,
"Two Manufacturing Sites in Pensacola,Florida and Newport,Wales","Pensacola,Florida; Newport,Wales",,,"USA,Wales",,Florida
Specialty Products,,ExxonMobil,,,,
Suspended Wells,"USA,Canada,Europe,Africa,Asia,Australia","ExxonMobil,Equity Companies","Crude Oil,Natural Gas,Crude Bitumen","USA,Canada",,
Synthetic Crude Oil,"Asia,Africa","Equity Companies,Consolidated Subsidiaries,ExxonMobil","Crude Oil,Synthetic Crude Oil","Asia,Africa",,
tankers,"Implied By Use For Transportation Of Crude Oil And Natural Gas Products,Various Shipping Routes",ExxonMobil,"Crude Oil,Natural Gas",,,
Upstream Assets In The United Kingdom Central And Northern North Sea  (Physical Asset),,"ExxonMobil,Neo Energy","Crude Oil,Natural Gas",,,
"Upstream Property,Plant And Equipment (PP&E)","USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin","ExxonMobil,Pioneer Natural Resources Company","Crude Oil,Natural Gas,LNG,Refinery Products","USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola ",,
Wellbores,,ExxonMobil,Natural Gas Liquids,,,
exploration equipment,"Global,Canada,Guyana,Brazil,Europe,Cold Lake,USA,Middle East,Argentina,Asia,Permian Basin,United Kingdom,Canada/Other Americas,Kearl","Consolidated Subsidiaries,State-owned Companies,Equity Companies,ExxonMobil","Crude Oil,Natural Gas,Natural Gas Liquids,Synthetic Crude Oil,Petroleum Products,Petrochemicals,Fuels,Aromatics,Olefins,Polyolefins,Intermediates,Finished Lubricants,Basestocks And Waxes,Synthetics,Elastomers And Resins","Canada,Guyana,Brazil,USA,United Kingdom,Argentina,Middle East,Asia",,
Refineries,Global,ExxonMobil,Crude Oil,,,
Operations,Countries Where ExxonMobilOperates,ExxonMobil,"Crude Oil,Natural Gas",,,
Exploration Concessions,"Europe,Germany",Government,,Germany,,
Area,Mozambique,Government Of The Republic Of Mozambique Ministry Of Mineral Resources And Energy,Crude Oil,Mozambique,,
"Block A5-B,Block Z5-C,Block Z5-D",Mozambique,Government Of The Republic Of Mozambique Ministry Of Mineral Resources And Energy,Crude Oil,Mozambique,,
Refinery Equipment,"Canada,Guyana,Brazil,Europe,Cold Lake,USA,Middle East,Argentina,Asia,Permian Basin,United Kingdom,Canada","ExxonMobil,Consolidated Subsidiaries,State-owned Companies,Equity Companies","Crude Oil,Natural Gas,Natural Gas Liquids,Synthetic Crude Oil,Hydrocarbon-based Energy Products,Petroleum Products,Petrochemicals,Specialty Products,Hydrogen,Biofuels","Canada,Guyana,Brazil,USA,Argentina,United Kingdom,Middle East,Asia",,
Chemical Process Equipment,,ExxonMobil,"Chemicals,Natural Gas,Crude Oil",,,
Lubricant Basestock Manufacturing Equipment,,ExxonMobil,"Crude Oil,Natural Gas,Lubricants",,,
Service Station Buildings,,ExxonMobil,"Natural Gasoline,Diesel,Crude Oil",,,
Fixed Improvements,,ExxonMobil,"Crude Oil,Natural Gas",,,
Platform,Africa,ExxonMobil,"Crude Oil,Natural Gas",,,
Moveable Equipment,"Canada,Guyana,Brazil,Europe,Cold Lake,USA,Middle East,Argentina,Asia,Permian Basin,United Kingdom,Canada","ExxonMobil,Consolidated Subsidiaries,State-owned Companies,Equity Companies","Natural Gas,Natural Gas Liquids,Synthetic Crude Oil,Crude Oil,Hydrocarbon-based Energy Products,Petroleum Products,Petrochemicals,Specialty Products,Hydrogen,Biofuels","Canada,Guyana,Brazil,USA,Argentina,United Kingdom,Europe,Middle East,Asia",,
Manufacturing Plants,"USA,Global",ExxonMobil,"Petroleum Products,Petrochemicals,Specialty Products",USA,,
retail outlets,"USA,Most Other Countries Of The World",ExxonMobil,Petroleum Products,USA,,
Crude Oil Reserves,"USA,Africa","ExxonMobil,Subsidiaries,Equity Companies","Crude Oil,Natural Gas,Petroleum Products,Petrochemicals,Specialty Products,Hydrogen,Biofuels",USA,,
Development Wells,"Kazakhstan,USA,Canada,Europe,Africa,Asia,Australia","ExxonMobil,Equity Companies","Crude Oil,Natural Gas","Kazakhstan,USA,Canada",,
Qatar North Field East,Qatar,ExxonMobil,"Natural Gas,LNG",Qatar,,
South Floating LNG,Mozambique,ExxonMobil,"Natural Gas,LNG",Mozambique,,
Papua New Guinea Expansion,Papua New Guinea,ExxonMobil,"Natural Gas,LNG",Papua New Guinea,,
Golden Pass LNG,USA Gulf Coast,ExxonMobil,"Natural Gas,LNG",USA,,
Dry Natural Gas Assets,Africa,ExxonMobil,"Natural Gas,LNG",,,
"Refinery expansion in Beaumont,Texas","Beaumont,Texas",ExxonMobil,Clean Fuels,USA,,Texas
Chemical Complex,China,ExxonMobil,Chemicals,China,,
Productive Wells,"USA,Canada,Other Americas,Europe,Africa,Asia,Australia/Oceania,Guyana,Brazil,Kearl,Cold Lake","ExxonMobil,Equity Companies","Crude Oil,Natural Gas,Crude Bitumen","USA,Canada,Guyana,Brazil",,
Exploratory Wells,"Angola,USA,Canada,Europe,Africa,Asia,Australia","ExxonMobil,Equity Companies","Crude Oil,Natural Gas,Crude Bitumen","Angola,USA,Canada",,
Mobil Producing Nigeria Unlimited,Nigeria,ExxonMobil,"Crude Oil,Natural Gas",Nigeria,,
Exploration Permits,"Commonwealth Waters,Australia",Australian Government,"Crude Oil,Natural Gas",Australia,,
Retention Leases,"Commonwealth Waters,Australia",Australian Government,"Crude Oil,Natural Gas",Australia,,
Petroleum Prospecting Licenses,Papua New Guinea,,"Crude Oil,Natural Gas",Papua New Guinea,,
Laffan Refinery Process Unit,"Laffan Refinery,Qatar",ExxonMobil,,Qatar,,
Atmospheric Distillation Units,Gravenchon,ExxonMobil,,France,,
