physical asset,location,ownership,commodity,status
joliet,Illinois,100%,"fuels, lubricants and other products and feedstocks",
baton rouge,Louisiana,100%,"fuels, lubricants and other products and feedstocks",
billings,Montana,100%,"fuels, lubricants and other products and feedstocks",
baytown,Texas,100%,"fuels, lubricants and other products and feedstocks",
beaumont,Texas,100%,"fuels, lubricants and other products and feedstocks",
strathcona,Alberta,69.6%,"fuels, lubricants and other products and feedstocks",
nanticoke,Ontario,69.6%,"fuels, lubricants and other products and feedstocks",
sarnia,Ontario,69.6%,"fuels, lubricants and other products and feedstocks",
antwerp,Belgium,100%,"fuels, lubricants and other products and feedstocks",
fos-sur-mer,France,82.9%,"fuels, lubricants and other products and feedstocks",
gravenchon,France,82.9%,"fuels, lubricants and other products and feedstocks",
karlsruhe,Germany,25%,"fuels, lubricants and other products and feedstocks",
trecate,Italy,75.2%,"fuels, lubricants and other products and feedstocks",
rotterdam,Netherlands,100%,"fuels, lubricants and other products and feedstocks",
fawley,United Kingdom,100%,"fuels, lubricants and other products and feedstocks",
fujian,China,25%,"fuels, lubricants and other products and feedstocks",
jurong/pac,Singapore,100%,"fuels, lubricants and other products and feedstocks",
yanbu,Saudi Arabia,50%,"fuels, lubricants and other products and feedstocks",
