physical asset,location,ownership,commodity,Countries,status,USA states
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",ExxonMobil,Crude Oil,USA,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",ExxonMobil,Crude Oil,Canada,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",ExxonMobil,Crude Oil,United Kingdom,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",ExxonMobil,Natural Gas,USA,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",ExxonMobil,Natural Gas,Canada,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",ExxonMobil,Natural Gas,United Kingdom,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",Government,Crude Oil,USA,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",Government,Crude Oil,Canada,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",Government,Crude Oil,United Kingdom,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",Government,Natural Gas,USA,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",Government,Natural Gas,Canada,,
Acreage Holdings,"USA,Canada,Other Americas,Europe,Africa,Asia,United Kingdom",Government,Natural Gas,United Kingdom,,
Additions To Property,"USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin",ExxonMobil,Crude Oil,USA,,
Additions To Property,"USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin",ExxonMobil,Crude Oil,Canada,,
Additions To Property,"USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin",ExxonMobil,Crude Oil,Singapore,,
Additions To Property,"USA,Canada,Singapore,United Kingdom,France,Italy,Belgium,Australia,Kazakhstan,Papua New Guinea,United Arab Emirates,Nigeria,Guyana,Brazil,Russia,Angola,Midland Basin",ExxonMobil,Crude Oil,United Kingdom,,
