physical asset,location,ownership,commodity,Countries,status,USA states
Acreage Holdings,"USA, Canada, Other Americas, Europe, Africa, Asia, United Kingdom","ExxonMobil,Government","Oil,Natural Gas","USA, Canada, United Kingdom",,
"Additions To Property, Plant And Equipment","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola, Midland Basin","ExxonMobil,Pioneer Natural Resources Company","Crude oil, Natural Gas, Refinery Products","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola",,
Bitumen ,Europe,"Equity Companies,Consolidated Subsidiaries,ExxonMobil","Bitumen,Synthetic oil",Europe,,
Facilities,,ExxonMobil,"Oil, Natural Gas",,,
Chemical Products ,,ExxonMobil,,,,
Coastal Refining And Petrochemical Plants,"Vulnerable Areas, Global",ExxonMobil,"Petrochemicals,Hydrocarbon-Based Energy Products",,,
Commercial Transportation Fleets,,,"Liquid fuels, Biofuels",,,
Crude Oil,USA,"Equity Companies,Consolidated Subsidiaries,ExxonMobil","Crude oil,Oil",USA,,
drilling equipment,"USA, Canada, Europe, Various Oil and Gas Fields, Guyana, Brazil, Cold Lake, Middle East, Argentina, Asia, Permian Basin, United Kingdom","ExxonMobil, GOEB, Consolidated Subsidiaries, Equity Companies, State-Owned Companies, The Corporation","Oil, Natural Gas, Bitumen, Crude Oil, Petroleum Products, Petrochemicals, Specialty Products, Carbon Capture, Hydrogen, Biofuels","USA, Canada, Guyana, Brazil,  United Kingdom, Argentina, Middle East, Asia",,
Energy Products,,ExxonMobil,,,,
ExxonMobil's Equipment ,"Canada, Guyana, Brazil, USA, United Kingdom, Argentina, Europe, Asia, Middle East, Cold Lake, Permian Basin","ExxonMobil,Consolidated Subsidiaries,State-owned Companies,Equity Companies,The Corporation","Oil, Gas, Petrochemicals","Canada, Guyana, Brazil, USA, United Kingdom, Argentina, Middle East, Asia",,
Facilities,"Europe, Asia, Canada, Kazakhstan, Romania, United Kingdom, Angola, Brazil, Guyana, Russia, United States","Equity Companies, ExxonMobil, Consolidated Subsidiaries, Expropriated","Crude oil, Oil, Natural Gas, Petroleum Products, Petrochemicals, Biofuels, Hydrogen","Europe, Asia, Canada, Kazakhstan, Romania, United Kingdom, Angola, Brazil, Guyana, Russia, USA",,
Fields,Kazakhstan,"ExxonMobil,Tengizchevroil LLP (TCO)","Oil, Natural Gas",Kazakhstan,,
FPSO Vessel,"Stabroek Block, Papua New Guinea",ExxonMobil,"Oil, Natural Gas",Papua New Guinea,,
Idled Upstream Santa Ynez Unit Assets And Associated Facilities In California ,California,ExxonMobil,"Oil, Gas",USA,,California
Industrial Activity Equipment,,,"Electricity, Natural Gas",,,
infrastructure,"Australia, Asia, Europe, United States, Gulf Of Mexico, Malaysia, Singapore","Equity Companies,ExxonMobil,Consolidated Subsidiaries","Bitumen, Oil, Natural Gas, Petrochemicals, Polymers, Petroleum Products, Olefins, Polyolefins, Intermediates, Clean Fuels","Australia, USA Malaysia, Singapore",,
Light-Duty Vehicles,,,Liquid fuels,,,
Long-Lived Assets,"Canada, Singapore, Australia, Kazakhstan, Papua New Guinea, Guyana, United Arab Emirates, Nigeria, Brazil, Angola, Russia, USA",ExxonMobil,,"Canada, Singapore, Australia, Kazakhstan, Papua New Guinea, Guyana, United Arab Emirates, Nigeria, Brazil, Angola, Russia, USA",,
