physical asset,location,ownership,commodity,status,Countries
Acreage Holdings,"USA, Canada, Other Americas, Europe, Africa, Asia, United Kingdom","ExxonMobil,Government","Oil,Natural Gas",Operational,"USA, Canada, United Kingdom"
"Additions To Property, Plant And Equipment","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola, Midland Basin","ExxonMobil,Pioneer Natural Resources Company","Crude oil, Natural Gas, Refinery Products","Operational, Under Construction, End-Of-Life","USA, Canada, Singapore, United Kingdom, France, Italy, Belgium, Australia, Kazakhstan, Papua New Guinea, United Arab Emirates, Nigeria, Guyana, Brazil, Russia, Angola"
Bitumen ,Europe,"Equity Companies,Consolidated Subsidiaries,ExxonMobil","Bitumen,Synthetic oil","Operational, Undeveloped, Developed",Europe
Facilities,,ExxonMobil,"Oil, Natural Gas",Under Construction,
Chemical Products ,,ExxonMobil,,,
Coastal Refining And Petrochemical Plants,"Vulnerable Areas, Global",ExxonMobil,"Petrochemicals,Hydrocarbon-Based Energy Products",Operational,
Commercial Transportation Fleets,,,"Liquid fuels, Biofuels",,
Crude Oil,USA,"Equity Companies,Consolidated Subsidiaries,ExxonMobil","Crude oil,Oil",Operational,USA
Development Projects [N/A],"Guyana, Brazil",ExxonMobil,"Crude oil,Natural Gas",,"Guyana, Brazil"
drilling equipment,"USA, Canada, Europe, Various Oil and Gas Fields, Guyana, Brazil, Cold Lake, Middle East, Argentina, Asia, Permian Basin, United Kingdom","ExxonMobil, GOEB, Consolidated Subsidiaries, Equity Companies, State-Owned Companies, The Corporation","Oil, Natural Gas, Bitumen, Crude Oil, Petroleum Products, Petrochemicals, Specialty Products, Carbon Capture, Hydrogen, Biofuels","Operational,Developed,Undeveloped","USA, Canada, Guyana, Brazil,  United Kingdom, Argentina, Middle East, Asia"
Energy Products,,ExxonMobil,,Operational,
ExxonMobil's Equipment ,"Canada, Guyana, Brazil, USA, United Kingdom, Argentina, Europe, Asia, Middle East, Cold Lake, Permian Basin","ExxonMobil,Consolidated Subsidiaries,State-owned Companies,Equity Companies,The Corporation","Oil, Gas, Petrochemicals","Operational, Under Construction","Canada, Guyana, Brazil, USA, United Kingdom, Argentina, Middle East, Asia"
Facilities,"Europe, Asia, Canada, Kazakhstan, Romania, United Kingdom, Angola, Brazil, Guyana, Russia, United States","Equity Companies, ExxonMobil, Consolidated Subsidiaries, Expropriated","Crude oil, Oil, Natural Gas, Petroleum Products, Petrochemicals, Biofuels, Hydrogen","Producing, Operational, Under Construction, Idled","Europe, Asia, Canada, Kazakhstan, Romania, United Kingdom, Angola, Brazil, Guyana, Russia, USA"
Fields,Kazakhstan,"ExxonMobil,Tengizchevroil LLP (TCO)","Oil, Natural Gas",Operational,Kazakhstan
