Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity (Barrels),Region PADD,Primary Shareholders
Zhenhai (Sinopec Zhenhai Refining and Chemicals Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Zhenhai Refining and Chemicals Co Ltd,Normal Operation,"1,220,000.00",,Sinopec Corp
Jamnagar Refinery Special Economic Zone (Reliance Industries Limited),Oil Refinery,India,Oil / Oil Products,Reliance Industries Limited,Normal Operation,"1,166,000.00",,Reliance Industries Ltd
Port Arthur (Motiva Enterprises LLC),Oil Refinery,Texas,Oil / Oil Products,Motiva Enterprises LLC,Normal Operation,"1,090,000.00",Gulf Coast (PADD III),Shell
Ras Tanura (Saudi Arabian Oil Company),Oil Refinery,Saudi Arabia,Oil / Oil Products,Saudi Arabian Oil Company,Normal Operation,"956,000.00",,Saudi Aramco
Vadinar Refinery (Nayara Energy Ltd),Oil Refinery,India,Oil / Oil Products,Nayara Energy Ltd,Normal Operation,"935,000.00",,Nayara Energy Ltd
Ulsan (SK Energy Company Limited),Oil Refinery,South Korea,Oil / Oil Products,SK Energy Company Limited,Normal Operation,"840,000.00",,SK Networks Resources Australia Pty Ltd
Onsan (S Oil Corp),Oil Refinery,South Korea,Oil / Oil Products,S Oil Corp,Normal Operation,"830,000.00",,S Oil Corp
Huizhou (CNOOC Huizhou Refining Company),Oil Refinery,China (Mainland),Oil / Oil Products,CNOOC Huizhou Refining Company,Normal Operation,"800,000.00",,China National Offshore Oil Corp (CNOOC)
Yeosu (GS CALTEX OIL CORP),Oil Refinery,South Korea,Oil / Oil Products,GS CALTEX OIL CORP,Normal Operation,"790,000.00",,GS Caltex
Maoming (Sinopec Maoming Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Maoming Company Limited,Normal Operation,"770,000.00",,Sinopec Corp
Seosan Daesan Refinery (Hyundai Oilbank Company Limited),Oil Refinery,South Korea,Oil / Oil Products,Hyundai Oilbank Company Limited,Normal Operation,"720,000.00",,Hyundai Oil
Jamnagar (Reliance Industries Limited),Oil Refinery,India,Oil / Oil Products,Reliance Industries Limited,Normal Operation,"660,000.00",,Reliance Industries Ltd
Sitrah (Bahrain Petroleum Co),Oil Refinery,Bahrain,Oil / Oil Products,Bahrain Petroleum Co,Normal Operation,"657,000.00",,Bahrain Petroleum Co
Amuay Refinery (Petroleos de Venezuela SA),Oil Refinery,Venezuela,Oil / Oil Products,Petroleos de Venezuela SA,Normal Operation,"625,000.00",,PDVSA
Abadan (Abadan Oil Refining Company),Oil Refinery,Iran,Oil / Oil Products,Abadan Oil Refining Company,Normal Operation,"615,000.00",,National Iranian Oil Co
Beaumont (ExxonMobil Corporation),Oil Refinery,Texas,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"610,000.00",Gulf Coast (PADD III),Exxon Mobil Corp
Talin (Dalin) Refinery (Chinese Petroleum Corporation (CPC)),Oil Refinery,Taiwan,Oil / Oil Products,Chinese Petroleum Corporation (CPC),Normal Operation,"600,000.00",,CPC Corp
Koyali Refinery (Gujarat) (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"574,000.00",,Indian Oil Corp
Zibo Qilu Refinery (Sinopec Qilu Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Qilu Company Limited,Normal Operation,"570,000.00",,
Omsk Refinery (Gazprom Neft' PAO),Oil Refinery,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Normal Operation,"566,300.00",,Gazprom Neft
Garyville (Marathon),Oil Refinery,Louisiana,Oil / Oil Products,Marathon,Normal Operation,"565,000.00",Gulf Coast (PADD III),Marathon Oil Corp
Galveston Bay Refinery (GBR) (Marathon Petroleum Co),Oil Refinery,Texas,Oil / Oil Products,Marathon Petroleum Co,Normal Operation,"555,000.00",Gulf Coast (PADD III),BP PLC
Baytown (ExxonMobil Corporation),Oil Refinery,Texas,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"557,000.00",Gulf Coast (PADD III),Exxon Mobil Corp
Kitimat (Kitimat Clean Limited),Oil Refinery,Canada,Oil / Oil Products,Kitimat Clean Limited,Cancelled,"550,000.00",,Kitimat Clean Ltd
Mailiao (Formosa Petrochemical Corporation),Oil Refinery,Taiwan,Oil / Oil Products,Formosa Petrochemical Corporation,Normal Operation,"540,000.00",,Formosa Petrochemical Corp
Ryazan refinery (Ryazan NPK CJSC),Oil Refinery,Central Federal District,Oil / Oil Products,Ryazan NPK CJSC,Normal Operation,"536,500.00",,TNK-BP
Mina Abdulla Refinery (Kuwait National Petroleum Company),Oil Refinery,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Normal Operation,"534,000.00",,Kuwaiti National Petroleum Co
St.Croix Refinery (Port Hamilton Refining & Transportation LLLP),Oil Refinery,United States,Oil / Oil Products,Port Hamilton Refining & Transportation LLLP,Mothballed,"515,000.00",,Hess
Whiting (BP Products North America Incorporated),Oil Refinery,Indiana,Oil / Oil Products,BP Products North America Incorporated,Normal Operation,"510,000.00",Midwest (PADD II),BP PLC
Paradip (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"500,000.00",,IOC
Baton Rouge (ExxonMobil Corporation),Oil Refinery,Louisiana,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"500,000.00",Gulf Coast (PADD III),Exxon Mobil Corp
Panipat (Indian Oil Corporation Limited),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Limited,Normal Operation,"500,000.00",,Indian Oil Corp
Chon Buri Thai Oil Refinery (Thai Oil Public Company Limited),Oil Refinery,Thailand,Oil / Oil Products,Thai Oil Public Company Limited,Normal Operation,"497,000.00",,THAI OIL REFINERY CO (TORC)
Lake Charles (CITGO Petroleum Corp),Oil Refinery,Louisiana,Oil / Oil Products,CITGO Petroleum Corp,Normal Operation,"475,000.00",Gulf Coast (PADD III),CITGO Petroleum Corporation
Mina Al-Ahmadi (Kuwait National Petroleum Company),Oil Refinery,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Normal Operation,"466,000.00",,Kuwaiti National Petroleum Co
Luoyang (SINOPEC Luoyang Company),Oil Refinery,China (Mainland),Oil / Oil Products,SINOPEC Luoyang Company,Normal Operation,"460,000.00",,Sinopec Corp
Mizushima Refinery (A and B Plant) (Eneos Corp),Oil Refinery,Japan,Oil / Oil Products,Eneos Corp,Normal Operation,"460,200.00",,Eneos Corp
Al Jubail Refinery (SATORP) (Saudi Aramco Total Refining & Petrochemical Company),Oil Refinery,Saudi Arabia,Oil / Oil Products,Saudi Aramco Total Refining & Petrochemical Company,Normal Operation,"440,000.00",,Aramco
Wood River (WRB Refining LP),Oil Refinery,Illinois,Oil / Oil Products,WRB Refining LP,Normal Operation,"430,000.00",Midwest (PADD II),Cenovus Energy Inc (Pre-Merger 1)
Manali (Chennai Petroleum Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Chennai Petroleum Corporation Ltd,Normal Operation,"432,000.00",,Indian Oil Corp
Pulau Bukom Refinery (Shell Eastern Petroleum Pte Ltd),Oil Refinery,Singapore,Oil / Oil Products,Shell Eastern Petroleum Pte Ltd,Normal Operation,"430,000.00",,Shell
Jinling (Sinopec Jinling Petrochemical Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Jinling Petrochemical Co Ltd,Normal Operation,"430,000.00",,Sinopec Corp
Yanbu Refinery (YASREF) (Yanbu Aramco Sinopec Refining Company),Oil Refinery,Saudi Arabia,Oil / Oil Products,Yanbu Aramco Sinopec Refining Company,Normal Operation,"430,000.00",,Sinopec Corp
Kirishi Refinery (KirishiNefteOrgSyntez Limited),Oil Refinery,North-Western Federal District,Oil / Oil Products,KirishiNefteOrgSyntez Limited,Normal Operation,"420,000.00",,Surgutneftegas
Ruwais Refinery 2 (West) (Abu Dhabi National Oil Co),Oil Refinery,Abu Dhabi,Oil / Oil Products,Abu Dhabi National Oil Co,Normal Operation,"417,000.00",,Abu Dhabi National Oil Company
REPLAN (Petroleo Brasileiro SA Petrobras),Oil Refinery,Brazil,Oil / Oil Products,Petroleo Brasileiro SA Petrobras,Normal Operation,"415,000.00",,Petrobras
Dalian (PetroChina Dalian Petrochemical Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,PetroChina Dalian Petrochemical Company Limited,Normal Operation,"410,000.00",,PetroChina
Kochi (Bharat Petroleum Corporation Limited),Oil Refinery,India,Oil / Oil Products,Bharat Petroleum Corporation Limited,Normal Operation,"410,000.00",,Bharat Petroleum Corp Ltd
Esfahan Refinery (Esfahan Oil Refining Company),Oil Refinery,Iran,Oil / Oil Products,Esfahan Oil Refining Company,Normal Operation,"405,000.00",,National Iranian Oil Co
Naftan Novopolotsk Refinery (Naftan OJSC),Oil Refinery,Belarus,Oil / Oil Products,Naftan OJSC,Normal Operation,"405,000.00",,Naftan
Pernis (Shell Nederland Raffinaderij B V),Oil Refinery,Netherlands,Oil / Oil Products,Shell Nederland Raffinaderij B V,Normal Operation,"400,000.00",,Shell
Qinzhou Refinery (Guangxi Qinzhou Zhong-Tai Service Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Guangxi Qinzhou Zhong-Tai Service Co Ltd,Normal Operation,"400,000.00",,CNPC
BP Rotterdam (BP Raffinaderij Rotterdam BV),Oil Refinery,Netherlands,Oil / Oil Products,BP Raffinaderij Rotterdam BV,Normal Operation,"400,000.00",,BP PLC
