Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity,Region PADD
Zhenhai (Sinopec Zhenhai Refining and Chemicals Co Ltd),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Zhenhai Refining and Chemicals Co Ltd,Normal Operation,"1,220,000.00 Barrels/day",
Jamnagar Refinery Special Economic Zone (Reliance Industries Limited),Oil Refinery,India,Oil / Oil Products,Reliance Industries Limited,Normal Operation,"1,166,000.00 Barrels/day",
Port Arthur (Motiva Enterprises LLC),Oil Refinery,Texas,Oil / Oil Products,Motiva Enterprises LLC,Normal Operation,"1,090,000.00 Barrels/day",Gulf Coast (PADD III)
Ras Tanura (Saudi Arabian Oil Company),Oil Refinery,Saudi Arabia,Oil / Oil Products,Saudi Arabian Oil Company,Normal Operation,"956,000.00 Barrels/day",
Vadinar Refinery (Nayara Energy Ltd),Oil Refinery,India,Oil / Oil Products,Nayara Energy Ltd,Normal Operation,"935,000.00 Barrels/day",
Ulsan (SK Energy Company Limited),Oil Refinery,South Korea,Oil / Oil Products,SK Energy Company Limited,Normal Operation,"840,000.00 Barrels/day",
Onsan (S Oil Corp),Oil Refinery,South Korea,Oil / Oil Products,S Oil Corp,Normal Operation,"830,000.00 Barrels/day",
Huizhou (CNOOC Huizhou Refining Company),Oil Refinery,China (Mainland),Oil / Oil Products,CNOOC Huizhou Refining Company,Normal Operation,"800,000.00 Barrels/day",
Yeosu (GS CALTEX OIL CORP),Oil Refinery,South Korea,Oil / Oil Products,GS CALTEX OIL CORP,Normal Operation,"790,000.00 Barrels/day",
Maoming (Sinopec Maoming Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Maoming Company Limited,Normal Operation,"770,000.00 Barrels/day",
Seosan Daesan Refinery (Hyundai Oilbank Company Limited),Oil Refinery,South Korea,Oil / Oil Products,Hyundai Oilbank Company Limited,Normal Operation,"720,000.00 Barrels/day",
Jamnagar (Reliance Industries Limited),Oil Refinery,India,Oil / Oil Products,Reliance Industries Limited,Normal Operation,"660,000.00 Barrels/day",
Sitrah (Bahrain Petroleum Co),Oil Refinery,Bahrain,Oil / Oil Products,Bahrain Petroleum Co,Normal Operation,"657,000.00 Barrels/day",
Amuay Refinery (Petroleos de Venezuela SA),Oil Refinery,Venezuela,Oil / Oil Products,Petroleos de Venezuela SA,Normal Operation,"625,000.00 Barrels/day",
Abadan (Abadan Oil Refining Company),Oil Refinery,Iran,Oil / Oil Products,Abadan Oil Refining Company,Normal Operation,"615,000.00 Barrels/day",
Beaumont (ExxonMobil Corporation),Oil Refinery,Texas,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"610,000.00 Barrels/day",Gulf Coast (PADD III)
Talin (Dalin) Refinery (Chinese Petroleum Corporation (CPC)),Oil Refinery,Taiwan,Oil / Oil Products,Chinese Petroleum Corporation (CPC),Normal Operation,"600,000.00 Barrels/day",
Koyali Refinery (Gujarat) (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"574,000.00 Barrels/day",
Zibo Qilu Refinery (Sinopec Qilu Company Limited),Oil Refinery,China (Mainland),Oil / Oil Products,Sinopec Qilu Company Limited,Normal Operation,"570,000.00 Barrels/day",
Omsk Refinery (Gazprom Neft' PAO),Oil Refinery,Siberian Federal District,Oil / Oil Products,Gazprom Neft' PAO,Normal Operation,"566,300.00 Barrels/day",
Garyville (Marathon),Oil Refinery,Louisiana,Oil / Oil Products,Marathon,Normal Operation,"565,000.00 Barrels/day",Gulf Coast (PADD III)
Galveston Bay Refinery (GBR) (Marathon Petroleum Co),Oil Refinery,Texas,Oil / Oil Products,Marathon Petroleum Co,Normal Operation,"555,000.00 Barrels/day",Gulf Coast (PADD III)
Baytown (ExxonMobil Corporation),Oil Refinery,Texas,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"557,000.00 Barrels/day",Gulf Coast (PADD III)
Kitimat (Kitimat Clean Limited),Oil Refinery,Canada,Oil / Oil Products,Kitimat Clean Limited,Cancelled,"550,000.00 Barrels/day",
Mailiao (Formosa Petrochemical Corporation),Oil Refinery,Taiwan,Oil / Oil Products,Formosa Petrochemical Corporation,Normal Operation,"540,000.00 Barrels/day",
Ryazan refinery (Ryazan NPK CJSC),Oil Refinery,Central Federal District,Oil / Oil Products,Ryazan NPK CJSC,Normal Operation,"536,500.00 Barrels/day",
Mina Abdulla Refinery (Kuwait National Petroleum Company),Oil Refinery,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Normal Operation,"534,000.00 Barrels/day",
St.Croix Refinery (Port Hamilton Refining & Transportation LLLP),Oil Refinery,United States,Oil / Oil Products,Port Hamilton Refining & Transportation LLLP,Mothballed,"515,000.00 Barrels/day",
Whiting (BP Products North America Incorporated),Oil Refinery,Indiana,Oil / Oil Products,BP Products North America Incorporated,Normal Operation,"510,000.00 Barrels/day",Midwest (PADD II)
Paradip (Indian Oil Corporation Ltd),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Ltd,Normal Operation,"500,000.00 Barrels/day",
Baton Rouge (ExxonMobil Corporation),Oil Refinery,Louisiana,Oil / Oil Products,ExxonMobil Corporation,Normal Operation,"500,000.00 Barrels/day",Gulf Coast (PADD III)
Panipat (Indian Oil Corporation Limited),Oil Refinery,India,Oil / Oil Products,Indian Oil Corporation Limited,Normal Operation,"500,000.00 Barrels/day",
Chon Buri Thai Oil Refinery (Thai Oil Public Company Limited),Oil Refinery,Thailand,Oil / Oil Products,Thai Oil Public Company Limited,Normal Operation,"497,000.00 Barrels/day",
Lake Charles (CITGO Petroleum Corp),Oil Refinery,Louisiana,Oil / Oil Products,CITGO Petroleum Corp,Normal Operation,"475,000.00 Barrels/day",Gulf Coast (PADD III)
Mina Al-Ahmadi (Kuwait National Petroleum Company),Oil Refinery,Kuwait,Oil / Oil Products,Kuwait National Petroleum Company,Normal Operation,"466,000.00 Barrels/day",
Luoyang (SINOPEC Luoyang Company),Oil Refinery,China (Mainland),Oil / Oil Products,SINOPEC Luoyang Company,Normal Operation,"460,000.00 Barrels/day",
Mizushima Refinery (A and B Plant) (Eneos Corp),Oil Refinery,Japan,Oil / Oil Products,Eneos Corp,Normal Operation,"460,200.00 Barrels/day",
Al Jubail Refinery (SATORP) (Saudi Aramco Total Refining & Petrochemical Company),Oil Refinery,Saudi Arabia,Oil / Oil Products,Saudi Aramco Total Refining & Petrochemical Company,Normal Operation,"440,000.00 Barrels/day",
