physical asset,location,ownership,commodity,Countries,USA states
Acquisition Of Solar Development Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy , Virginia Power","Electricity,Solar Power",USA,"North Carolina, Ohio, Pennsylvania, South Carolina, Texas, Virginia"
Ash Ponds,Virginia,"Dominion Energy , Virginia Power",Coal,USA,Virginia
Atlantic Coast Pipeline,"West Virginia, Virginia, North Carolina","Dominion Energy, Duke Energy, Southern Company","Natural Gas,Oil",USA,"North Carolina, Virginia, West Virginia"
Battery Energy Systems,"Virginia, Various Locations",Virginia Power,"Energy,Electricity",USA,Virginia
"brunswick county a, mw combined-cycle power plant [Natural Gas]","Brunswick County, Virginia, Warren County","Dominion Energy, Virginia Power, SCANA",Electricity,USA,Virginia
Buildings,Corporate And Other Segment,"Virginia Power, Dominion Energy",,,
"Coal Fired Generating Units [coal,Oil]",Virginia,"Virginia Power, Dominion Energy",Electricity,USA,Virginia
"Colonial Trail West, MW Utility-Scale Solar Power Station","Surry County, Virginia","Dominion Energy, Virginia Power","Electricity,Solar Power",USA,Virginia
Compressors,Wyoming,Wexpro,Natural Gas,USA,Wyoming
cooling water intake structures,,"Dominion Energy, Virginia Power, Dominion Energy-South Carolina","Electricity,",,
Corporate Offices,"Richmond, Virginia, Other Cities","Dominion Energy, Virginia Power",,USA,Virginia
Cove Point ,"USA, West Virginia, Maryland, Cove Point","Brookfield, Dominion Energy, BHE, Cove Point Liquefied Natural Gas LP",Liquefied Natural Gas,USA,"Maryland, Virginia, West Virginia"
Dehydration Equipment,"Wyoming, North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Natural Gas, Wexpro, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore, Birdseye","Wexpro, Dominion Energy, Virginia Power, Questar Natural Gas, SCANA, PSNC, Dominion Energy-South Carolina, Dominion Energy Subsidiaries","Natural Gas,Oil,Electricity, Nuclear Fuel  
",USA,"Idaho, North Carolina, Ohio, South Carolina, Utah, Virginia, Wyoming"
Development Wells,,Dominion Energy,"Oil,Natural Gas",,
