Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity,Capacity (Megawatts),Region - NERC,Region - ISO
Parr Hydro Power Station - Parr 05,Hydroelectric Power Station,"South Carolina, USA",Power,Dominion Energy-South Carolina,Commissioned,2.50 Megawatts,2.5,,
North Anna Nuclear Power Station - North Anna 01 Hydro,Hydroelectric Power Station,USA,Power,Dominion Generation,Commissioned,1.00 Megawatts,1,,
Millstone 2,Nuclear Power Station,"Connecticut, USA",Power,Dominion Nuclear Conn Inc,,,--,Northeast Power Coordinating Council Inc,Iso New England
North Anna Nuclear Power Station - North Anna 01B Emer Genset,Oil-fired Power Station,USA,Power,Dominion Generation,Commissioned,2.75 Megawatts,2.75,,
Cope Power Station - Cope 01,Coal-fired Power Station,"South Carolina, USA",Power,Dominion Energy-South Carolina,Commissioned,417.30 Megawatts,417.3,,
Bremo Bluff Power Station - Bremo Bluff 04,Gas-fired Power Station,"Virginia, USA",Power,Dominion Generation,De-commissioned,0.00 Megawatts,0,,
Manchester Street Power Station - Manchester Street 10 CT/HRSG,Gas-fired Power Station,"Rhode Island, USA",Power,"Dominion Energy Manchester Street, Inc.",Commissioned,125.00 Megawatts,125,,
Possum Point Power Station - Possum Point 06 B CT/HRSG,Gas-fired Power Station,USA,Power,Dominion Generation,Commissioned,174.00 Megawatts,174,,
Fairfield Pumped-Storage Hydro Power Station - Fairfield 01,Hydro Pump Storage Power Station,"South Carolina, USA",Power,Dominion Energy-South Carolina,Commissioned,78.00 Megawatts,78,,
Tazewell Hybrid Energy Center - Tazewell 04,Hydro Pump Storage Power Station,USA,Power,Dominion Energy Incorporated,Pre-commissioned,200.00 Megawatts,200,,
Summit Farms PV Solar (Formally Wildwood Solar) - Summit Farms 01 PV,Solar Power Station,USA,Power,Dominion Energy Incorporated,Commissioned,60.00 Megawatts,60,,
Camelot PV Solar Station - Camelot 01 PV,Solar Power Station,USA,Power,Dominion Generation,Commissioned,20.00 Megawatts,20,,
Colonial Trail West PV Solar Plant - Colonial 01 PV,Solar Power Station,USA,Power,Dominion Energy Incorporated,Commissioned,150.00 Megawatts,150,,
Scott II PV Solar/Amazon PV Solar Farm East 5 - Scott II PV,Solar Power Station,USA,Power,Dominion Energy Incorporated,Commissioned,20.00 Megawatts,20,,
Selmer PV Solar Plant - Selmer 01 PV,Solar Power Station,USA,Power,Dominion Generation,Commissioned,20.00 Megawatts,20,,
Catalina Solar II PV Plant - Catalina 02 PV,Solar Power Station,USA,Power,Dominion Energy Incorporated,Commissioned,50.00 Megawatts,50,,
Dulles PV Solar - Dulles 01 BESS,Battery Storage Power Station,USA,Power,Dominion Energy Incorporated,Commissioned,0.00 Megawatts,0,,
Solidago PV Solar Plant - Solidago 01 PV,Solar Power Station,USA,Power,Dominion Energy Incorporated,Commissioned,25.00 Megawatts,25,,
