physical asset,location,ownership,commodity,Countries,USA states
Acquisition Of Solar Development Projects,"['Virginia', 'Ohio', 'South Carolina', 'North Carolina', 'Texas', 'Pennsylvania']",Dominion Energy,Electricity,USA,"['North Carolina', 'Ohio', 'Pennsylvania', 'South Carolina', 'Texas', 'Virginia']"
Acquisition Of Solar Development Projects,"['Virginia', 'Ohio', 'South Carolina', 'North Carolina', 'Texas', 'Pennsylvania']",Dominion Energy,Solar Power,USA,"['North Carolina', 'Ohio', 'Pennsylvania', 'South Carolina', 'Texas', 'Virginia']"
Acquisition Of Solar Development Projects,"['Virginia', 'Ohio', 'South Carolina', 'North Carolina', 'Texas', 'Pennsylvania']",Virginia Power,Electricity,USA,"['North Carolina', 'Ohio', 'Pennsylvania', 'South Carolina', 'Texas', 'Virginia']"
Acquisition Of Solar Development Projects,"['Virginia', 'Ohio', 'South Carolina', 'North Carolina', 'Texas', 'Pennsylvania']",Virginia Power,Solar Power,USA,"['North Carolina', 'Ohio', 'Pennsylvania', 'South Carolina', 'Texas', 'Virginia']"
Ash Ponds,['Virginia'],Dominion Energy,Coal,USA,['Virginia']
Ash Ponds,['Virginia'],Virginia Power,Coal,USA,['Virginia']
Atlantic Coast Pipeline,"['West Virginia', 'Virginia', 'North Carolina']",Dominion Energy,Natural Gas,USA,"['North Carolina', 'Virginia', 'West Virginia']"
Atlantic Coast Pipeline,"['West Virginia', 'Virginia', 'North Carolina']",Dominion Energy,Oil,USA,"['North Carolina', 'Virginia', 'West Virginia']"
Atlantic Coast Pipeline,"['West Virginia', 'Virginia', 'North Carolina']",Duke Energy,Natural Gas,USA,"['North Carolina', 'Virginia', 'West Virginia']"
Atlantic Coast Pipeline,"['West Virginia', 'Virginia', 'North Carolina']",Duke Energy,Oil,USA,"['North Carolina', 'Virginia', 'West Virginia']"
Atlantic Coast Pipeline,"['West Virginia', 'Virginia', 'North Carolina']",Southern Company,Natural Gas,USA,"['North Carolina', 'Virginia', 'West Virginia']"
Atlantic Coast Pipeline,"['West Virginia', 'Virginia', 'North Carolina']",Southern Company,Oil,USA,"['North Carolina', 'Virginia', 'West Virginia']"
Battery Energy Systems,"['Virginia', 'Various Locations']",Virginia Power,Energy,USA,['Virginia']
Battery Energy Systems,"['Virginia', 'Various Locations']",Virginia Power,Electricity,USA,['Virginia']
brunswick county a,"['Brunswick County', 'Virginia', 'Warren County']",Dominion Energy,Electricity,USA,['Virginia']
brunswick county a,"['Brunswick County', 'Virginia', 'Warren County']",Virginia Power,Electricity,USA,['Virginia']
brunswick county a,"['Brunswick County', 'Virginia', 'Warren County']",SCANA,Electricity,USA,['Virginia']
mw combined-cycle power plant [Natural Gas],"['Brunswick County', 'Virginia', 'Warren County']",Dominion Energy,Electricity,USA,['Virginia']
mw combined-cycle power plant [Natural Gas],"['Brunswick County', 'Virginia', 'Warren County']",Virginia Power,Electricity,USA,['Virginia']
mw combined-cycle power plant [Natural Gas],"['Brunswick County', 'Virginia', 'Warren County']",SCANA,Electricity,USA,['Virginia']
Buildings,['Corporate And Other Segment'],Virginia Power,,,
Buildings,['Corporate And Other Segment'],Dominion Energy,,,
Coal Fired Generating Units [coal,['Virginia'],Virginia Power,Electricity,USA,['Virginia']
Coal Fired Generating Units [coal,['Virginia'],Dominion Energy,Electricity,USA,['Virginia']
Oil],['Virginia'],Virginia Power,Electricity,USA,['Virginia']
Oil],['Virginia'],Dominion Energy,Electricity,USA,['Virginia']
Colonial Trail West,"['Surry County', 'Virginia']",Dominion Energy,Electricity,USA,['Virginia']
Colonial Trail West,"['Surry County', 'Virginia']",Dominion Energy,Solar Power,USA,['Virginia']
Colonial Trail West,"['Surry County', 'Virginia']",Virginia Power,Electricity,USA,['Virginia']
Colonial Trail West,"['Surry County', 'Virginia']",Virginia Power,Solar Power,USA,['Virginia']
MW Utility-Scale Solar Power Station,"['Surry County', 'Virginia']",Dominion Energy,Electricity,USA,['Virginia']
MW Utility-Scale Solar Power Station,"['Surry County', 'Virginia']",Dominion Energy,Solar Power,USA,['Virginia']
MW Utility-Scale Solar Power Station,"['Surry County', 'Virginia']",Virginia Power,Electricity,USA,['Virginia']
MW Utility-Scale Solar Power Station,"['Surry County', 'Virginia']",Virginia Power,Solar Power,USA,['Virginia']
Compressors,['Wyoming'],Wexpro,Natural Gas,USA,['Wyoming']
cooling water intake structures,,Dominion Energy,Electricity,,
cooling water intake structures,,Dominion Energy,,,
cooling water intake structures,,Virginia Power,Electricity,,
cooling water intake structures,,Virginia Power,,,
cooling water intake structures,,Dominion Energy-South Carolina,Electricity,,
cooling water intake structures,,Dominion Energy-South Carolina,,,
Corporate Offices,"['Richmond', 'Virginia', 'Other Cities']",Dominion Energy,,USA,['Virginia']
Corporate Offices,"['Richmond', 'Virginia', 'Other Cities']",Virginia Power,,USA,['Virginia']
Cove Point,"['USA', 'West Virginia', 'Maryland', 'Cove Point']",Brookfield,Liquefied Natural Gas,USA,"['Maryland', 'Virginia', 'West Virginia']"
Cove Point,"['USA', 'West Virginia', 'Maryland', 'Cove Point']",Dominion Energy,Liquefied Natural Gas,USA,"['Maryland', 'Virginia', 'West Virginia']"
Cove Point,"['USA', 'West Virginia', 'Maryland', 'Cove Point']",BHE,Liquefied Natural Gas,USA,"['Maryland', 'Virginia', 'West Virginia']"
Cove Point,"['USA', 'West Virginia', 'Maryland', 'Cove Point']",Cove Point Liquefied Natural Gas LP,Liquefied Natural Gas,USA,"['Maryland', 'Virginia', 'West Virginia']"
Dehydration Equipment,"['Wyoming', 'North Carolina', 'PJM Service Territory', 'East Ohio', 'PSNC', 'Questar Natural Gas', 'Wexpro', 'Ohio', 'Virginia', 'Northeastern North Carolina', 'South Carolina', 'Utah', 'Idaho', 'NND Project', 'Dominion Energy Virginia', 'Eastern And Rocky Mountain Regions Of The USA', 'Offshore', 'Birdseye']",Wexpro,Natural Gas,USA,"['Idaho', 'North Carolina', 'Ohio', 'South Carolina', 'Utah', 'Virginia', 'Wyoming']"
Dehydration Equipment,"['Wyoming', 'North Carolina', 'PJM Service Territory', 'East Ohio', 'PSNC', 'Questar Natural Gas', 'Wexpro', 'Ohio', 'Virginia', 'Northeastern North Carolina', 'South Carolina', 'Utah', 'Idaho', 'NND Project', 'Dominion Energy Virginia', 'Eastern And Rocky Mountain Regions Of The USA', 'Offshore', 'Birdseye']",Wexpro,Oil,USA,"['Idaho', 'North Carolina', 'Ohio', 'South Carolina', 'Utah', 'Virginia', 'Wyoming']"
Dehydration Equipment,"['Wyoming', 'North Carolina', 'PJM Service Territory', 'East Ohio', 'PSNC', 'Questar Natural Gas', 'Wexpro', 'Ohio', 'Virginia', 'Northeastern North Carolina', 'South Carolina', 'Utah', 'Idaho', 'NND Project', 'Dominion Energy Virginia', 'Eastern And Rocky Mountain Regions Of The USA', 'Offshore', 'Birdseye']",Wexpro,Electricity,USA,"['Idaho', 'North Carolina', 'Ohio', 'South Carolina', 'Utah', 'Virginia', 'Wyoming']"
