physical asset,location,ownership,commodity,Countries,USA states
Acquisition Of Solar Development Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy , Virginia Power","Electricity, Solar Energy",USA,"North Carolina, Ohio, Pennsylvania, South Carolina, Texas, Virginia"
Ash Ponds,Virginia,"Dominion Energy , Virginia Power","Coal, Ash",USA,Virginia
Atlantic Coast Pipeline,"West Virginia, Virginia, North Carolina","Dominion Energy, Duke Energy, Southern","Natural Gas, Oil",USA,"North Carolina, Virginia, West Virginia"
Battery Energy Storage Systems,"Virginia, Various Locations",Virginia Power,"Energy Storage, Electricity Storage",USA,Virginia
"brunswick county a, mw combined-cycle power plant [Natural Gas]","Brunswick County, Virginia, Warren County","Dominion Energy, Virginia Power, SCANA",Electricity,USA,Virginia
Buildings,Corporate And Other Segment,"Virginia Power, Dominion Energy",,,
"Coal Fired Generating Units [coal, oil]",Virginia,"Virginia Power, Dominion Energy",Electricity Generation,USA,Virginia
"Colonial Trail West, MW Utility-Scale Solar Power Station","Surry County, Virginia","Dominion Energy, Virginia Power","Electricity,Solar Power",USA,Virginia
Compressors,Wyoming,Wexpro,Natural Gas,USA,Wyoming
cooling water intake structures,,"Dominion Energy, Virginia Power, DESC","Electricity Generation, Cooling Water For Electricity Generation ",,
Corporate Offices,"Richmond, Virginia, Other Cities","Dominion Energy, Virginia Power",,USA,Virginia
Cove Point ,"USA, West Virginia, Maryland, Cove Point","Brookfield, Dominion Energy, BHE, Cove Point LNG LP",Liquefied Natural Gas,USA,"Maryland, Virginia, West Virginia"
Dehydration Equipment,"Wyoming, North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Gas, Wexpro, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore, Birdseye","Wexpro, Dominion Energy, Virginia Power, Questar Gas, SCANA, PSNC, DESC, Dominion Energy's Subsidiaries","Natural Gas, Oil, Electricity, Solar, Carbon Credits, Nuclear Fuel  
",USA,"Idaho, North Carolina, Ohio, South Carolina, Utah, Virginia, Wyoming"
Development Wells,,Dominion Energy,"Oil,Gas, Natural Gas",,
distribution infrastructure,"West Virginia, USA, South Carolina, East Ohio,  North Carolina, Texas, Northeastern North Carolina, PJM Wholesale Electricity Markets, Utah, Wyoming, Idaho, Ohio, Connecticut, California, Pennsylvania, Washington D.C.","Dominion Energy, Virginia Power, SCANA, DESC, East Ohio, Questar Gas, Wexpro, PSNC","Energy, Electricity, Renewable Energy, Natural Gas, Carbon Credits, Solar Operations, Ancillary Services",USA,"California, Connecticut, Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Texas, Utah, Virginia, Washington, West Virginia, Wyoming"
Dominion Energy And Virginia Power's Regulated Businesses,Virginia,"Dominion Energy, Virginia Power","Nuclear Fuel, Electricity Generation, Electric Power Transmission, Electric Power Distribution",USA,Virginia
"Dominion Energy Kewaunee, Inc.","Wisconsin, Kewaunee, USA","Dominion Energy,EnergySolutions","Electricity Generation,Nuclear Power",USA,Wisconsin
Dominion Energy's Facilities,"Five States, Multiple Locations, Usa","Dominion Energy, Virginia Power","Electricity, Energy Production And Delivery, Electricity Generation, Electric Power Transmission, Electric Power Distribution",Usa,
electric distribution grid,"Virginia, South Carolina","Virginia Power, Dominion Energy, DESC","Electricity, Electric Energy  

",USA,"South Carolina, Virginia"
Electric Facilities,"Virginia, South Carolina, Ohio, Utah, West Virginia, Pennsylvania,  Wyoming, North Carolina, Idaho","Virginia Power, Dominion Energy, DESC, Questar Gas, Hope, SCANA, PSNC, Third Parties ","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits,  Electric Power",USA,"Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Utah, Virginia, West Virginia, Wyoming"
Electric Transmission,"Virginia, South Carolina, North Carolina, West Virginia,  PJM service territory, Loudoun County","Dominion Energy, Virginia Power, DESC","Electricity, Energy Transmission",USA,"North Carolina, South Carolina, Virginia, West Virginia"
Energy Storage Projects,"Virginia, USA","Virginia Power, Dominion Energy","Renewable Energy Production, Electricity, Natural Gas",USA,Virginia
Manufactured Gas Plants,"Virginia 


Let me know when you're ready for the next cell!",Dominion Energy,,"USA  
 
Let me know when you're ready for the next one! ð",Virginia
Gas Distribution Network,"North Carolina, Ohio, West Virginia, Utah, Wyoming, Idaho, Southwestern Wyoming, Southeastern Idaho","Dominion Energy, Virginia Power","Natural Gas,Energy Distribution",USA,"Idaho, North Carolina, Ohio, Utah, Virginia, West Virginia, Wyoming"
Gas Distribution Pipelines,"Virginia, Wyoming, USA","Dominion Energy, Wexpro",Natural Gas,USA,"Virginia, Wyoming"
"Gas Transmission And Storage Operations  



Let me know if you have another column to process!","Various States, Virginia, South Carolina, USA","Dominion Energy, DESC","Natural Gas, Electricity",USA,"South Carolina, Virginia"
Generating Facilities,"North Carolina, Virginia, Ohio, Utah, Idaho, West Virginia, South Carolina, Pennsylvania, Wyoming,  Coastal Virginia, East Ohio","Virginia Power, Dominion Energy, Questar Gas, Hope, SCANA, DESC, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits,  Ancillary Services 
",USA,"Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Utah, Virginia, West Virginia, Wyoming"
GW Wind Generation Facility,"Miles Off The Coast Of Virginia Beach, Virginia In Federal Waters Adjacent To The Cvow Pilot Project And Associated Interconnection Facilities In And Around Virginia Beach, Virginia",Virginia Power,"Wind Generation, Electric Energy",USA,Virginia
hydroelectric generation facilities,,"Virginia Power, Dominion Energy","Energy Generation, Electricity Generation",,
Hydroelectric pumped storage facility,Southwest Virginia,Virginia Power,"Electricity Generation,  Electricity",USA,Virginia
Impoundments,Different Facilities,Dominion Energy,Coal,,
Information Technology Systems,Ohio,East Ohio,"Energy Distribution, Natural Gas Distribution",USA,Ohio
Inventory [Inventory],,"Contracted Assets,Dominion Energy", Materials For Energy Production,,
Jones Act Compliant Vessel,Virginia,Dominion Energy,Electricity,USA,Virginia
Landfills,Virginia,"Dominion Energy,DESC","Coal Ash,Waste Management",USA,Virginia
liquefaction facility,Cove Point,"Dominion Energy, Cove Point LNG LP","Natural Gas, Liquefied Natural Gas",USA,
LNG Import/Export And Storage Facility,"Chesapeake Bay, Maryland, Utah","Dominion Energy, Cove Point LNG LP, Dominion Energy, PSNC, Questar Gas","Natural Gas, Liquefied Natural Gas",USA,"Maryland, Utah"
Millstone,"Connecticut, Massachusetts","Dominion Energy, Virginia Power, Dominion Energy Nuclear Connecticut Inc., Massachusetts Municipal Wholesale Electric Company, Green Mountain Power, Eversource Energy, The United Illuminating Company","Energy, Electricity, Capacity, Ancillary Services 
",USA,"Connecticut, Massachusetts"
Natural Gas Assets,"South Carolina, Ohio, North Carolina, Utah, Wyoming, Idaho","Dominion Energy,DESC,Vanguard Renewables","Natural Gas,Renewable Natural Gas",USA,"Idaho, North Carolina, Ohio, South Carolina, Utah, Wyoming"
Non-Jurisdictional Solar Generation Facilities,Nine States Including Virginia,"Dominion Energy, Virginia Power","Electricity, Electric Generation",USA,Virginia
Non-Wholly Owned Nonregulated Solar Facilities,,Dominion Energy,,,
"Property, Plant And Equipment (Excluding Land)","Central, Southern, Southwestern Portions Of South Carolina, North Carolina, Cayce, Usa","Dominion Energy, Virginia Power Inc.","Electricity Generation, Transmission, Distribution, Natural Gas Distribution, Electricity Generation",USA,"North Carolina, South Carolina"
Nonregulated Solar Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy, Virginia Power","Solar Energy, Electricity, Renewable Energy Production",USA,"North Carolina, Ohio, Pennsylvania, South Carolina, Texas, Virginia"
North Anna (Power Plant),"North Anna, Jenkinsville, Surry, Virginia","ODEC, Virginia Power, Dominion Energy, DESC, Santee Cooper","Energy Production, Electricity Generation, Nuclear Power Production ",USA,Virginia
Nuclear Facilities,"Virginia, Coastal Virginia, North Anna, Surry, East Ohio,  South Carolina, Pennsylvania, Cove Point, Wyoming, Ohio, North Carolina, Dominion Energy Virginia, Richmond,   Jasper County, southwestern Wyoming, southeastern Idaho, PJM, USA","Dominion Energy, Dominion Energy South Carolina, Virginia Power, Questar Gas, SCANA, DESC, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits",USA,"Idaho, North Carolina, Ohio, Pennsylvania, South Carolina, Virginia, Wyoming"
Nuclear Fuel,Virginia Power's Service Territory,Dominion Energy,"Nuclear Power Generation, Electricity, Nuclear Fuel",USA,Virginia
nuclear generation stations,"Virginia, USA, South Carolina, Millstone","Dominion Energy, Virginia Power","Electricity, Electric Energy",USA,"South Carolina, Virginia"
Nuclear Units,"Surry, North Anna, Virginia, Jenkinsville, South Carolina","Dominion Energy, Virginia Power, ODEC, DESC, Santee Cooper","Electricity Production, Energy Production",USA,"South Carolina, Virginia"
Office Equipment,"North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Gas, Wexpro, Wyoming, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore Facilities, Virginia Power's Service Territory, Birdseye","Dominion Energy, Virginia Power, Questar Gas, SCANA, PSNC, DESC, Dominion Energy Subsidiaries, Wexpro","Oil, Gas, Solar Farms, Electricity Generation, Carbon Credits, Nuclear Obligations, Steel  
",USA,"Idaho, North Carolina, Ohio, South Carolina, Utah, Virginia, Wyoming"
Offshore Construction Components,,Dominion Energy,Steel,,
Offshore Wind Installation Vessel,"Offshore, USA","Dominion Energy, Virginia Power ","Offshore Wind Turbine, Steel",USA,
pipeline,"North Carolina, South Carolina, Virginia, Ohio, Connecticut, California, Buncombe County","Dominion Energy, PSNC, DESC, East Ohio","Natural Gas, Electricity, Natural Gas Distribution, Natural Gas Transportation, Fuel",USA,"California, Connecticut, North Carolina, Ohio, South Carolina, Virginia"
