physical asset,location,ownership,commodity,Countries,status,Country
Acquisition Of Solar Development Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy , Virginia Power","Electricity, Solar Energy",USA,,
Ash Ponds,Virginia,"Dominion Energy , Virginia Power","Coal, Ash",USA,,
Atlantic Coast Pipeline,"West Virginia, Virginia, North Carolina","Dominion Energy, Duke Energy, Southern","Natural Gas, Oil",USA,,
Battery Energy Storage Systems,"Virginia, Various Locations",Virginia Power,"Energy Storage, Electricity Storage",USA,,
"brunswick county a, mw combined-cycle power plant [Natural Gas]","Brunswick County, Virginia, Warren County","Dominion Energy, Virginia Power, SCANA",Electricity,USA,,
Buildings,Corporate And Other Segment,"Virginia Power, Dominion Energy",,,,
"Coal Fired Generating Units [coal, oil]",Virginia,"Virginia Power, Dominion Energy",Electricity Generation,USA,,
"Colonial Trail West, MW Utility-Scale Solar Power Station","Surry County, Virginia","Dominion Energy, Virginia Power","Electricity,Solar Power",USA,,
Compressors,Wyoming,Wexpro,Natural Gas,USA,,
cooling water intake structures,,"Dominion Energy, Virginia Power, Dominion Energy-South Carolina","Electricity Generation, Cooling Water For Electricity Generation ",,,
Corporate Offices,"Richmond, Virginia, Other Cities","Dominion Energy, Virginia Power",,USA,,
Cove Point ,"USA, West Virginia, Maryland, Cove Point","Brookfield, Dominion Energy, BHE, Cove Point LNG LP",Liquefied Natural Gas,USA,,
Dehydration Equipment,"Wyoming, North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Gas, Wexpro, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore, Birdseye","Wexpro, Dominion Energy, Virginia Power, Questar Gas, SCANA, PSNC, Dominion Energy-South Carolina, Dominion Energy's Subsidiaries","Natural Gas, Oil, Electricity, Solar, Carbon Credits, Nuclear Fuel  
",USA,,
Development Wells,,Dominion Energy,"Oil,Gas, Natural Gas",,,
distribution infrastructure,"West Virginia, USA, South Carolina, East Ohio,  North Carolina, Texas, Northeastern North Carolina, PJM Wholesale Electricity Markets, Utah, Wyoming, Idaho, Ohio, Connecticut, California, Pennsylvania, Washington D.C.","Dominion Energy, Virginia Power, SCANA, Dominion Energy-South Carolina, East Ohio, Questar Gas, Wexpro, PSNC","Energy, Electricity, Renewable Energy, Natural Gas, Carbon Credits, Solar Operations, Ancillary Services",USA,,
Dominion Energy And Virginia Power's Regulated Businesses,Virginia,"Dominion Energy, Virginia Power","Nuclear Fuel, Electricity Generation, Electric Power Transmission, Electric Power Distribution",USA,,
"Dominion Energy Kewaunee, Inc.","Wisconsin, Kewaunee, USA","Dominion Energy,EnergySolutions","Electricity Generation,Nuclear Power",USA,,
Dominion Energy's Facilities,"Five States, Multiple Locations, Usa","Dominion Energy, Virginia Power","Electricity, Energy Production And Delivery, Electricity Generation, Electric Power Transmission, Electric Power Distribution",Usa,,
electric distribution grid,"Virginia, South Carolina","Virginia Power, Dominion Energy, Dominion Energy-South Carolina","Electricity, Electric Energy  

",USA,,
Electric Facilities,"Virginia, South Carolina, Ohio, Utah, West Virginia, Pennsylvania,  Wyoming, North Carolina, Idaho","Virginia Power, Dominion Energy, Dominion Energy-South Carolina, Questar Gas, Hope, SCANA, PSNC, Third Parties ","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits,  Electric Power",USA,,
Electric Transmission,"Virginia, South Carolina, North Carolina, West Virginia,  PJM service territory, Loudoun County","Dominion Energy, Virginia Power, Dominion Energy-South Carolina","Electricity, Energy Transmission",USA,,
Energy Storage Projects,"Virginia, USA","Virginia Power, Dominion Energy","Renewable Energy Production, Electricity, Natural Gas",USA,,
Manufactured Gas Plants,"Virginia 


Let me know when you're ready for the next cell!",Dominion Energy,,"USA  
 
Let me know when you're ready for the next one! 😊",,
Gas Distribution Network,"North Carolina, Ohio, West Virginia, Utah, Wyoming, Idaho, Southwestern Wyoming, Southeastern Idaho","Dominion Energy, Virginia Power","Natural Gas,Energy Distribution",USA,,
Gas Distribution Pipelines,"Virginia, Wyoming, USA","Dominion Energy, Wexpro",Natural Gas,USA,,
"Gas Transmission And Storage Operations  



Let me know if you have another column to process!","Various States, Virginia, South Carolina, USA","Dominion Energy, Dominion Energy-South Carolina","Natural Gas, Electricity",USA,,
Generating Facilities,"North Carolina, Virginia, Ohio, Utah, Idaho, West Virginia, South Carolina, Pennsylvania, Wyoming,  Coastal Virginia, East Ohio","Virginia Power, Dominion Energy, Questar Gas, Hope, SCANA, Dominion Energy-South Carolina, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits,  Ancillary Services 
",USA,,
GW Wind Generation Facility,"Miles Off The Coast Of Virginia Beach, Virginia In Federal Waters Adjacent To The Cvow Pilot Project And Associated Interconnection Facilities In And Around Virginia Beach, Virginia",Virginia Power,"Wind Generation, Electric Energy",USA,,
hydroelectric generation facilities,,"Virginia Power, Dominion Energy","Energy Generation, Electricity Generation",,,
Hydroelectric pumped storage facility,Southwest Virginia,Virginia Power,"Electricity Generation,  Electricity",USA,,
Impoundments,Different Facilities,Dominion Energy,Coal,,,
Information Technology Systems,Ohio,East Ohio,"Energy Distribution, Natural Gas Distribution",USA,,
Inventory [Inventory],,"Contracted Assets,Dominion Energy", Materials For Energy Production,,,
Jones Act Compliant Vessel,Virginia,Dominion Energy,Electricity,USA,,
Landfills,Virginia,"Dominion Energy,Dominion Energy-South Carolina","Coal Ash,Waste Management",USA,,
liquefaction facility,Cove Point,"Dominion Energy, Cove Point LNG LP","Natural Gas, Liquefied Natural Gas",USA,,
LNG Import/Export And Storage Facility,"Chesapeake Bay, Maryland, Utah","Dominion Energy, Cove Point LNG LP, Dominion Energy, PSNC, Questar Gas","Natural Gas, Liquefied Natural Gas",USA,,
Millstone,"Connecticut, Massachusetts","Dominion Energy, Virginia Power, Dominion Energy Nuclear Connecticut Inc., Massachusetts Municipal Wholesale Electric Company, Green Mountain Power, Eversource Energy, The United Illuminating Company","Energy, Electricity, Capacity, Ancillary Services 
",USA,,
Natural Gas Assets,"South Carolina, Ohio, North Carolina, Utah, Wyoming, Idaho","Dominion Energy,Dominion Energy-South Carolina,Vanguard Renewables","Natural Gas,Renewable Natural Gas",USA,,
Non-Jurisdictional Solar Generation Facilities,Nine States Including Virginia,"Dominion Energy, Virginia Power","Electricity, Electric Generation",USA,,
Non-Wholly Owned Nonregulated Solar Facilities,,Dominion Energy,,,,
"Property, Plant And Equipment (Excluding Land)","Central, Southern, Southwestern Portions Of South Carolina, North Carolina, Cayce, Usa","Dominion Energy, Virginia Power Inc.","Electricity Generation, Transmission, Distribution, Natural Gas Distribution, Electricity Generation",USA,,
Nonregulated Solar Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy, Virginia Power","Solar Energy, Electricity, Renewable Energy Production",USA,,
North Anna (Power Plant),"North Anna, Jenkinsville, Surry, Virginia","ODEC, Virginia Power, Dominion Energy, Dominion Energy-South Carolina, Santee Cooper","Energy Production, Electricity Generation, Nuclear Power Production ",USA,,
Nuclear Facilities,"Virginia, Coastal Virginia, North Anna, Surry, East Ohio,  South Carolina, Pennsylvania, Cove Point, Wyoming, Ohio, North Carolina, Dominion Energy Virginia, Richmond,   Jasper County, southwestern Wyoming, southeastern Idaho, PJM, USA","Dominion Energy, Dominion Energy South Carolina, Virginia Power, Questar Gas, SCANA, Dominion Energy-South Carolina, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits",USA,,
Nuclear Fuel,Virginia Power's Service Territory,Dominion Energy,"Nuclear Power Generation, Electricity, Nuclear Fuel",USA,,
nuclear generation stations,"Virginia, USA, South Carolina, Millstone","Dominion Energy, Virginia Power","Electricity, Electric Energy",USA,,
Nuclear Units,"Surry, North Anna, Virginia, Jenkinsville, South Carolina","Dominion Energy, Virginia Power, ODEC, Dominion Energy-South Carolina, Santee Cooper","Electricity Production, Energy Production",USA,,
Office Equipment,"North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Gas, Wexpro, Wyoming, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore Facilities, Virginia Power's Service Territory, Birdseye","Dominion Energy, Virginia Power, Questar Gas, SCANA, PSNC, Dominion Energy-South Carolina, Dominion Energy Subsidiaries, Wexpro","Oil, Gas, Solar Farms, Electricity Generation, Carbon Credits, Nuclear Obligations, Steel  
",USA,,
Offshore Construction Components,,Dominion Energy,Steel,,,
Offshore Wind Installation Vessel,"Offshore, USA","Dominion Energy, Virginia Power ","Offshore Wind Turbine, Steel",USA,,
pipeline,"North Carolina, South Carolina, Virginia, Ohio, Connecticut, California, Buncombe County","Dominion Energy, PSNC, Dominion Energy-South Carolina, East Ohio","Natural Gas, Electricity, Natural Gas Distribution, Natural Gas Transportation, Fuel",USA,,
Pipeline Integrity Management Infrastructure,"North Carolina, South Carolina, Virginia, Ohio, Connecticut, California","PSNC, Dominion Energy-South Carolina, Dominion Energy","Natural Gas, Electricity",USA,,
Plant,"Central, Southern And Southwestern Portions Of South Carolina And North Carolina, Usa","Dominion Energy, Virginia Power","Electricity, Natural Gas",USA,,
Plant Construction And Other Property Additions,"Central, Southern, Southwestern Portions Of South Carolina, North Carolina, Cayce, Usa",Dominion Energy; Virginia Power,"Electricity Generation, Transmission, Distribution, Natural Gas Distribution, Electricity Generation",USA,,
pollution control equipment,Virginia Power's Generating Facilities,Dominion Energy,,USA,,
Q-Pipe Group ,Dominion Energy's Service Area,"Dominion Energy, Southwest Gas",Natural Gas,,,
Real Estate,South Carolina,"Dominion Energy, Dominion Energy-South Carolina",,USA,,
simple cycle combustion turbines,"Virginia, Marine Environment","Virginia Power, Dominion Energy","Electricity,Steel",USA,,
Solar Facilities,"Virginia, Mid-Atlantic, Southeast, Midwest, Louisa, North Anna, Surry, Coastal Virginia, East Ohio, Ohio, North Carolina, South Carolina, Pennsylvania, West Virginia, Utah, Idaho, Wyoming","Dominion Energy, Virginia Power, Terra Nova Renewable Partners, Clearway, Questar Gas, Hope, SCANA, Dominion Energy-South Carolina, PSNC, Third Parties ","Electricity, Renewable Energy, Natural Gas, Coal, Carbon Credits, Ancillary Services, Oil,Gas, LNG Import/Export, Energy Production (Natural Gas Operations), GHG Emissions Control, Nuclear Power Generation,  Electric Transmission,  Electric Distribution And Generation Operations",USA,,
Substations,"Virginia, North Carolina","Dominion Energy, Virginia Power",Electricity,USA,,
Supply Header Project ,,Dominion Energy,Natural Gas,,,
Turbine Technology,,Dominion Energy,,,,
Utility Property,South Carolina,"Dominion Energy, Dominion Energy-South Carolina",Electricity,USA,,
Utility-Scale Solar Generation Projects,"Surry County, Virginia; Contracted Energy, North Carolina; South Carolina; Ohio","Virginia Power, Dominion Energy","Solar Energy, Renewable Energy Production, Electricity  

",USA,,
Vehicles,,Dominion Energy,Transportation,,,
Wastewater Treatment Systems,Williams Facility,"Dominion Energy,Virginia Power,Dominion Energy-South Carolina","Electricity Generation,Water Treatment",USA,,
Nuclear Development Project ,"Jenkinsville, South Carolina","Dominion Energy-South Carolina, Santee Cooper",Electricity Generation,USA,,
Generation Capacity (Regulated Electric Utility And Its Related Energy Supply),Virginia,Dominion Energy,Electricity,USA,,
Data Centers,"Loudon County, Virginia",,,USA,,
transmission projects,"West Virginia, South Carolina, North Carolina, Virginia, Loudoun County, Ohio","Virginia Power, PSNC, Dominion Energy","Electricity, Gas  

",USA,,
Nuclear Reactors,Surry And North Anna,Virginia Power,Electricity,USA,,
Solar Panels,South Carolina,Dominion Energy-South Carolina,Electricity,USA,,
coal facilities,"Eastern Kentucky, Tennessee, Virginia, West Virginia",Dominion Energy-South Carolina,,USA,,
Nuclear Reactor,South Carolina,"Dominion Energy-South Carolina, Santee Cooper, Dominion Energy, Virginia Power","Electricity, Energy Production",USA,,
Well Construction Activities,,Dominion Energy,"Gas, Oil",,,
Infrastructure Improvements,"South Carolina, East Ohio, North Carolina, Texas, Virginia, Utah, Wyoming, Idaho, Ohio","Dominion Energy, Virginia Power, SCANA, Dominion Energy-South Carolina, East Ohio, Questar Gas, Wexpro, PSNC","Electricity, Natural Gas, Renewable Energy, Carbon Credits, Solar Operations, Ancillary Services, Energy Transmission, Electric Utilities",USA,,
Smaller Electric Generation (Power Plant),"Implied By Dominion Energy's Service Area, Populated Areas 


Let me know if you have more cells to process!",Dominion Energy,Electricity,USA,,
Natural Gas Compressor Stations,Dominion Energy Service Area,Dominion Energy,Natural Gas,"The Dominion Energy Service Area encompasses parts of several states within the USA.  

Therefore, the answer is **USA**.",,
Coal-Fired Generation Operations,Virginia,"Dominion Energy, Virginia Power",Electricity Generation,USA,,
Other Infrastructure Projects,"South Carolina, East Ohio,  North Carolina, Texas, Utah, Wyoming, Idaho, Ohio, Virginia, West Virginia 


Let me know if you'd like me to process another cell! ð","Dominion Energy, Virginia Power, SCANA, Dominion Energy-South Carolina, East Ohio, Wrangler, Questar Gas, Wexpro, PSNC","Renewable Energy, Gas Distribution, Electricity, Natural Gas, Carbon Credits, Solar Operations,  Energy Transmission,",USA,,
Electric Utility Service Territories ,"Eastern Portions Of South Carolina, North Carolina And Virginia",Dominion Energy,Electricity,USA,,
"transmission, gathering and storage pipeline","Ohio, North Carolina, Utah, Southwestern Wyoming, Southeastern Idaho, Buncombe County, North Carolina","Dominion Energy, PSNC","Natural Gas, Fuel",USA,,
distribution mains,"Ohio, North Carolina, Utah, Southwestern Wyoming, Southeastern Idaho",,Natural Gas,USA,,
Integrated Underground Storage Facilities,Various Locations,,Natural Gas,,,
LNG Terminalling Services,,Dominion Energy,Natural Gas,,,
Ash Pond,Virginia,Virginia Power,,USA,,
Landfill,Virginia,Virginia Power,,USA,,
Once-Through Cooling Systems,,"Dominion Energy, Virginia Power",Electricity Generation,,,
Intake Structure Modifications,,"Dominion Energy, Virginia Power, Dominion Energy-South CarolinaO","Electricity Generation, Cooling Water For Electricity Generation",,,
Nuclear Power Station,"North Anna, Jenkinsville, South Carolina, Virginia","Dominion Energy, Virginia Power, Dominion Energy-South CarolinaO, Santee Cooper, Eversource Energy, The United Illuminating Company",Electricity Generation,USA,,
Dominion Energy Questar Pipeline,,Dominion Energy,,,,
Eagle Solar  ,,Dominion Energy,,,,
"MountainWest Pipeline, LLC",,Dominion Energy,,,,
"Granite Mountain Holdings, LLC",,Dominion Energy,,,,
Green Mountain Power Corporation,,Dominion Energy,,,,
Greensville County Power Station,"Greensville County, Virginia",Dominion Energy,Electricity Generation,USA,,
Renewable Generation Facilities,Virginia,"Dominion Energy, Virginia Power, Vanguard Renewables","Electricity, Renewable Natural Gas",USA,,
Rooftop Solar,Distributed Energy Resources,Virginia Power,Electricity,,,
new utility-scale renewable generation and storage,,"Dominion Energy, Virginia Power","Electricity, Energy Storage",,,
Biomass Supply,Virginia,Virginia Power,Electricity Generation,USA,,
Utility Generation Assets,"Dominion Energy-South Carolina's Service Territory In South Carolina, Virginia","Dominion Energy-South Carolina, Dominion Energy","Electricity, Electricity Generation",USA,,
Williams turbine facilities,,Dominion Energy-South Carolina,Natural Gas,,,
Parr turbine facilities,,Dominion Energy-South Carolina,Natural Gas,,,
Smart Meters,Dominion Energy-South Carolina's Service Territory In South Carolina,Dominion Energy-South Carolina,Electricity,USA,,
Operating Facilities,,Dominion Energy,"Oil, Gas",,,
Carbon-Free Baseload Nuclear Generation  [Nuclear Power Plant],Multiple Locations,Dominion Energy,Electricity,,,
Vessel,Offshore,Dominion Energy,,,,
Solar Farm,Madison,Dominion Energy,Solar Power,USA,,
Dominion Energy Virginia Power Non-Jurisdictional [Including Plant Under Construction],,"Dominion Energy, Virginia Power","Various  




Please provide me with the next column name and cell value so I can continue cleaning the data.",,,
Bath County Pumped Storage Station,,"Virginia Power, Dominion Energy ",HydroElectricity Generation,,,
Substation,"Jasper County, South Carolina",,Electricity Transmission,USA,,
"A MW Baseload Carbon-Capture Compatible Clean Coal Powered Electric Generation Facility In Wise County, Virginia","Wise County, Virginia",Virginia Power,Electricity,USA,,
"Proposed Electric Interconnection And Transmission Facilities [in And Around Virginia Beach, Virginia]","Virginia Beach, Virginia",Virginia Power,Electricity,USA,,
"A MW Utility-Scale Solar Power Station [In Louisa County, Virginia]","Louisa County, Virginia, Surry County, Isle of Wight County","Dominion Energy, Virginia Power","Electricity, Solar Power",USA,,
facilities under development,"Mid-Atlantic, Southeast, Midwest",Dominion Energy,Electricity,USA,,
north anna (Power Plant),"Wisconsin, Kewaunee, USA","Dominion Energy, Virginia Power, Dominion Energy Nuclear Connecticut Inc., Massachusetts Municipal, Green Mountain","Nuclear Power Generation, Electricity Generation",USA,,
Pumped Hydroelectricity Generation And Storage Facilities,rr,Virginia Power,Electric Energy,USA,,
energy storage resources,"Virginia, USA","Virginia Power, Dominion Energy","Electric Energy,Energy Production And Delivery,Electricity",USA,,
Bath County power station,USA,Dominion Energy,Electricity ,USA,,
Clover power station,USA,Dominion Energy,Electricity ,USA,,
Millstone power station,USA,Dominion Energy,Electricity ,USA,,
Summer power station,USA,Dominion Energy,Electricity ,USA,,
Natural Gas Gathering Systems,"Colorado, Utah, Wyoming","Wexpro, Dominion Energy",Natural gas,USA,,
Solar Or Wind Generation Facilities,"Nine States Including Virginia, USA","Virginia Power, Dominion Energy","Electricity, Energy Production",USA,,
Grassfield Solar ,,Virginia Power,Electricity,,,
Norway Solar Farm,,Virginia Power,Electricity,,,
Sycamore Solar  ,,Virginia Power,Electricity,,,
Virginia Facilities,"Virginia, Coastal Virginia, East Ohio, Utah, Idaho, West Virginia, South Carolina, Pennsylvania, Cove Point, Wyoming, Ohio, North Carolina, Dominion Energy Virginia, Richmond,  PJM","Virginia Power, Dominion Energy, Questar Gas, Hope, SCANA, Dominion Energy-South Carolina, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits, Ancillary Services, None",USA,,
Steam Cycle ,,,Electricity Generation,,,
Sites,SCANA Headquarters,Dominion Energy,,USA,,
ladysmith plant,"Ladysmith, VA",,Gas,,,USA
remington plant,"Remington, VA",,Gas,,,USA
possum point plant,"Dumfries, VA",,Gas,,,USA
chesterfield plant,"Chester, VA",,Coal,,,USA
elizabeth river plant,"Chesapeake, VA",,Gas,,,USA
gordonsville energy plant,"Gordonsville, VA",,Coal,,,USA
gravel neck plant,"Surry, VA",,Gas,,,USA
darbytown plant,"Richmond, VA",,Gas,,,USA
mt. storm plant,"Mt. Storm, WV",,Coal,,,USA
