physical asset,location,ownership,commodity,status,Countries
Acquisition Of Solar Development Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy , Virginia Power","Electricity, Solar Energy","Operational, Under Construction, Constructed",USA
Ash Ponds,Virginia,"Dominion Energy , Virginia Power","Coal, Ash","End-Of-Life, Operational",USA
Atlantic Coast Pipeline,"West Virginia, Virginia, North Carolina","Dominion Energy, Duke Energy, Southern","Natural Gas, Oil","Operational, Under Construction, Discontinued, Cancelled",USA
Battery Energy Storage Systems,"Virginia, Various Locations",Virginia Power,"Energy Storage, Electricity Storage",Operational,USA
"brunswick county a, mw combined-cycle power plant [Natural Gas]","Brunswick County, Virginia, Warren County","Dominion Energy, Virginia Power, SCANA",Electricity,Operational,USA
Buildings,Corporate And Other Segment,"Virginia Power, Dominion Energy",,Held For Sale,
"Coal Fired Generating Units [coal, oil]",Virginia,"Virginia Power, Dominion Energy",Electricity Generation,"End-Of-Life, Operational, Under Construction, Early Retirements",USA
"Colonial Trail West, MW Utility-Scale Solar Power Station","Surry County, Virginia","Dominion Energy, Virginia Power","Electricity,Solar Power",Operational,USA
Compressors,Wyoming,Wexpro,Natural Gas,Operational,USA
cooling water intake structures,,"Dominion Energy, Virginia Power, DESC","Electricity Generation, Cooling Water For Electricity Generation ",Operational,
Corporate Offices,"Richmond, Virginia, Other Cities","Dominion Energy, Virginia Power",,,USA
Cove Point ,"USA, West Virginia, Maryland, Cove Point","Brookfield, Dominion Energy, BHE, Cove Point LNG LP",Liquefied Natural Gas,"In End-Of-Life, Operational",USA
Dehydration Equipment,"Wyoming, North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Gas, Wexpro, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore, Birdseye","Wexpro, Dominion Energy, Virginia Power, Questar Gas, SCANA, PSNC, DESC, Dominion Energy's Subsidiaries","Natural Gas, Oil, Electricity, Solar, Carbon Credits, Nuclear Fuel  
","Operational, Under Construction, Impaired, Decommissioned",USA
Development Wells,,Dominion Energy,"Oil,Gas, Natural Gas",Operational,
distribution infrastructure,"West Virginia, USA, South Carolina, East Ohio,  North Carolina, Texas, Northeastern North Carolina, PJM Wholesale Electricity Markets, Utah, Wyoming, Idaho, Ohio, Connecticut, California, Pennsylvania, Washington D.C.","Dominion Energy, Virginia Power, SCANA, DESC, East Ohio, Questar Gas, Wexpro, PSNC","Energy, Electricity, Renewable Energy, Natural Gas, Carbon Credits, Solar Operations, Ancillary Services","Operational,Under Construction",USA
Dominion Energy And Virginia Power's Regulated Businesses,Virginia,"Dominion Energy, Virginia Power","Nuclear Fuel, Electricity Generation, Electric Power Transmission, Electric Power Distribution",Operational,USA
"Dominion Energy Kewaunee, Inc.","Wisconsin, Kewaunee, USA","Dominion Energy,EnergySolutions","Electricity Generation,Nuclear Power","Ceased Operations, End-Of-Life, Held For Sale, Operational",USA
Dominion Energy's Facilities,"Five States, Multiple Locations, Usa","Dominion Energy, Virginia Power","Electricity, Energy Production And Delivery, Electricity Generation, Electric Power Transmission, Electric Power Distribution","Operational, Under Development",Usa
electric distribution grid,"Virginia, South Carolina","Virginia Power, Dominion Energy, DESC","Electricity, Electric Energy  

","Operational, Under Construction",USA
Electric Facilities,"Virginia, South Carolina, Ohio, Utah, West Virginia, Pennsylvania,  Wyoming, North Carolina, Idaho","Virginia Power, Dominion Energy, DESC, Questar Gas, Hope, SCANA, PSNC, Third Parties ","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits,  Electric Power","Operational, Early Retirement, Planned Early Retirement, Under Construction, End-Of-Life, Retired",USA
Electric Transmission,"Virginia, South Carolina, North Carolina, West Virginia,  PJM service territory, Loudoun County","Dominion Energy, Virginia Power, DESC","Electricity, Energy Transmission","Operational, Under Construction",USA
Energy Storage Projects,"Virginia, USA","Virginia Power, Dominion Energy","Renewable Energy Production, Electricity, Natural Gas","Under Construction, Operational, Planned, Developing",USA
Manufactured Gas Plants,"Virginia 


Let me know when you're ready for the next cell!",Dominion Energy,,Substantially Completed Under Oversight,"USA  
 
Let me know when you're ready for the next one! 😊"
Gas Distribution Network,"North Carolina, Ohio, West Virginia, Utah, Wyoming, Idaho, Southwestern Wyoming, Southeastern Idaho","Dominion Energy, Virginia Power","Natural Gas,Energy Distribution",Operational,USA
Gas Distribution Pipelines,"Virginia, Wyoming, USA","Dominion Energy, Wexpro",Natural Gas,Operational,USA
"Gas Transmission And Storage Operations  



Let me know if you have another column to process!","Various States, Virginia, South Carolina, USA","Dominion Energy, DESC","Natural Gas, Electricity","Operational, Under Construction",USA
Generating Facilities,"North Carolina, Virginia, Ohio, Utah, Idaho, West Virginia, South Carolina, Pennsylvania, Wyoming,  Coastal Virginia, East Ohio","Virginia Power, Dominion Energy, Questar Gas, Hope, SCANA, DESC, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits,  Ancillary Services 
","Under Construction, Operational, Held For Sale, Abandoned, End Of Life, Retired",USA
GW Wind Generation Facility,"Miles Off The Coast Of Virginia Beach, Virginia In Federal Waters Adjacent To The Cvow Pilot Project And Associated Interconnection Facilities In And Around Virginia Beach, Virginia",Virginia Power,"Wind Generation, Electric Energy",Operational,USA
hydroelectric generation facilities,,"Virginia Power, Dominion Energy","Energy Generation, Electricity Generation",Operational,
Hydroelectric pumped storage facility,Southwest Virginia,Virginia Power,"Electricity Generation,  Electricity","Under Consideration 


Let me know when you're ready for the next cell!",USA
Impoundments,Different Facilities,Dominion Energy,Coal,Operational,
Information Technology Systems,Ohio,East Ohio,"Energy Distribution, Natural Gas Distribution",Operational,USA
Inventory [Inventory],,"Contracted Assets,Dominion Energy", Materials For Energy Production,Operational,
Jones Act Compliant Vessel,Virginia,Dominion Energy,Electricity,Under Construction,USA
Landfills,Virginia,"Dominion Energy,DESC","Coal Ash,Waste Management","End-Of-Life, Operational",USA
liquefaction facility,Cove Point,"Dominion Energy, Cove Point LNG LP","Natural Gas, Liquefied Natural Gas",Operational,USA
LNG Import/Export And Storage Facility,"Chesapeake Bay, Maryland, Utah","Dominion Energy, Cove Point LNG LP, Dominion Energy, PSNC, Questar Gas","Natural Gas, Liquefied Natural Gas",Operational,USA
Millstone,"Connecticut, Massachusetts","Dominion Energy, Virginia Power, Dominion Energy Nuclear Connecticut Inc., Massachusetts Municipal Wholesale Electric Company, Green Mountain Power, Eversource Energy, The United Illuminating Company","Energy, Electricity, Capacity, Ancillary Services 
","Operational, Under Construction, Permanently Ceased Operations, In End-Of-Life",USA
Natural Gas Assets,"South Carolina, Ohio, North Carolina, Utah, Wyoming, Idaho","Dominion Energy,DESC,Vanguard Renewables","Natural Gas,Renewable Natural Gas","Operational, Under Construction",USA
Non-Jurisdictional Solar Generation Facilities,Nine States Including Virginia,"Dominion Energy, Virginia Power","Electricity, Electric Generation","End Of Life, Operational, Under Development, Impaired",USA
Non-Wholly Owned Nonregulated Solar Facilities,,Dominion Energy,,Sold,
"Property, Plant And Equipment (Excluding Land)","Central, Southern, Southwestern Portions Of South Carolina, North Carolina, Cayce, Usa","Dominion Energy, Virginia Power Inc.","Electricity Generation, Transmission, Distribution, Natural Gas Distribution, Electricity Generation","Operational, Under Construction, End-Of-Life",USA
Nonregulated Solar Projects,"Virginia, Ohio, South Carolina, North Carolina, Texas, Pennsylvania","Dominion Energy, Virginia Power","Solar Energy, Electricity, Renewable Energy Production","Operational, Under Construction, Constructed, Impaired, Retired",USA
North Anna (Power Plant),"North Anna, Jenkinsville, Surry, Virginia","ODEC, Virginia Power, Dominion Energy, DESC, Santee Cooper","Energy Production, Electricity Generation, Nuclear Power Production ","Operational 


Let me know if you'd like me to process any other columns! I'm ready for your next data cleaning challenge.",USA
Nuclear Facilities,"Virginia, Coastal Virginia, North Anna, Surry, East Ohio,  South Carolina, Pennsylvania, Cove Point, Wyoming, Ohio, North Carolina, Dominion Energy Virginia, Richmond,   Jasper County, southwestern Wyoming, southeastern Idaho, PJM, USA","Dominion Energy, Dominion Energy South Carolina, Virginia Power, Questar Gas, SCANA, DESC, PSNC, Third Parties","Electricity, Natural Gas, Coal, Renewable Energy, Carbon Credits","Operational, Under Construction, End-Of-Life, Held For Sale, Abandoned",USA
Nuclear Fuel,Virginia Power's Service Territory,Dominion Energy,"Nuclear Power Generation, Electricity, Nuclear Fuel",In Use,USA
nuclear generation stations,"Virginia, USA, South Carolina, Millstone","Dominion Energy, Virginia Power","Electricity, Electric Energy","Under Construction, End-Of-Life, Operational",USA
Nuclear Units,"Surry, North Anna, Virginia, Jenkinsville, South Carolina","Dominion Energy, Virginia Power, ODEC, DESC, Santee Cooper","Electricity Production, Energy Production","Operational, Early Retirements, Under Construction",USA
Office Equipment,"North Carolina, PJM Service Territory, East Ohio, PSNC, Questar Gas, Wexpro, Wyoming, Ohio, Virginia, Northeastern North Carolina, South Carolina, Utah, Idaho, NND Project, Dominion Energy Virginia, Eastern And Rocky Mountain Regions Of The USA, Offshore Facilities, Virginia Power's Service Territory, Birdseye","Dominion Energy, Virginia Power, Questar Gas, SCANA, PSNC, DESC, Dominion Energy Subsidiaries, Wexpro","Oil, Gas, Solar Farms, Electricity Generation, Carbon Credits, Nuclear Obligations, Steel  
","Operational, Under Construction, Impaired, Decommissioned",USA
Offshore Construction Components,,Dominion Energy,Steel,Under Construction,
Offshore Wind Installation Vessel,"Offshore, USA","Dominion Energy, Virginia Power ","Offshore Wind Turbine, Steel","Under Construction,Construction Planned,Under Development",USA
pipeline,"North Carolina, South Carolina, Virginia, Ohio, Connecticut, California, Buncombe County","Dominion Energy, PSNC, DESC, East Ohio","Natural Gas, Electricity, Natural Gas Distribution, Natural Gas Transportation, Fuel","Under Construction, Operational",USA
