physical asset,location,ownership,commodity,Countries,status,USA states
Storm Recovery Property,['nan'],Duke Energy Carolinas,Electricity,nan,,['nan']
Storm Recovery Property,['nan'],Duke Energy Progress,Electricity,nan,,['nan']
Storm Recovery Property,['nan'],Duke Energy Florida Project Finance LLC (DEFPF),Electricity,nan,,['nan']
Storm Recovery Property,['nan'],Duke Energy Florida,Electricity,nan,,['nan']
Storm Recovery Property,['nan'],Duke Energy,Electricity,nan,,['nan']
Abandoned Plants,['nan'],Duke Energy,nan,nan,,['nan']
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy,Electricity,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy,Coal Combustion Byproduct,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy,Waste Disposal,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy,Coal Ash,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Carolinas,Electricity,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Carolinas,Coal Combustion Byproduct,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Carolinas,Waste Disposal,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Carolinas,Coal Ash,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Progress,Electricity,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Progress,Coal Combustion Byproduct,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Progress,Waste Disposal,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Progress,Coal Ash,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Florida,Electricity,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Florida,Coal Combustion Byproduct,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Florida,Waste Disposal,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Florida,Coal Ash,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Indiana,Electricity,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Indiana,Coal Combustion Byproduct,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Indiana,Waste Disposal,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Indiana,Coal Ash,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Ohio,Electricity,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Ohio,Coal Combustion Byproduct,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Ohio,Waste Disposal,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Ash Impoundments,"['Duke Energy Carolinas', 'Duke Energy Progress', ""Various Sites Across Duke Energy's Operations"", 'Duke Energy Florida', 'North Carolina Sites', 'North Carolina', 'South Carolina']",Duke Energy Ohio,Coal Ash,USA,,"['North Carolina', 'South Carolina', 'Florida']"
Atlantic Coast Pipeline,"['West Virginia', 'North Carolina']",Atlantic Coast Pipeline LLC,Natural Gas,USA,,"['Virginia', 'North Carolina', 'West Virginia']"
Buildings And Improvements,['nan'],Duke Energy,nan,nan,,['nan']
Carolina Long Bay Offshore Wind Contract,['nan'],Duke Energy,Electricity,nan,,['nan']
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy,Coal,USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy,Coal Combustion Residuals (CCR),USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy,Electricity,USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy Carolinas,Coal,USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy Carolinas,Coal Combustion Residuals (CCR),USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy Carolinas,Electricity,USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy Progress,Coal,USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy Progress,Coal Combustion Residuals (CCR),USA,,"['South Carolina', 'North Carolina']"
ccr landfills,"['North Carolina', 'South Carolina']",Duke Energy Progress,Electricity,USA,,"['South Carolina', 'North Carolina']"
Central Corridor Project,['Ohio Service Territory'],Duke Energy Ohio,Natural Gas,USA,,['Ohio']
Citrus County CC Plant,['nan'],Duke Energy Progress,Electricity,nan,,['nan']
Co Emission Control Equipment,['nan'],Duke Energy,Electricity,nan,,['nan']
Co Emission Control Equipment,['nan'],Duke Energy,Natural Gas,nan,,['nan']
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Indiana,Electricity,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Indiana,Coal,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Carolinas,Electricity,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Carolinas,Coal,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Progress,Electricity,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Progress,Coal,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy,Electricity,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy,Coal,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Florida,Electricity,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Florida,Coal,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Ohio,Electricity,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Ash Basins,"['Indiana', 'North Carolina', 'South Carolina', ""Various sites across Duke Energy's operations""]",Duke Energy Ohio,Coal,USA,,"['Indiana', 'South Carolina', 'North Carolina']"
Coal Inventories,['nan'],Duke Energy,Fuel,nan,,['nan']
Coal-Fired Generating Facilities,"['North Carolina', 'Indiana', 'Florida', 'Ohio', 'South Carolina', 'Kentucky', 'Portions Of North Carolina And South Carolina', 'Portions Of Indiana']",Duke Energy Carolinas,Energy,USA,,"['Ohio', 'South Carolina', 'Florida', 'Indiana', 'Kentucky', 'North Carolina']"
Coal-Fired Generating Facilities,"['North Carolina', 'Indiana', 'Florida', 'Ohio', 'South Carolina', 'Kentucky', 'Portions Of North Carolina And South Carolina', 'Portions Of Indiana']",Duke Energy Carolinas,Electricity,USA,,"['Ohio', 'South Carolina', 'Florida', 'Indiana', 'Kentucky', 'North Carolina']"
Coal-Fired Generating Facilities,"['North Carolina', 'Indiana', 'Florida', 'Ohio', 'South Carolina', 'Kentucky', 'Portions Of North Carolina And South Carolina', 'Portions Of Indiana']",Duke Energy Progress,Energy,USA,,"['Ohio', 'South Carolina', 'Florida', 'Indiana', 'Kentucky', 'North Carolina']"
