physical asset,location,ownership,commodity,Countries,status
Storm Recovery Property ,,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida Project Finance LLC (DEFPF), Duke Energy Florida, Duke Energy",Electricity,,
Abandoned Plants,,Duke Energy,,,
Ash Impoundments,"Duke Energy Carolinas, Duke Energy Progress, Various Sites Across Duke Energy's Operations, Duke Energy Florida, North Carolina Sites, North Carolina, South Carolina","Duke Energy, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio","Electricity, Coal Combustion Byproduct, Waste Disposal, Coal Ash",USA,
Atlantic Coast Pipeline,"West Virginia, North Carolina",Atlantic Coast Pipeline LLC,Natural Gas,USA,
Buildings And Improvements,,Duke Energy,,,
Carolina Long Bay Offshore Wind Contract,,Duke Energy,Electricity,,
ccr landfills,"North Carolina,South Carolina","Duke Energy, Duke Energy Carolinas, Duke Energy Progress","Coal, Coal Combustion Residuals (CCR), Electricity",USA,
Central Corridor Project,Ohio Service Territory,Duke Energy Ohio,Natural Gas,USA,
Citrus County CC Plant,,Duke Energy Progress,Electricity,,
Co Emission Control Equipment  ,,Duke Energy,"Electricity, Natural Gas",,
Coal Ash Basins,"Indiana, North Carolina, South Carolina, Various sites across Duke Energy's operations","Duke Energy Indiana, Duke Energy Carolinas, Duke Energy Progress, Duke Energy, Duke Energy Florida, Duke Energy Ohio","Electricity, Coal",USA,
Coal Inventories,,Duke Energy,Fuel,,
Coal-Fired Generating Facilities,"North Carolina, Indiana, Florida, Ohio, South Carolina, Kentucky, Portions Of North Carolina And South Carolina, Portions Of Indiana","Duke Energy Carolinas, Duke Energy Progress, Duke Energy Indiana, Duke Energy Florida, Duke Energy Ohio, Duke Energy","Energy, Electricity",USA,
Commercial Renewables Business Segment,,Duke Energy,Energy Generation,,
Construction Projects,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky",Duke Energy,Natural Gas,USA,
cooling water intake structures,,Duke Energy,"Electricity, Natural Gas 
",,
Crystal River Unit,"Crystal River, Florida","Duke Energy Florida, Duke Energy","Electricity, Electricity",USA,
Damage Assessors,Service Territories,Duke Energy,Electricity,,
Dan River Steam Station,"Eden, North Carolina, South Carolina","Duke Energy Carolinas, Duke Energy","Coal, Electricity",USA,
Debary Solar Plant,Duke Energy Florida,"Duke Energy, Utilities","Solar Energy, Electricity",USA,
Distributed Generation Group,"Regions Where Duke Energy Operates, North Carolina","Duke Energy, ArcLight affiliates, Duke Energy Carolinas",Electricity,USA,
Distribution Network,"Indiana, North Carolina",Duke Energy,Electricity,USA,
dual-fuel generating facilities,"Carolinas, Florida, Indiana, Ohio, EU & IS Service Area, Kentucky, North Carolina, South Carolina","Duke Energy Carolinas, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, EU&I, Duke Energy Progress, Duke Energy",Electricity,USA,
Duke Energy Carolinas Facilities,"North Carolina, South Carolina, Florida, Ohio, Tennessee, Indiana, Kentucky","Duke Energy Carolinas, Duke Energy, Duke Energy Progress"," Electricity, Electricity Distribution",USA,
"Duke Energy Indiana Holdco, LLC",Indiana,"Duke Energy, Duke Energy Indiana",Electricity,USA,
Electric Transmission Infrastructure Investments,Ohio,"Duke Energy, Duke Energy Carolinas, Duke Energy Ohio",Electricity ,USA,
 Regulated Electric Utilities,"Carolinas, Florida, Midwest","Duke Energy, Duke Energy Progress",Electricity,USA,
 Natural Gas Local Distribution Companies (in Ohio and Kentucky)  ,"Ohio,Kentucky",Duke Energy,Natural Gas,USA,
"Natural Gas Storage, Midstream Pipeline, and Renewable Natural Gas Investments","Carolinas, North Carolina, South Carolina, Tennessee, Ohio, Kentucky","Duke Energy Piedmont, Duke Energy Ohio, Duke Energy Kentucky","Natural Gas, Electricity",USA,
Electric Distribution,"Carolinas, Ohio","Duke Energy, Duke Energy Ohio",Electricity,USA,
"Electric Gas, Total Utilities And Infrastructure",,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy, Duke Energy Ohio","Electricity, Natural Gas",,
Electric Generation,"North Carolina, Florida","Duke Energy, Duke Energy Progress, Duke Energy Florida","Electricity, Natural Gas",USA,
Electric Grid,North Carolina,Duke Energy,"Electricity, Natural Gas",USA,
Electric Transmission Projects,"Southeast Regions Of The Usa, Central California, North Carolina, South Carolina, Tennessee, Ohio, Kentucky","Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, American Transmission Company, GIC, Duke Energy","Electricity, Natural Gas",USA,
Energy Storage,,"Duke Energy Progress, Duke Energy","Energy, Natural Gas, Electricity",,
equipment,"South Carolina, Tennessee, Florida, Kentucky, Ohio, Southeast And Midwest Regions Of The USA, Northern Appalachia, Illinois Basin, Portions Of Ohio And Kentucky","Duke Energy, Duke Energy Progress, Duke Energy Florida, Duke Energy Ohio, Duke Energy Indiana, Duke Energy Carolinas, Electric Utilities and Infrastructure, GIC,Duke Energy Kentucky, Progress Energy Inc LLC, Piedmont Natural Gas Company, Duke Energy ","Electricity, Natural Gas, Coal, Nuclear Fuel Materials And Services, Energy",USA,
Facilities,"North Carolina, Ohio, Kentucky, Florida, Tennessee, Illinois Basin, Central Appalachia, Carolinas, Southeast and Midwest regions of the USA","Duke Energy, Duke Energy Ohio, Duke Energy Indiana, Duke Energy Carolinas, Duke Energy Piedmont, Duke Energy Progress, Duke Energy Florida","Electricity, Natural Gas, Coal, Nuclear Fuel, Fossil Fuels, Energy Storage ",USA,
Fixtures,,Duke Energy,,,
Generation Facilities [Nuclear Plants],"North Carolina, Florida, South Carolina, Indiana","Duke Energy, Duke Energy Progress, Duke Energy Florida, Duke Energy Carolinas","Electricity, Natural Gas",USA,
Generation Portfolio,,Duke Energy,Electricity,,
infrastructure,"Florida, Indiana, North Carolina, Ohio, Kentucky, Tennessee,  Midwest, Southeast","Duke Energy, Duke Energy Florida, Duke Energy Ohio, Duke Energy Indiana, Duke Energy Kentucky, Duke Energy Progress, Duke Energy Carolinas, Piedmont, GIC","Electricity, Natural Gas, Propane, Clean Energy",USA,
interstate pipelines,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky",Duke Energy,Natural Gas,USA,
Land,,Duke Energy,,,
Liquefied Natural Gas Inventories,,Duke Energy,Fuel,,
Midstream Pipeline,"Ohio, Kentucky",Duke Energy,Natural Gas,USA,
Natural Gas And Electric Assets,,Duke Energy,Natural Gas,,
