physical asset,location,ownership,commodity,status,Countries
Storm Recovery Property ,,"Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida Project Finance LLC (DEFPF), Duke Energy Florida, Duke Energy",Electricity,"Operational, Under Construction, Operational, Abandoned",
Abandoned Plants,,Duke Energy,,Abandoned,
Ash Impoundments,"Duke Energy Carolinas, Duke Energy Progress, Various Sites Across Duke Energy's Operations, Duke Energy Florida, North Carolina Sites, North Carolina, South Carolina","Duke Energy, Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio","Electricity, Coal Combustion Byproduct, Waste Disposal, Coal Ash","Operational, End-Of-Life, Under Construction",USA
Atlantic Coast Pipeline,"West Virginia, North Carolina",Atlantic Coast Pipeline LLC,Natural Gas,Under Construction,USA
Buildings And Improvements,,Duke Energy,,Operational,
Carolina Long Bay Offshore Wind Contract,,Duke Energy,Electricity,Operational,
ccr landfills,"North Carolina,South Carolina","Duke Energy, Duke Energy Carolinas, Duke Energy Progress","Coal, Coal Combustion Residuals (CCR), Electricity","Operational, Under Construction, End-Of-Life (Closure Activities), End-Of-Life (Implied)",USA
Central Corridor Project,Ohio Service Territory,Duke Energy Ohio,Natural Gas,"Under Construction, Operational",USA
Citrus County CC Plant,,Duke Energy Progress,Electricity,End-Of-Life,
Co Emission Control Equipment  ,,Duke Energy,"Electricity, Natural Gas",Operational,
Coal Ash Basins,"Indiana, North Carolina, South Carolina, Various sites across Duke Energy's operations","Duke Energy Indiana, Duke Energy Carolinas, Duke Energy Progress, Duke Energy, Duke Energy Florida, Duke Energy Ohio","Electricity, Coal","End-Of-Life,Under Construction,Operational",USA
Coal Inventories,,Duke Energy,Fuel,Operational,
Coal-Fired Generating Facilities,"North Carolina, Indiana, Florida, Ohio, South Carolina, Kentucky, Portions Of North Carolina And South Carolina, Portions Of Indiana","Duke Energy Carolinas, Duke Energy Progress, Duke Energy Indiana, Duke Energy Florida, Duke Energy Ohio, Duke Energy","Energy, Electricity","Operational, Under Construction, Retired",USA
Commercial Renewables Business Segment,,Duke Energy,Energy Generation,"Held For Sale, Sold, Retiring",
Construction Projects,"North Carolina, South Carolina, Tennessee, Ohio, Kentucky",Duke Energy,Natural Gas,Under Construction,USA
cooling water intake structures,,Duke Energy,"Electricity, Natural Gas 
",Operational,
Crystal River Unit,"Crystal River, Florida","Duke Energy Florida, Duke Energy","Electricity, Electricity",End-Of-Life  (SafStor Condition),USA
Damage Assessors,Service Territories,Duke Energy,Electricity,Operational,
Dan River Steam Station,"Eden, North Carolina, South Carolina","Duke Energy Carolinas, Duke Energy","Coal, Electricity","Operational, Under Construction, End Of Life",USA
N/A (datc),"Central California, North America","Duke Energy Carolinas, Duke Energy Progress, Duke Energy Florida, Duke Energy Indiana, Duke Energy Ohio, American Transmission Company 
","Electricity, Electric Transmission",Operational,USA
Debary Solar Plant,Duke Energy Florida,"Duke Energy, Utilities","Solar Energy, Electricity","Operational, Under Construction",USA
Digital Information Technology Systems [N/A],,Duke Energy,"Data, Electricity",Operational,
