physical asset,location,ownership,commodity,Countries,USA states
Advanced Metering Infrastructure (AMI),New York State,Consolidated Edison,Electricity,USA,New York
Advanced Metering Infrastructure (AMI),New York State,Orange and Rockland Utilities,Electricity,USA,New York
Battle Mountain Solar  (Solar Farm),"Nevada,Arizona",Consolidated Edison,Solar Energy,USA,"Arizona,Nevada"
Battle Mountain Solar  (Solar Farm),"Nevada,Arizona",Consolidated Edison,Electricity,USA,"Arizona,Nevada"
Broken Bow II (Oil & Gas Facility),Nebraska,Consolidated Edison,Wind Energy,USA,Nebraska
Broken Bow II (Oil & Gas Facility),Nebraska,Consolidated Edison,Renewable Energy,USA,Nebraska
Broken Bow II (Oil & Gas Facility),Nebraska,RWE Renewables Americas,Wind Energy,USA,Nebraska
Broken Bow II (Oil & Gas Facility),Nebraska,RWE Renewables Americas,Renewable Energy,USA,Nebraska
Brooklyn Clean Energy Hub,"Brooklyn,New York",Consolidated Edison,Renewable Energy,USA,New York
Brooklyn Clean Energy Hub,"Brooklyn,New York",Consolidated Edison,Electricity,USA,New York
Brooklyn Clean Energy Hub,"Brooklyn,New York",Consolidated Edison,Offshore Wind Electricity,USA,New York
California Solar,California,Consolidated Edison,Electricity,USA,California
Ced Nevada,,Consolidated Edison,Electricity,nan,
Ced Southwest,,Consolidated Edison,nan,nan,
Clean Energy Businesses,,Consolidated Edison,Renewable Energy,nan,
Compressor Stations,"Pennsylvania,New Jersey",Tennessee Gas Pipeline,Natural Gas,USA,"New Jersey,Pennsylvania"
Consolidated Edison Transmission (Transmission Infrastructure),,Consolidated Edison,Renewable Energy,nan,
crane  solar project,,Consolidated Edison,Electricity,nan,
crane  solar project,,Consolidated Edison,Renewable Energy,nan,
Distributed System Platform,New York State,Consolidated Edison Company of New York,nan,USA,New York
Distributed System Platform,New York State,Orange and Rockland Utilities,nan,USA,New York
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Orange and Rockland Utilities,Electricity,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Orange and Rockland Utilities,Natural Gas,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Orange and Rockland Utilities,Petroleum,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Consolidated Edison,Electricity,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Consolidated Edison,Natural Gas,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Consolidated Edison,Petroleum,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Clean Energy Businesses,Electricity,USA,"Nevada,New York"
Distribution Facilities,"New York City,Westchester County,New York,Orange and Rockland Utilities's Service Area,Consolidated Edison Company of New York's Electric,Gas and Steam Systems,Newtown Creek,Customer Premises,New York State,Northeastern USA,Nevada",Clean Energy Businesses,Natural Gas,USA,"Nevada,New York"
