physical asset,location,ownership,commodity,Countries,USA states
Advanced Metering Infrastructure (AMI),New York State,"Consolidated Edison,Orange and Rockland Utilities",Electricity,USA,New York
Battle Mountain Solar  (Solar Farm),"Nevada, Arizona",Consolidated Edison,"Solar Energy, Electricity",USA,"Arizona, Nevada"
Broken Bow II (Oil & Gas Facility),Nebraska,"Consolidated Edison, RWE Renewables Americas","Wind Energy, Renewable Energy",USA,Nebraska
Brooklyn Clean Energy Hub,"Brooklyn, New York",Consolidated Edison,"Renewable Energy, Electricity, Offshore Wind Electricity",USA,New York
California Solar ,California,Consolidated Edison,Electricity,USA,California
Ced Nevada ,,Consolidated Edison,Electricity,,
Ced Southwest ,,Consolidated Edison,,,
Clean Energy Businesses,,Consolidated Edison,Renewable Energy,,
Compressor Stations,"Pennsylvania, New Jersey",Tennessee Gas Pipeline,Natural Gas,USA,"New Jersey, Pennsylvania"
Consolidated Edison Transmission (Transmission Infrastructure),,Consolidated Edison,Renewable Energy,,
crane  solar project,,Consolidated Edison,"Electricity, Renewable Energy",,
Distributed System Platform,New York State,"Consolidated Edison Company of New York, Orange and Rockland Utilities",,USA,New York
Distribution Facilities,"New York City, Westchester County, New York, Orange and Rockland Utilities's Service Area, Consolidated Edison Company of New York's Electric, Gas and Steam Systems, Newtown Creek, Customer Premises, New York State, Northeastern USA, Nevada","Orange and Rockland Utilities, Consolidated Edison, Clean Energy Businesses, Consolidated Edison Transmission, Consolidated Edison Company of New York, PRPs, EPA","Electricity,Natural Gas, Petroleum",USA,"Nevada, New York"
distribution poles,,Consolidated Edison,,,
Distribution Substations,,"Orange and Rockland Utilities, RECO",Electricity,,
Dover Station,"Dover Station, New York","Consolidated Edison Transmission,NYISO",Electricity,USA,New York
Electric And Gas Plant Assets,USA,Consolidated Edison,,USA,
Electric And Gas Transmission Projects,USA,"Consolidated Edison,Consolidated Edison Transmission",Electricity,USA,
Electric Generating Facilities,"New York State, New York City, Lower Hudson Valley, Westchester County, Northeastern USA","Consolidated Edison, National Grid plc, Avangrid Inc., National Fuel Gas Company, CH Energy Group Inc., Orange and Rockland Utilities, Clean Energy Businesses, Consolidated Edison Transmission, Consolidated Edison Company of New York, Orange and Rockland Utilities, PRPs, EPA",Electricity,USA,New York
Electric Generation Assets,"New York City, Westchester County",Consolidated Edison,"Electricity, Power",USA,New York
Electric Utility Plant,"New York, Oil and Gas Regions Service Territory","Consolidated Edison, Orange and Rockland Utilities","Electricity, Natural Gas",USA,New York
electricity Grid,New York City,Consolidated Edison,Electricity,USA,New York
Energy Delivery Systems,,Consolidated Edison,Electricity,,
Energy Facilities,"New York City, Westchester County, New York State, Northeastern USA, Nevada","Consolidated Edison,Clean Energy Businesses,Consolidated Edison Transmission,Consolidated Edison Company of New York,Orange and Rockland Utilities,PRPs,EPA","Electricity, Natural Gas",USA,"Nevada, New York"
Energy Storage,New York State,"Consolidated Edison, Orange and Rockland Utilities",,USA,New York
Environmental Protection Facilities,,Consolidated Edison,,,
equipment,"Downstate Northeastern Usa,  New York City, New Jersey, Westchester County, Ny Iso Territories, Consolidated Edison Company of New York's Service Area, Virginia, Broken Bow Ii","Consolidated Edison, Orange and Rockland Utilities, Clean Energy Businesses","Wind Energy, Electricity",USA,"New Jersey, New York, Virginia"
Gas (Commodities),"Upstate New York, Westchester County","Consolidated Edison,Orange and Rockland Utilities",Natural Gas,USA,New York
Gas Distribution Pipes,"NYISO Territories, New York City",Consolidated Edison,Natural Gas,USA,New York
Gas Pipeline And Storage Business,"Northern Pennsylvania, Southern New York","Stagecoach Gas Services LLC, Consolidated Edison, Consolidated Edison Transmission",Natural Gas,USA,"New York, Pennsylvania"
Gas Transmission Project,"WV, VA, Long Island and the rest of New York State","Mountain Valley Pipeline LLC, Consolidated Edison Transmission, New York Transco, New York Power Authority, Propel NY Energy"," Natural Gas, Electricity, Offshore Wind Electricity",USA,New York
Generating Stations,New York City,Consolidated Edison,Electricity,USA,New York
Great Valley Solar  (Solar Farm),California,Consolidated Edison,"Solar Energy, Electricity",USA,California
Honeoye Storage Corp,,"Consolidated Edison Transmission, Consolidated Edison",,,
In-Service Line Transformers,,"Orange and Rockland Utilities,RECO",Electricity,,
Information Systems,,Consolidated Edison,,,
Infrastructure,"Consolidated Edison Company of New York Service Territory, New York State, NYISO Territories, Northeastern USA","Consolidated Edison, Orange and Rockland Utilities, RECO, The New York State Energy Research and Development Authority, Clean Energy Businesses","Natural Gas, Solar Energy, Electricity",USA,New York
Infrastructure And Operations Services,,Contractors,,,
Lead-Jacketed Electric Cables,"Newtown Creek, Narrowsburg, New York, Saddle Brook, New Jersey, Philadelphia, Pennsylvania, Old Bridge, Elizabeth, Vineland, Carlstadt, New Rochelle","Consolidated Edison,PRPs",Electricity,USA,"New Jersey, New York, Pennsylvania"
Manufactured Gas Plants,"Orange County, Rockland County, New York City, Westchester County, Superfund Sites","Orange and Rockland Utilities, Consolidated Edison",,USA,New York
Mesquite Solar (Solar Energy Plant),Nevada And Arizona,Consolidated Edison,"Solar Energy, Electricity",USA,"Arizona, Nevada"
Mountain Valley Pipeline,"West Virginia, Virginia, Northern Pennsylvania, Southern New York","Consolidated Edison, Consolidated Edison Transmission, Mountain Valley Pipeline LLC, Orange and Rockland Utilities ",Natural Gas,USA,"New York, Pennsylvania, Virginia, West Virginia"
Municipal Infrastructure ,,Consolidated Edison,Electricity,,
Net Plant,,Consolidated Edison,,,
New England Assets ,New England,Consolidated Edison,Electricity,USA,
Non-Utility Property,,Consolidated Edison,,,
overhead distribution lines,,"Orange and Rockland Utilities,RECO",Electricity,,
PJM Assets,"NJ, PA, PJM Region",Consolidated Edison,Electricity,USA ,"Pennsylvania, New Jersey"
Power Grid,"Brooklyn, New York, USA",Consolidated Edison,Electricity,USA,New York
Properties (formerly used by Consolidated Edison Company of New York in its Operations),,Consolidated Edison,,,
Real Estate,,Consolidated Edison,,,
Renewable Electric Project,"Long Island, New York State, Virginia","Consolidated Edison, Clean Energy Businesses, Consolidated Edison Transmission, New York Transco, New York Power Authority, Propel NY Energy, NYSERDA","Electricity, Offshore Wind Electricity, Renewable Energy",USA,"New York, Virginia"
Renewable Energy Projects,"Virginia, New York","Consolidated Edison,Clean Energy Businesses,NYSERDA,Equinor Wind US LLC,Sunrise Wind LLC,RWE Renewables America LLC","Renewable Energy, Electricity, Sustainable Energy",USA,"New York, Virginia"
Right-Of-Use Assets,,Consolidated Edison,,,
Steam And Gas Distribution Systems,"New York City, Flatbush (Brooklyn), Westchester County",Consolidated Edison,"Natural Gas, Electricity",USA,New York
Texas Solar (Physical Asset),Texas,Consolidated Edison,Electricity,USA,Texas
Thermal Energy Network Pilot Projects,New York State,"Consolidated Edison,Orange and Rockland Utilities",Thermal Energy,USA,New York
Transmission Companies,,Consolidated Edison Transmission,"Electricity, Natural Gas",,
transmission facilities,"New York City, Westchester County, Lower Hudson Valley, New York State, Northeastern USA","Consolidated Edison,Consolidated Edison Transmission,Orange and Rockland Utilities,Clean Energy Businesses,Consolidated Edison Company of New York,PRPs,EPA","Electricity, Petroleum",USA,New York
Transmission Piping,Consolidated Edison Company of New York's Service Area,Consolidated Edison,,,
Transmission System,"Long Island, New York","Consolidated Edison Transmission, RECO, Consolidated Edison, Orange and Rockland Utilities","Electricity, Natural Gas",USA,New York
Two New Substations,"Jamaica, Queens",Consolidated Edison,Electricity,Jamaica,
Upton County Solar Facility,"Texas, Upton",Consolidated Edison,Electricity,USA,Texas
Utilities,Utilities' Service Territory,Consolidated Edison,,,
Utility Plant ,Orange and Rockland Utilities Service Territory,"Consolidated Edison, Orange and Rockland Utilities","Electricity, Natural Gas",,
Water Crossings,Jefferson National Forest,Consolidated Edison,,USA,
Solar Panels,"NV and VA, Virginia",Consolidated Edison,"Solar Energy, Electricity",USA,"Virginia, Nevada"
Wind Holdings,,Consolidated Edison,,,
Gas Storage Facility,"Upstate New York, Astoria, Queens","Honeoye Storage Corporation, Consolidated Edison, Consolidated Edison Transmission",Natural Gas,USA,New York
Storage Tank,"Astoria, Queens, New York",Consolidated Edison,Natural Gas,USA,New York
