physical asset,location,ownership,commodity,status,Countries
Advanced Metering Infrastructure (AMI),New York State,"Consolidated Edison,O&R",Electricity,Operational,USA
Battle Mountain Solar  (Solar Farm),"Nevada, Arizona",Consolidated Edison,"Solar Energy, Electricity","Held For Sale, Operational",USA
Broken Bow II (Oil & Gas Facility),"Nebraska, Nebraska","Consolidated Edison, RWE Renewables Americas, LLC","Wind Power, Renewable Energy","Operational, Under Construction, In Operation",USA
Brooklyn Clean Energy Hub,"Brooklyn, New York",Consolidated Edison,"Renewable Energy, Electricity, Offshore Wind Electricity","Under Construction, Completed, Operational",USA
California Solar ,California,Consolidated Edison,Electricity,Operational,USA
Ced Nevada ,,Consolidated Edison,Electricity,Operational,
Ced Southwest ,,Consolidated Edison,,Operational,
Clean Energy Businesses,,Consolidated Edison,Renewable Energy,"For Sale, Sold, Operational",
Compressor Stations,"Pennsylvania, New Jersey",Tennessee Gas Pipeline,Natural Gas,"Under Construction, Operational",USA
Consolidated Edison Transmission (Transmission Infrastructure),,Consolidated Edison,Renewable Energy,,
crane  solar project,,Consolidated Edison,"Electricity, Renewable Energy",Operational,
Distributed System Platform,New York State,"CECONY, O&R",,Operational,USA
Distribution Facilities,"New York City, Westchester County, New York, O&R's Service Area, CECONY's Electric, Gas and Steam Systems, Newtown Creek, Customer Premises, New York State, Northeastern USA, Nevada","O&R, Consolidated Edison, Clean Energy Businesses, Consolidated Edison Transmission, CECONY, PRPs, EPA","Electricity,Natural Gas, Petroleum",Operational,"USA,"
distribution poles,,Consolidated Edison,,Operational,
Distribution Substations,,"O&R, RECO",Electricity,Operational,
Dover Station,"Dover Station, New York","Consolidated Edison Transmission,NYISO",Electricity,Under Construction,USA
Electric And Gas Plant Assets,USA,Consolidated Edison,,Operational,USA
Electric And Gas Transmission Projects,USA,"Consolidated Edison,Consolidated Edison Transmission",Electricity,Operational,USA
Electric Generating Facilities,"New York State, New York City, Lower Hudson Valley, Westchester County, Northeastern USA","Consolidated Edison, National Grid plc, Avangrid Inc., National Fuel Gas Company, CH Energy Group Inc., O&R, Clean Energy Businesses, Consolidated Edison Transmission, CECONY, O&R, PRPs, EPA",Electricity,"Operational, Under Construction, End-Of-Life",USA
Electric Generation Assets,"New York City, Westchester County",Consolidated Edison,"Electricity, Power",Operational,USA
Electric Utility Plant,"New York, Oil and Gas Regions Service Territory","Consolidated Edison, O&R","Electricity, Natural Gas",Operational,USA
electricity Grid,New York City,Consolidated Edison,Electricity,Operational,USA
Energy Delivery Systems,,Consolidated Edison,Electricity,Upgraded And Operational,
Energy Facilities,"New York City, Westchester County, New York State, Northeastern USA, Nevada","Consolidated Edison,Clean Energy Businesses,Consolidated Edison Transmission,CECONY,O&R,PRPs,EPA","Electricity, Natural Gas","Operational, Under Construction, End-Of-Life, Damaged",USA
Energy Storage,New York State,"Consolidated Edison, O&R",,Under Construction,USA
Environmental Protection Facilities,,Consolidated Edison,,Operational,
equipment,"Downstate Northeastern Usa,  New York City, New Jersey, Westchester County, Ny Iso Territories, Cecony's Service Area, Virginia, Broken Bow Ii","Consolidated Edison, O&R, Clean Energy Businesses","Gas, Steam, Wind Energy, Electricity","Operational, Held For Sale, In End-Of-Life, Under Construction",USA
Gas (Commodities),"Upstate New York, Westchester County","Consolidated Edison,O&R",Natural Gas,Operational,USA
Gas Distribution Pipes,"NYISO Territories, New York City",Consolidated Edison,Natural Gas,Operational,USA
Gas Pipeline And Storage Business,"Northern Pennsylvania, Southern New York","Stagecoach Gas Services LLC, Consolidated Edison, Consolidated Edison Transmission",Natural Gas,Operational,USA
Gas Transmission Project,"WV, VA, Long Island and the rest of New York State","Mountain Valley Pipeline LLC, Consolidated Edison Transmission, New York Transco, NYPA, Propel NY Energy"," Natural Gas, Electricity, Offshore Wind Electricity",Under Construction,USA
Generating Stations,New York City,Consolidated Edison,Electricity,"Operational, Under Construction",USA
Great Valley Solar  (Solar Farm),California,Consolidated Edison,"Solar Energy, Electricity",Operational,USA
Honeoye Storage Corp,,"Consolidated Edison Transmission, Consolidated Edison",,,
In-Service Line Transformers,,"O&R,RECO",Electricity,Operational,
Information Systems,,Consolidated Edison,,Operational,
Infrastructure,"CECONY Service Territory, New York State, NYISO Territories, Northeastern USA","Consolidated Edison, O&R, RECO, NYSPSC, Clean Energy Businesses","Natural Gas, Solar Power, Electricity","Operational, Under Construction",USA
Infrastructure And Operations Services,,Contractors,,Operational,
Lead-Jacketed Electric Cables,"Newtown Creek, Narrowsburg, New York, Saddle Brook, New Jersey, Philadelphia, Pennsylvania, Old Bridge, Elizabeth, Vineland, Carlstadt, New Rochelle","Consolidated Edison,PRPs",Electricity,"Operational, Retired In Place",USA
Manufactured Gas Plants,"Orange County, Rockland County, New York City, Westchester County, Superfund Sites","O&R, Consolidated Edison",,"Operational, Under Construction, In End-Of-Life",USA
Mesquite Solar (Solar Power Plant),Nevada And Arizona,Consolidated Edison,"Solar Energy, Electricity",Operational,USA
Mountain Valley Pipeline,"West Virginia, Virginia, Northern Pennsylvania, Southern New York","Consolidated Edison, Consolidated Edison Transmission, Mountain Valley Pipeline LLC, O&R ",Natural Gas,"Impaired, Operational, Under Construction",USA
Municipal Infrastructure ,,Consolidated Edison,Electricity,"In End-Of-Life, Operational",
Net Plant,,Consolidated Edison,,,
New England Assets ,New England,Consolidated Edison,Electricity,Operational,USA
Non-Utility Property,,Consolidated Edison,,"Operational,Under Construction",
overhead distribution lines,,"O&R,RECO",Electricity,Operational,
PJM Assets,"NJ, PA, PJM Region",Consolidated Edison,Electricity,Operational,"USA 
USA"
Power Grid,"Brooklyn, New York, USA",Consolidated Edison,Electricity,Operational,
Properties (formerly used by Cecony in its Operations),,Consolidated Edison,,,
Real Estate,,Consolidated Edison,,Operational,
Renewable Electric Project,"Long Island, New York State, Virginia","Consolidated Edison, Clean Energy Businesses, Consolidated Edison Transmission, New York Transco, NYPA, Propel NY Energy, NYSERDA","Electricity, Offshore Wind Electricity, Renewable Energy","Sold, Operational, End-Of-Life, Under Construction",USA
Renewable Energy Projects,"Virginia, New York","Consolidated Edison,Clean Energy Businesses,NYSERDA,Equinor Wind US LLC,Sunrise Wind LLC,RWE Renewables America LLC","Renewable Energy, Electricity, Sustainable Energy","Operational, Under Construction, Held For Sale",USA
Right-Of-Use Assets,,Consolidated Edison,,,
Steam And Gas Distribution Systems,"New York City, Flatbush (Brooklyn), Westchester County",Consolidated Edison,"Natural Gas, Electricity","In End-Of-Life, Operational",USA
Texas Solar (Physical Asset),Texas,Consolidated Edison,Electricity,Operational,USA
Thermal Energy Network Pilot Projects,New York State,"Consolidated Edison,O&R",Thermal Energy,Under Construction,USA
Transmission Companies,,Consolidated Edison Transmission,"Electricity, Natural Gas",,
transmission facilities,"New York City, Westchester County, Lower Hudson Valley, New York State, Northeastern USA","Consolidated Edison,Consolidated Edison Transmission,O&R,Clean Energy Businesses,CECONY,PRPs,EPA","Electricity, Petroleum",Operational,USA
Transmission Piping,CECONY's Service Area,Consolidated Edison,,Operational,
Transmission System,"Long Island, New York","Consolidated Edison Transmission, RECO, Consolidated Edison, O&R","Electricity, Natural Gas",Operational,USA
Two New Substations,"Jamaica, Queens",Consolidated Edison,Electricity,Under Construction,Jamaica
Upton County Solar Facility,"Texas, Upton",Consolidated Edison,Electricity,Operational,USA
Utilities,Utilities' Service Territory,Consolidated Edison,,,
Utility Plant ,O&R Service Territory,"Consolidated Edison, O&R","Electricity, Natural Gas",Operational,
Water Crossings,Jefferson National Forest,Consolidated Edison,,Under Construction,USA
Solar Panels,"NV and VA, Virginia",Consolidated Edison,"Solar Energy, Electricity","In Operation, Held For Sale",USA
Wind Holdings,,Consolidated Edison,,Operational,
Gas Storage Facility,"Upstate New York, Astoria, Queens","Honeoye Storage Corporation, Consolidated Edison, Consolidated Edison Transmission",Natural Gas,Operational,USA
Storage Tank,"Astoria, Queens, New York",Consolidated Edison,Natural Gas,Operational,USA
Gas Delivery System,"O&R's Service Area, New York State","O&R, Consolidated Edison",Natural Gas,Operational,USA
Copper Mountain Solar Project,"Nevada, Arizona, Virginia",Consolidated Edison,"Electricity, Solar Energy",Operational,USA
"Ami Components, Smart Meters, Communication Network, Information Technology Systems And Business Applications",New York Service Areas,"Consolidated Edison, O&R",,Deployed,USA
Newtown Creek ,"Brooklyn And Queens, New York",Consolidated Edison,Petroleum,Contaminated,USA
Trucking ,Newtown Creek,Consolidated Edison,,Operational,USA
"Concrete Manufacture 


Let me know if you'd like me to process another cell!",Newtown Creek,Consolidated Edison,,Operational,USA
Wastewater Treatment Plant,Newtown Creek,Consolidated Edison,,Operational,USA
Feeder,"New Rochelle, New York",Consolidated Edison,,Failed,USA
Pier,"Hudson River, New Jersey",,,Collapsed,USA
Rockland Utilities Inc.,Southeastern New York And Northern New Jersey,Consolidated Edison,,,USA
Adams Rose Wind Farm ,Minnesota,Consolidated Edison,Wind Power,In Operation,USA
Dairyland Other (Sd/Mt Nwe/Basin Electric),South Dakota/Montana,Consolidated Edison,Wind Power,In Operation,USA
Heat Pump Programs,,"Consolidated Edison,O&R",Electricity,Operational,
Repair Projects ,,Consolidated Edison,Electricity ,Operational,
"Upstate Nuclear Power Plants  


Let me know when you're ready for the next cell!",,NYSERDA,Electricity ,Operational,
Alternate Fuel Tanks,,"Consolidated Edison,O&R",,Operational,
New York Energy Solution (NYES) Project,Between Upstate And Downstate,Consolidated Edison Transmission,Electricity,Completed,
Generating Units,"CECONY's Service Territory, Downstate",Consolidated Edison,Electricity,"Operational, Retired, Or Limited Operation",USA
Peaker Plants,"CECONY Service Territory, NYISO Territories",Consolidated Edison,Electricity,"Unavailable, Operational",USA
Transmission Projects (Reliable Clean City),"New York City, Queens",Consolidated Edison,Electricity,"Under Construction, Completed",USA
Brownsville Substation,Brownsville,Consolidated Edison,Electricity,Operational,USA
Glendale Substation,Glendale,Consolidated Edison,Electricity,Operational,USA
"Transmission Feeder (Between Vernon And Newtown) 


Let me know when you'd like to process the next cell!",Vernon And Newtown,Consolidated Edison,Electricity,Under Construction,USA
Gateway Park Area Substation,Gateway Park Area,Consolidated Edison,Electricity,Under Construction,USA
Liquefaction Facility,"Astoria, Queens, NY",Consolidated Edison,Natural Gas,Operational,USA
Natural Gas Storage Capacity,Upstate New York,"Honeoye Storage Corporation,Consolidated Edison Transmission,Consolidated Edison",Natural Gas,Operational,USA
Pipelines,"New York City, Upstate New York, Westchester County",Consolidated Edison,"Natural Gas, Oil",Operational,USA
Transmission Upgrades,New York State,Consolidated Edison,Renewable Energy,Under Construction,USA
regulated transmission projects,New York State,"Consolidated Edison,Consolidated Edison Transmission",Electricity,Operational,USA
Propel NY Energy Project,New York State,Consolidated Edison,Offshore Wind Electricity,Planned,USA
Co-generation Plants,NYISO Territories,Consolidated Edison,Electricity,Operational,USA
