physical asset,location,ownership,commodity,Countries
Braidwood Station,"Philadelphia, PA",Exelon Corporation,,USA
Byron Station,"Philadelphia, PA",Exelon Corporation,,USA
Calvert Cliffs Station,"Philadelphia, PA",Exelon Corporation,,USA
Clinton Station,"Clinton, NY",Exelon Corporation,,USA
Dresden Station,"Dresden, OH",Exelon Corporation,,USA
FitzPatrick Station,"Lycoming County, PA",Exelon Corporation,,USA
La Salle Station,"LaSalle, IL",Exelon Corporation,,USA
Limerick Station,"Pottstown, PA",Exelon Corporation,,USA
Nine Mile Point Station,"Scriba, NY",Exelon Corporation,,USA
Peach Bottom Station,"Peach Bottom, PA",Exelon Corporation,,USA
Quad Cities Station,"Cordova, IL",Exelon Corporation,,USA
Ginna Station,"Ontario County, NY",Exelon Corporation,,USA
Salem Station,"Salem, NH",Exelon Corporation,,USA
Richmond station,"Philadelphia, PA",Exelon Corporation,,USA
Philadelphia Road station,"Baltimore, MD",Exelon Corporation,,USA
Eddystone station,"Eddystone, PA",Exelon Corporation,,USA
Delaware station,"Philadelphia, PA",Exelon Corporation,,USA
Southwark station,"Philadelphia, PA",Exelon Corporation,,USA
Falls station,"Morrisville, PA",Exelon Corporation,,USA
Moser station,"Lower Pottsgrove Twp., PA",Exelon Corporation,,USA
Chester station,"Chester, PA",Exelon Corporation,,USA
Schuylkill station,"Chester, PA",Exelon Corporation,,USA
