physical asset,location,ownership,commodity,Countries,USA states
500kV Lines (Transmission Infrastructure),New Jersey; Delaware River,PECO Energy Company,,USA,"Delaware, New Jersey"
500kV Lines (Transmission Infrastructure),New Jersey; Delaware River,Pepco Holdings LLC,,USA,"Delaware, New Jersey"
500kV Lines (Transmission Infrastructure),New Jersey; Delaware River,Delmarva Power & Light Company,,USA,"Delaware, New Jersey"
500kV Lines (Transmission Infrastructure),New Jersey; Delaware River,Atlantic City Electric Company,,USA,"Delaware, New Jersey"
500kV Lines (Transmission Infrastructure),New Jersey; Delaware River,Exelon Corporation,,USA,"Delaware, New Jersey"
Albany Green Energy Biomass Facility,New England,Exelon Corporation,Biomass Energy,USA,
Baltimore City Conduit System,Baltimore City,,,USA,
Benning Road Site,"Benning Road,Washington D.C.",Exelon Corporation,Electricity,USA,Washington
Benning Road Site,"Benning Road,Washington D.C.",Pepco Holdings LLC,Electricity,USA,Washington
(Baltimore Gas And Electric Company),Baltimore Gas And Electric Company,Exelon Corporation,,USA,
Bulk Power Transmission System,,Utility Registrants,Electricity,,
Buzzard Point Facility,"Washington,D.C.",Exelon Corporation,,USA,Washington
Buzzard Point Facility,"Washington,D.C.",Pepco Holdings LLC,,USA,Washington
Chilling And Cooling Equipment,,Exelon Corporation,,,
Communication Systems,Utility Registrants' Markets,Utility Registrants,Electricity,,
Communication Systems,Utility Registrants' Markets,Utility Registrants,Natural Gas,,
Conowingo Hydroelectric Project,Conowingo,Exelon Corporation,Electricity,USA,
Construction Work In Progress,,Exelon Corporation,,,
Contracted Wind Asset,Maryland,Exelon Corporation,Electricity,USA,Maryland
Contracted Wind Asset,Maryland,CRP Ventures,Electricity,USA,Maryland
Delivery Systems,Service Territory,Utility Registrants,Electricity,,
Delivery Systems,Service Territory,Utility Registrants,Natural Gas,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Utility Registrants,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,PECO Energy Company,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Baltimore Gas And Electric Company,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Delmarva Power & Light Company,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Commonwealth Edison Company,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Pepco Holdings LLC,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Atlantic City Electric Company,Electricity,,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,Exelon Corporation,Electricity,,
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",Exelon Corporation,Electricity,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",Exelon Corporation,Power,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",Exelon Corporation,Natural Gas,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",PECO Energy Company,Electricity,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",PECO Energy Company,Power,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",PECO Energy Company,Natural Gas,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",Baltimore Gas And Electric Company,Electricity,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",Baltimore Gas And Electric Company,Power,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
Distribution Facilities,"Midwest And East Coast Of The Usa,Illinois,Maryland,New Jersey,District Of Columbia,Pennsylvania,Delaware,Quad Cities,Braidwood,Il",Baltimore Gas And Electric Company,Natural Gas,USA,"Maryland, Pennsylvania, New Jersey, Delaware, Illinois"
