physical asset,location,ownership,commodity,Countries,USA states
500kV Lines (Transmission Infrastructure),New Jersey; Delaware River,"PECO Energy Company, Pepco Holdings LLC, Delmarva Power & Light Company, Atlantic City Electric Company, Exelon Corporation",,USA,"Delaware, New Jersey"
Albany Green Energy Biomass Facility,New England,Exelon Corporation,Biomass Energy,USA,
Baltimore City Conduit System,Baltimore City,,,USA,
Benning Road Site,"Benning Road, Washington D.C.","Exelon Corporation, Pepco Holdings LLC",Electricity,USA,Washington
(Baltimore Gas And Electric Company),Baltimore Gas And Electric Company,Exelon Corporation,,USA,
Bulk Power Transmission System,,Utility Registrants,Electricity,,
Buzzard Point Facility,"Washington, D.C.","Exelon Corporation, Pepco Holdings LLC",,USA,Washington
Chilling And Cooling Equipment,,Exelon Corporation,,,
Communication Systems,Utility Registrants' Markets,Utility Registrants,"Electricity, Natural Gas",,
Conowingo Hydroelectric Project,Conowingo,Exelon Corporation,Electricity,USA,
Construction Work In Progress,,Exelon Corporation,,,
Contracted Wind Asset,Maryland,"Exelon Corporation, CRP Ventures",Electricity,USA,Maryland
Delivery Systems,Service Territory,Utility Registrants,"Electricity, Natural Gas",,
Distribution And Transmission Infrastructures,Utility Registrants Service Areas,"Utility Registrants, PECO Energy Company, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Commonwealth Edison Company, Pepco Holdings LLC, Atlantic City Electric Company, Exelon Corporation",Electricity,,
Distribution Facilities,"Midwest And East Coast Of The Usa, Illinois, Maryland, New Jersey, District Of Columbia, Pennsylvania, Delaware,  Quad Cities, Braidwood, Il","Exelon Corporation, PECO Energy Company, Baltimore Gas And Electric Company, Delmarva Power & Light Company, Commonwealth Edison Company, Pepco Holdings LLC, Atlantic City Electric Company","Electricity, Power, Natural Gas",USA,"Delaware, Illinois, Maryland, New Jersey, Pennsylvania"
Distribution Systems,Service Areas,"Utility Registrants,Pepco Holdings LLC,Baltimore Gas And Electric Company,Delmarva Power & Light Company,Commonwealth Edison Company,Atlantic City Electric Company","Natural Gas, Electricity",,
Electric And Natural Gas Transmission And Distribution Assets,"Delaware, New Jersey, Pennsylvania","Exelon Corporation,Pepco Holdings LLC,Baltimore Gas And Electric Company,Delmarva Power & Light Company,Commonwealth Edison Company,Atlantic City Electric Company,PECO Energy Company,Utility Registrants","Electricity, Natural Gas",USA,"Delaware, New Jersey, Pennsylvania"
