Name,Asset Type,Location,Commodity,Operating Company,Status,Capacity,Capacity (Megawatts),Region - NERC,Region - ISO
Summerhaven Wind Energy Centre - Summerhaven 93 (26 Turb),Wind Farm,Ontario,Power,NextEra Energy Canada LP,Commissioned,57.20 Megawatts,57.2,,
Dodge County Wind Energy Center - Dodge County (65 Turb),Wind Farm,United States,Power,NextEra Energy Incorporated,Pre-commissioned,221.00 Megawatts,221,,
Babbitt Ranch Energy Center - Babbitt Energy Center (53 Turb),Wind Farm,United States,Power,NextEra Energy Incorporated,Pre-commissioned,161.00 Megawatts,161,,
East Durham Windfarm - East Durham (14 Turb),Wind Farm,Canada,Power,NextEra Energy Canada LP,Commissioned,22.40 Megawatts,22.4,,
Stutsman County Windfarm - Stutsman County 01 (285 Turb),Wind Farm,United States,Power,NextEra Energy Incorporated,Pre-commissioned,800.00 Megawatts,800,,
Mount Miller Windfarm - Mont Miller (30 Turb),Wind Farm,Quebec,Power,NextEra Energy Canada LP,Commissioned,54.00 Megawatts,54,,
New Salem Windfarm - New Salem (110 Turb),Wind Farm,United States,Power,NextEra Energy Incorporated,Pre-commissioned,600.00 Megawatts,600,,
Day County Windfarm - Day County (66 Turb),Wind Farm,South Dakota,Power,NextEra Energy Resources LLC,Commissioned,105.60 Megawatts,105.6,,
Baldwin Wind Energy Center (Wilton III) - Baldwin Wind (64 Turb),Wind Farm,North Dakota,Power,NextEra Energy Resources LLC,Commissioned,102.40 Megawatts,102.4,,
Summerhaven Wind Energy Centre - Summerhaven 101 (30 Turb),Wind Farm,Canada,Power,NextEra Energy Canada LP,Commissioned,66.00 Megawatts,66,,
Heartland Divide Windfarm - Heartland Divide IIA (57 Turb),Wind Farm,United States,Power,NextEra Energy Incorporated,Commissioned,159.60 Megawatts,159.6,,
Sombra PV Solar - Sombra 01 PV,Solar Power Station,Ontario,Power,NextEra Energy Canada LP,Commissioned,20.00 Megawatts,20,,
Babbitt Ranch Energy Center - Babbitt Energy Center 01 BESS,Battery Storage Power Station,United States,Power,NextEra Energy Incorporated,Pre-commissioned,0.00 Megawatts,0,,
St Clair Moore PV Solar - St Clair Moore 01 PV,Solar Power Station,Ontario,Power,NextEra Energy Canada LP,Commissioned,20.00 Megawatts,20,,
Babbitt Ranch Energy Center - Babbitt Energy Center 01 PV,Solar Power Station,United States,Power,NextEra Energy Incorporated,Pre-commissioned,60.00 Megawatts,60,,
Thunder Wolf PV Solar Plant - Thunder Wolf 01 PV,Solar Power Station,United States,Power,NextEra Energy Incorporated,Commissioned,200.00 Megawatts,200,,
Singer (Beauregard) PV Solar Plant - Singer 01 PV,Solar Power Station,United States,Power,NextEra Energy Resources LLC,Pre-commissioned,200.00 Megawatts,200,,
Blythe PV Solar Park - Blythe 04 BESS,Battery Storage Power Station,United States,Power,NextEra Energy Resources LLC,Commissioned,0.00 Megawatts,0,,
