physical asset,location,ownership,commodity,status,Countries,USA states
Biogas Plants,,NextEra Energy,Biogas,Operational,nan,
Biogas Plants,,NextEra Energy,Renewable Natural Gas,Operational,nan,
Bulk-Power Transmission Systems,"East Coast Of Florida,Northwest Florida",NextEra Energy,Electricity,"Operational,Damaged",USA,Florida
Bulk-Power Transmission Systems,"East Coast Of Florida,Northwest Florida",Florida Power & Light Company,Electricity,"Operational,Damaged",USA,Florida
Circuit Miles Of Transmission Lines,North America,NextEra Energy,Electricity,Operational,Canada,
Circuit Miles Of Transmission Lines,North America,NextEra Energy,Electricity,Operational,USA,
Coal Units,"Mississippi,Georgia,Florida",Florida Power & Light Company,Electricity,In End-Of-Life,USA,"Florida,Georgia,Mississippi"
Combustion Turbines,,NextEra Energy,Electricity,"Operational,Under Construction",nan,
Combustion Turbines,,NextEra Energy,Wind Energy,"Operational,Under Construction",nan,
Construction Materials,,NextEra Energy,Electricity,Under Construction,nan,
Construction Materials,,Florida Power & Light Company,Electricity,Under Construction,nan,
Construction Materials,,NextEra Energy Resources,Electricity,Under Construction,nan,
Dania Beach Clean Energy Center,Florida,Florida Power & Light Company,Electricity,"Under Construction,Operational",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Florida Power & Light Company,Electricity,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Florida Power & Light Company,Electricity,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",Florida Power & Light Company,Fuel,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Florida Power & Light Company,Fuel,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",Florida Power & Light Company,Renewable Energy,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",Florida Power & Light Company,Renewable Energy,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",NextEra Energy,Electricity,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",NextEra Energy,Electricity,"Operational,Unavailable,Damaged",Canada,Florida
Distribution Facilities,"Florida,USA  Canada",NextEra Energy,Fuel,"Operational,Unavailable,Damaged",USA,Florida
Distribution Facilities,"Florida,USA  Canada",NextEra Energy,Fuel,"Operational,Unavailable,Damaged",Canada,Florida
